,Yellowhead wrasse,Halichoeres garnoti,x,x,x,x
,Bluehead wrasse,Thalassoma bifasciatum,x,x,x,x
,Slippery dick ,Halichores bivittatus,x,x,x,x
,Clown wrasse,Halichoeres masculipinna,x,x,x,x
,Rainbow wrasse,Halichoeres pictus,x,x,x,x
,Black ear wrasse,Halichoeres poeyi,x,x,x,x
,Creole wrasse,Clepticus parrae,x,x,x,x
,Puddingwife,Halichoeres raidatus,x,x,x,x
Squirrelfish,Squirrelfish,Holocentrus adscensionis,x,x,x,x
,Longspine squirrelfish ,Holocentrus rufus,,,,
,Blackbar soldier,Myripristic jacobus,,,,
,Reef squirrelfish ,Holocentrus coruscum,,,,
,Longjaw ,Holocentrus marianus ,,,,
,Dusky squirrelfish ,Holocentrus vexillarius ,,,,
Gobies ,Neon Goby,Gobiosoma oceanops,x,x,x,x
,Bridled,Coryphopterus glaucofraenum,x,x,x,x
,Colon,Coryphopterus dicrus,x,x,x,x
,Perpermint,Coryphopterus lipernes,,,,
,Pallid,Coryphopterus eidolon,,,,
,Goldspot,Ginatholepis thompsoni,,,,
,Masked goby ,Coryphopterus personatus,,,,
Flounder,Peacock flounder,Bothus lunatus ,,,,
Batfishes,Shortnose batfish ,Ogcoephalus nasutus,,,,
Trumpetfish,Trumpetfishes,Aulostomus maculatus ,x,x,x,x
Tilefish,Sand tilefish ,Malacanthus pluieri,x,x,x,x
,Sand Diver,Synodus intermedius,x,x,x,x
Pufferfish,Checkered puffer,Sphoeroides testudineus,x,x,x,x
,Bridled burrfish,Chilomycterus antennatus,,,,
,Web burrfish,Chilomycterus antillarum,,,,
,Porcupinefish,Diodon hystrix,x,x,x,x
,Lonespined porcupinefish,Diodon holocanthus ,x,x,x,x
,Sharp nose puffer,Canthigaster rostrata,x,x,x,x
,Bandtail puffer,Sphoeroides spengleri,,,,
Boxfish,Smooth trunkfish,Lactophrys triqueter,x,x,x,x
,Honeycomb cowfish,Lactophrys polygonia,,,,
,Scrawled cowfish,Lactophrys quadricornis,,,,
,Spotted trunkfish,Lactophrys bicaudalis ,x,x,x,x
Triggerfish,Queen triggerfish ,Balistes vetula ,x,x,x,x
,Black Durgon ,Melichthys niger,x,x,x,x
,Ocean triggerfish,Canthidermes sufflamen,x,x,x,x
Toadfish,Whitelined toadfish ,Sanapus greenfieldorum ,x,x,x,x
Filefish ,Scrawled filefish ,Aluterus scriptus ,x,x,x,x
,Orangespotted ,Canthidermis pullus ,x,x,x,x
,Whitespotted,Canthidermis macrocerus ,x,x,x,x
Goatfish,Spotted goatfish ,Pseudupeneus maculatus,x,x,x,x
,Yellow goatfish,Mulloidichthys martinicus ,x,x,x,x
Lionifsh ,Lionfish ,Pterois volitans,x,x,x,x
Eel,Green moray, Gymnothorax funebris,x,x,x,x
,Spotted moray ,Gymnothorax moringa,x,x,x,x
,Goldentail moray ,Gymnothorax miliaris ,,,,
Turtle ,Loggerhead sea turtle ,Caretta caretta,x,x,x,x
,Green sea turtle ,Chelonia mydas,x,x,x,x
,Hawksbill sea turtle ,Eretmochelys imbricata,x,x,x,x
Manatee,West indian manatee,Trichechus manatus,x,,,
Dolphin,Bottlenose dolphins,Tursiops truncatus ,x,x,x,x
Shark ,Caribbean reef shark ,Carcharhinus perezi,x,x,x,x
,Bull shark ,Carcharhinus leucas ,x,x,x,x
,Blacktip shark ,Carcharhinus limbatus ,x,x,x,x
,Lemon shark,Negaprion brevirostris,x,x,x,x
,Hammerhead ,Sphyrna zygaena,x,x,x,x
,Scalloped hammerhead,Scalloped hammerhead,,,,
,Whale shark,Rhincodon typus,,,,
,Nurse shark,Ginglymostoma cirratum,x,x,x,x
,Tiger shark,Galeocerdo cuvier,x,x,x,x
Ray,Southern stingray,Dasyatis americana,x,x,x,x
,Manta ray ,Manta birostris,x*,x*,,x*
,Caribbean round stingray,Himantura schmardae,x,x,x,x
,Spotted eagle ray ,Aetobatus narinari,x,x,x,x
Drum,Highhat,Equetus acuminatus ,x,x,x,x
,Jackknife,Equetus lanceolatus ,x,x,x,x
,Spotted,Equetus punctales ,x,x,x,x
