Species
Nebrius ferrugineus
Carcharhinus albimarginatus
Triaenodon obesus
Carcharhinus melanopterus
Carcharhinus amblyrhynchos
Himantura jenkinsii
Taeniurops meyeni
Aetobatis narinari
Manta birostrios
Gymnothorax breedeni
Gymnothorax javanicus
Gymnothorax meleasgris
Heteroconger hassi
Chanos chanos
Synodus jaculum
Synodus dermatogenys
Synodus variegatus
Saurida nebulosa
Sargocentron caudimaculatum
Myripristis berndti
Sargocentron tiere
Sargocentron spiniferum
Sargocentron microstomus
Neoniphon sammara
Neoniphon opercularis
Myripristis vittata
Myripristis violacea
Myripristis murdjan
Myripristis kuntee
Sargocentron diadema
Myripristis adusta
Myripristis melanosticta
Aulostomus chinensis
Fistularia commersonii
Scorpaenopsis diabola
Pseudanthias evansi
Epinephelus polyphekadion
Epinephelus multinotatus
Epinephelus lanceolatus
Epinephelus fuscoguttatus
Epinephelus fasciatus
Epinephelus areolatus
Epinephelus tukula
Gracila albomarginata
Luzonichthys microlepis
Nemanthias carberryi
Epinephelus spilotoceps
Plectropomus punctatus
Cephalopholis spiloparaea
Pseudanthias squamipinnis
Variola louti
Dermatolepis striolatus
Cephalopholis nigripinnis
Aethaloperca rogaa
Cephalopholis argus
Cephalopholis leopardus
Cephalopholis miniata
Plectropomus laevis
Priacanthus hamrur
Cheilodipterus quinquelineatus
Apogon angustatus
Apogon apogonoides
Apogon fraenatus
Apogon kallopterus
Rhabdamia gracilis
Cheilodipterus macrodon
Apogon nigrofasciatus
Malacanthus latovittatus
Malacanthus brevirostris
Caranx melampygus
Scomberoides lysan
Elagatis bipinnulata
Caranx sexfasciatus
Carangoides ferdau
Caranx ignobilis
Trachinotus blochii
Lutjanus monostigma
Lutjanus kasmira
Lutjanus gibbus
Lutjanus fulviflamma
Lutjanus ehrenbergii
Aphareus furca
Aprion virescens
Lutjanus bohar
Lutjanus fulvus
Lutjanus bengalensis
Macolor niger
Lutjanus rivulatus
Pterocaesio tile
Pterocaesio lativittata
Caesio teres
Caesio xanthonota
Pterocaesio chrysozona
Caesio lunaris
Caesio sp .1
Plectorhinchus paulayi
Plectorhinchus vittatus
Plectorhinchus picus
Plectorhinchus albovittatus
Plectorhinchus plagiodesmus
Lethrinus obsoletus
Monotaxis grandoculis
Gnathodentex aureolineatus
Lethrinus erythracanthus
Lethrinus lentjan
Lethrinus mahsena
Lethrinus microdon
Lethrinus nebulosus
Lethrinus olivaceus
Lethrinus variegatus
Lethrinus xanthochilus
Parupeneus pleurostigma
Parupeneus rubescens
Mulloidichthys flavolineatus
Mulloidichthys vanicolensis
Parupeneus barberinus
Parupeneus ciliatus
Parupeneus cyclostomus
Parupeneus macronema
Parupeneus trifasciatus
Pempheris tominagai
Pempheris vanicolensis
Kyphosus cinerascens
Chaetodon xanthocephalus
Heniochus monoceros
Hemitaurichthys zoster
Chaetodon bennetti
Chaetodon falcula
Forcipiger longirostris
Chaetodon guttatissimus
Chaetodon kleinii
Chaetodon interruptus
Chaetodon auriga
Heniochus acuminatus
Chaetodon trifasciatus
Chaetodon lineolatus
Chaetodon lunula
Chaetodon madagaskariensis
Chaetodon melannotus
Chaetodon meyeri
Chaetodon mitratus
Chaetodon trifascialis
Forcipiger flavissimus
Pomacanthus imperator
