0
Phylum CHORDATA
Class CHONDRICHTHYES
Order ORECTOLOBIFORMES
Family Ginglymostomatidae
"Ginglymostoma unami Moral-Flores, Ramírez-Antonio, Angulo &"
"Hyporthodus niphobles (Gilbert & Starks, 1897)"
"Liopropoma fasciatum (Bussing, 1980)"
"Liopropoma longilepis Garman, 1899"
"Mycteroperca olfax (Jenyns, 1840)"
"Pronotogrammus multifasciatus Gill, 1863"
"Pseudogramma thaumasia (Gilbert, 1900)"
"Rypticus bicolor (Valenciennes, 1846)"
"Serranus aequidens Gilbert, 1890"
"Serranus psittacinus Valenciennes, 1846"
"Serranus tico Meisler & Lavenberg in Allen & Robertson, 1998"
Family Opistognathidae
"Opistognathus panamaensis Allen & Robertson, 1991"
Family Priacanthidae
"Cookeolus japonicus (Cuvier, 1829)"
"Heteropriacanthus cruentatus (Lacepède, 1801)"
"Pristigenys serrula (Gilbert, 1891)"
Family Apogonidae
"Apogon atradorsatus Heller & Snodgrass, 1903"
"Apogon atricaudus (Jordan & McGregor, 1898)"
"Apogon dovii Günther, 1862"
"Apogon pacificus (Herre, 1935)"
"Apogon retrosella (Gill, 1862)"
Family Malacanthidae
"Caulolatilus affinis Gill, 1865"
"Caulolatilus hubbsi Dooley, 1978"
"Caulolatilus princeps (Jenyns, 1840)"
"Malacanthus brevirostris Guichenot, 1848"
Family Echeneidae
"Echeneis naucrates (Linnaeus, 1758)"
Family Carangidae
"Alectis ciliaris (Bloch, 1787)"
"Carangoides orthogrammus (Jordan & Gilbert, 1882)"
"Caranx caballus (Günther, 1868)"
"Caranx caninus Günther, 1867"
"Caranx lugubris (Poey, 1860)"
"Caranx melampygus (Cuvier, 1833)"
"Caranx sexfasciatus (Quoy & Gaimard, 1825)"
"Elagatis bipinnulata (Quoy & Gaimard, 1825)"
"Gnathanodon speciosus (Forsskål, 1775)"
"Seriola lalandi Valenciennes, 1833"
"Seriola peruana Steindachner, 1881"
"Seriola rivoliana (Valenciennes, 1833)"
"Trachinotus rhodopus Gill, 1863"
"Trachinotus stilbe (Jordan & McGregor, 1898)"
"Uraspis helvola (Forster, 1801)"
Family Lutjanidae
"Aphareus furca (Lacepède, 1801)"
"Hoplopagrus guentherii Gill, 1862"
"Lutjanus aratus (Günther, 1864)"
"Lutjanus argentiventris (Peters, 1869)"
"Lutjanus colorado Jordan & Gilbert, 1882"
"Lutjanus guttatus (Steindachner, 1869)"
"Lutjanus inermis (Peters, 1869)"
"Lutjanus jordani (Gilbert, 1898)"
"Lutjanus novemfasciatus Gill, 1862"
"Lutjanus viridis (Valenciennes, 1846)"
Family Haemulidae
"Anisotremus caesius (Jordan & Gilbert, 1882)"
"Anisotremus scapularis (Tschudi, 1846)"
"Anisotremus interruptus (Gill, 1862)"
"Anisotremus taeniatus Gill, 1861"
"Haemulon scudderii Gill, 1862"
"Haemulon sexfasciatum Gill, 1862"
"Haemulon steindachneri (Jordan & Gilbert, 1882)"
Family Sciaenidae
"Corvula macrops (Steindachner, 1876)"
"Odontoscion eurymesops (Heller & Snodgrass, 1903)"
"Umbrina galapagorum Steindachner, 1878"
Family Mullidae
"Mulloidichthys dentatus (Gill, 1862)"
Family Kyphosidae
"Kyphosus vaigiensis (Gill, 1862)"
"Kyphosus elegans (Peters, 1869)"
"Kyphosus ocyurus (Jordan & Gilbert, 1882)"
Family Chaetodontidae
"Chaetodon humeralis Günther, 1860"
"Chaetodon lunula (Lacepède, 1802)"
"Forcipiger flavissimus (Jordan & McGregor, 1898)"
"Johnrandallia nigrirostris (Gill, 1862)"
"Prognathodes carlhubbsi Nalbant, 1995"
"Prognathodes falcifer (Hubbs & Rechnitzer, 1958)"
Family Pomacanthidae
"Holacanthus passer Valenciennes, 1846"
"Pomacanthus zonipectus (Gill, 1862)"
Family Kuhliidae
"Kuhlia mugil (Forster, 1801)"
Family Cirrhitidae
"Cirrhitichthys oxycephalus (Bleeker, 1855)"
"Cirrhitus rivulatus (Valenciennes, 1846)"
"Oxycirrhites typus Bleeker, 1857"
Family Pomacentridae
"Abudefduf concolor (Gill, 1862)"
"Abudefduf declivifrons (Gill, 1862)"
"Abudefduf troschelii (Gill, 1862)"
"Azurina eupalama Heller & Snodgrass, 1903"
"Chromis alta (Greenfield & Woods, 1980)"
"Chromis atrilobata Gill, 1862"
"Microspathodon bairdii (Gill, 1862)"
"Microspathodon dorsalis (Gill, 1862)"
"Stegastes acapulcoensis (Fowler, 1944)"
"Stegastes arcifrons (Heller & Snodgrass, 1903)"
"Stegastes beebei (Nichols, 1924)"
"Stegastes flavilatus (Gill, 1862)"
"Stegastes leucorus (Gilbert, 1892)"
Family Labridae
"Bodianus diplotaenia (Gill, 1862)"
"Decodon melasma Gomon, 1974"
"Halichoeres adustus (Gilbert, 1890)"
"Halichoeres chierchiae Di Caporiacco, 1948"
"Halichoeres discolor Bussing, 1983"
"Halichoeres dispilus (Günther, 1864)"
"Halichoeres melanotis (Gilbert, 1890)"
"Halichoeres nicholsi (Jordan & Gilbert, 1882)"
"Halichoeres notospilus (Günther, 1864)"
"Halichoeres salmofasciatus Allen & Robertson, 2002"
"Iniistius pavo (Valenciennes, 1840)"
"Novaculichthys taeniourus (Lacepède, 1801)"
"Polylepion cruentum Gomon, 1977"
