"";"Name quoted";"Valide Name";"Simplified group";"Kingdom";"Class";"Order";"Family";"CD_NOM";"Date of the last observation"
"";"Selenia lunularia (Hübner, 1788)";"Selenia lunularia (Hübner, 1788)";"Insectes et araignées";"Animalia";"Insecta";"Lepidoptera";"Geometridae";"248925";"24-06-2011"
"";"Senecio lividus L., 1753";"Senecio lividus L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asterales";"Asteraceae";"122656";"08-05-1985"
"";"Senecio transiens (Rouy) Jeanm., 2003";"Senecio transiens (Rouy) Jeanm., 2003";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asterales";"Asteraceae";"444455";"08-05-2018"
"";"Serapias cordigera L., 1763";"Serapias cordigera L., 1763";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Orchidaceae";"122794";"11-05-2019"
"";"Serapias lingua L., 1753";"Serapias lingua L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Orchidaceae";"122810";"08-05-2018"
"";"Serapias neglecta De Not., 1844";"Serapias neglecta De Not., 1844";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Orchidaceae";"122819";"06-05-2018"
"";"Serapias olbia Verg., 1908";"Serapias olbia Verg., 1908";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Orchidaceae";"122824";"04-05-2007"
"";"Serapias parviflora Parl., 1837";"Serapias parviflora Parl., 1837";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Orchidaceae";"122830";"08-05-2018"
"";"Serinus serinus (Linnaeus, 1766)";"Serinus serinus (Linnaeus, 1766)";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Fringillidae";"4571";"25-04-2017"
"";"Serpula vermicularis Linnaeus, 1767";"Serpula vermicularis Linnaeus, 1767";"Autres";"Animalia";"Polychaeta";"Sabellida";"Serpulidae";"365291";"02-08-2019"
"";"Serranus cabrilla (Linnaeus, 1758)";"Serranus cabrilla (Linnaeus, 1758)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Serranidae";"69310";"14-09-2020"
"";"Serranus scriba (Linnaeus, 1758)";"Serranus scriba (Linnaeus, 1758)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Serranidae";"69314";"14-09-2020"
"";"Sesbania punicea (Cav.) Benth., 1859";"Sesbania punicea (Cav.) Benth., 1859";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Fabales";"Fabaceae";"122993";"12-05-2018"
"";"Seseli bocconei subsp. praecox Gamisans, 1972";"Seseli praecox (Gamisans) Gamisans, 1985";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Apiales";"Apiaceae";"141037";"25-04-2008"
"";"Seseli praecox (Gamisans) Gamisans, 1985";"Seseli praecox (Gamisans) Gamisans, 1985";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Apiales";"Apiaceae";"123045";"08-05-2018"
"";"Setophaga striata (Forster, 1772)";"Setophaga striata (Forster, 1772)";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Parulidae";"627671";"25-06-2019"
"";"Sherardia arvensis L., 1753";"Sherardia arvensis L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Gentianales";"Rubiaceae";"123164";"12-05-2018"
"";"Sideritis romana L., 1753 subsp. romana";"Sideritis romana L., 1753 subsp. romana";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Lamiales";"Lamiaceae";"141101";"08-05-2018"
"";"Sideritis romana L., 1753";"Sideritis romana L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Lamiales";"Lamiaceae";"123325";"06-06-2018"
"";"Silene gallica L., 1753 [nom. cons.]";"Silene gallica L., 1753 [nom. cons.]";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Caryophyllaceae";"123485";"12-05-2018"
"";"Silene latifolia Poir., 1789 subsp. latifolia";"Silene latifolia Poir., 1789";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Caryophyllaceae";"141166";"08-05-2018"
"";"Silene succulenta subsp. corsica (DC.) Nyman, 1878";"Silene succulenta subsp. corsica (DC.) Nyman, 1878";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Caryophyllaceae";"141193";"25-04-2013"
"";"Silene vulgaris (Moench) Garcke, 1869 subsp. vulgaris";"Silene vulgaris (Moench) Garcke, 1869 subsp. vulgaris";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Caryophyllaceae";"141214";"08-05-2018"
"";"Silene vulgaris (Moench) Garcke, 1869";"Silene vulgaris (Moench) Garcke, 1869";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Caryophyllaceae";"123683";"12-05-2018"
"";"Silo rufescens (Rambur, 1842)";"Silo rufescens (Rambur, 1842)";"Insectes et araignées";"Animalia";"Insecta";"Trichoptera";"Goeridae";"79178";"14-10-1981"
"";"Silybum marianum (L.) Gaertn., 1791";"Silybum marianum (L.) Gaertn., 1791";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asterales";"Asteraceae";"123705";"11-05-2018"
"";"Simitidion simile (C.L. Koch, 1836)";"Simitidion simile (C.L. Koch, 1836)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Theridiidae";"234118";"02-06-2010"
"";"Theridion simile C.L. Koch, 1836";"Simitidion simile (C.L. Koch, 1836)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Theridiidae";"1287";"25-05-1988"
"";"Sisymbrium officinale (L.) Scop., 1772";"Sisymbrium officinale (L.) Scop., 1772";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Brassicales";"Brassicaceae";"123863";"12-05-2018"
"";"Smilax aspera L., 1753";"Smilax aspera L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Liliales";"Smilacaceae";"123987";"17-09-2020"
"";"Smittina cervicornis (Pallas, 1766)";"Smittina cervicornis (Pallas, 1766)";"Autres";"Animalia";"Gymnolaemata";"Cheilostomatida";"Smittinidae";"387463";"11-07-2016"
"";"Smyrnium olusatrum L., 1753";"Smyrnium olusatrum L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Apiales";"Apiaceae";"124003";"09-04-2019"
"";"Solanum dulcamara L., 1753";"Solanum dulcamara L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Solanales";"Solanaceae";"124034";"08-05-2018"
"";"Solanum nigrum L., 1753 f. nigrum";"Solanum nigrum L., 1753 subsp. nigrum";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Solanales";"Solanaceae";"620750";"10-05-1983"
"";"Solenopsis laurentia (L.) C.Presl, 1836";"Solenopsis laurentia (L.) C.Presl, 1836";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asterales";"Campanulaceae";"124150";"10-08-1932"
"";"Sonchus oleraceus L., 1753";"Sonchus oleraceus L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asterales";"Asteraceae";"124261";"08-05-2018"
"";"Sparus aurata Linnaeus, 1758";"Sparus aurata Linnaeus, 1758";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Sparidae";"69668";"14-09-2020"
"";"Spergula arvensis subsp. chieusseana (Pomel) Briq., 1910";"Spergula arvensis L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Caryophyllaceae";"141348";"25-04-1984"
"";"Spergula arvensis L., 1753";"Spergula arvensis L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Caryophyllaceae";"124499";"14-09-1983"
"";"Spergularia bocconei (Scheele) Graebn., 1919";"Spergularia bocconei (Scheele) Graebn., 1919";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Caryophyllaceae";"124545";"04-07-1984"
"";"Spergularia rubra (L.) J.Presl & C.Presl, 1819";"Spergularia rubra (L.) J.Presl & C.Presl, 1819";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Caryophyllaceae";"124578";"01-05-1994"
"";"Spermophorides simoni (Senglet, 1973)";"Spermophorides simoni (Senglet, 1973)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Pholcidae";"233963";"15-05-2014"
"";"Sphaerechinus granularis (Lamarck, 1816)";"Sphaerechinus granularis (Lamarck, 1816)";"Autres";"Animalia";"Echinoidea";"Camarodonta";"Toxopneustidae";"28446";"06-08-2019"
"";"Sphingonotus caerulans (Linnaeus, 1767)";"Sphingonotus caerulans (Linnaeus, 1767)";"Insectes et araignées";"Animalia";"Insecta";"Orthoptera";"Acrididae";"66200";"17-08-2013"
"";"Sphingonotus caerulans corsicus Chopard, 1923";"Sphingonotus corsicus Chopard, 1923";"Insectes et araignées";"Animalia";"Insecta";"Orthoptera";"Acrididae";"66203";"23-07-1980"
"";"Sphyraena sphyraena (Linnaeus, 1758)";"Sphyraena sphyraena (Linnaeus, 1758)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Sphyraenidae";"69808";"09-06-1993"
"";"Spicara maena (Linnaeus, 1758)";"Spicara maena (Linnaeus, 1758)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Sparidae";"69685";"26-06-2014"
"";"Spilostethus pandurus (Scopoli, 1763)";"Spilostethus pandurus (Scopoli, 1763)";"Insectes et araignées";"Animalia";"Insecta";"Hemiptera";"Lygaeidae";"238248";"07-07-2017"
"";"Spinus spinus (Linnaeus, 1758)";"Spinus spinus (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Fringillidae";"889056";"23-05-2017"
"";"Spiranthes spiralis (L.) Chevall., 1827";"Spiranthes spiralis (L.) Chevall., 1827";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Orchidaceae";"124701";"08-10-2020"
"";"Spondyliosoma cantharus (Linnaeus, 1758)";"Spondyliosoma cantharus (Linnaeus, 1758)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Sparidae";"69672";"02-10-2011"
"";"Spongia (Spongia) officinalis Linnaeus, 1759";"Spongia officinalis Linnaeus, 1759";"Autres";"Animalia";"Demospongiae";"Dictyoceratida";"Spongiidae";"543977";"23-06-2014"
"";"Sporobolus pungens (Schreb.) Kunth, 1829";"Sporobolus pungens (Schreb.) Kunth, 1829";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Poales";"Poaceae";"124728";"20-07-1999"
"";"Stachys arvensis (L.) L., 1763";"Stachys arvensis (L.) L., 1763";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Lamiales";"Lamiaceae";"124744";"25-04-1984"
"";"Stachys glutinosa L., 1753";"Stachys glutinosa L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Lamiales";"Lamiaceae";"124773";"11-05-2018"
"";"Delphinium pictum Willd., 1809 subsp. pictum";"Staphisagria picta (Willd.) Jabbour, 2011 subsp. picta";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Ranunculales";"Ranunculaceae";"133782";"09-08-2010"
"";"Stauropus fagi (Linnaeus, 1758)";"Stauropus fagi (Linnaeus, 1758)";"Insectes et araignées";"Animalia";"Insecta";"Lepidoptera";"Notodontidae";"54570";"24-06-2011"
