"";"Name quoted";"Valide Name";"Simplified group";"Kingdom";"Class";"Order";"Family";"CD_NOM";"Date of the last observation"
"";"Acacia mearnsii De Wild., 1925";"Acacia mearnsii De Wild., 1925";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Fabales";"Fabaceae";"79700";"19-05-2019"
"";"Acanthella acuta Schmidt, 1862";"Acanthella acuta Schmidt, 1862";"Autres";"Animalia";"Demospongiae";"Bubarida";"Dictyonellidae";"71119";"02-09-2018"
"";"Acanthinula aculeata (O.F. Müller, 1774)";"Acanthinula aculeata (O.F. Müller, 1774)";"Escargots et autres mollusques";"Animalia";"Gastropoda";"Stylommatophora";"Valloniidae";"162964";"31-12-1995"
"";"Acanthus mollis L., 1753";"Acanthus mollis L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Lamiales";"Acanthaceae";"79721";"04-07-2019"
"";"Accipiter gentilis (Linnaeus, 1758)";"Accipiter gentilis (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Accipitriformes";"Accipitridae";"2891";"16-04-2016"
"";"Acetabularia acetabulum (L.) P.C.Silva, 1952";"Acetabularia acetabulum (L.) P.C.Silva, 1952";"Plantes, mousses et fougères";"Plantae";"Ulvophyceae";"Dasycladales";"Polyphysaceae";"372244";"02-08-2019"
"";"Acis longifolia J.Gay ex M.Roem., 1847";"Acis longifolia J.Gay ex M.Roem., 1847";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"80000";"30-04-2017"
"";"Leucojum longifolium (J.Gay ex M.Roem.) Gren., 1855";"Acis longifolia J.Gay ex M.Roem., 1847";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"105835";"10-05-2011"
"";"Acis rosea (F.Martin) Sweet, 1829";"Acis rosea (F.Martin) Sweet, 1829";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"80003";"19-10-2018"
"";"Leucojum roseum F.Martin, 1804";"Acis rosea (F.Martin) Sweet, 1829";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"105838";"01-11-2012"
"";"Acrocephalus scirpaceus (Hermann, 1804)";"Acrocephalus scirpaceus (Hermann, 1804)";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Acrocephalidae";"4195";"25-05-2005"
"";"Subacronicta megacephala (Denis & Schiffermüller, 1775)";"Acronicta megacephala (Denis & Schiffermüller, 1775)";"Insectes et araignées";"Animalia";"Insecta";"Lepidoptera";"Noctuidae";"520857";"24-06-2011"
"";"Actinia mediterranea Schmidt, 1971";"Actinia mediterranea Schmidt, 1971";"Autres";"Animalia";"Anthozoa";"Actiniaria";"Actiniidae";"829212";"03-07-2019"
"";"Actitis hypoleucos (Linnaeus, 1758)";"Actitis hypoleucos (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Charadriiformes";"Scolopacidae";"2616";"10-09-2019"
"";"Adeonella calveti Canu & Bassler, 1930";"Adeonella calveti Canu & Bassler, 1930";"Autres";"Animalia";"Gymnolaemata";"Cheilostomatida";"Adeonidae";"369148";"07-07-2015"
"";"Adiantum capillus-veneris L., 1753";"Adiantum capillus-veneris L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Polypodiales";"Pteridaceae";"447951";"20-07-1999"
"";"Aegithalos caudatus (Linnaeus, 1758)";"Aegithalos caudatus (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Aegithalidae";"4342";"01-05-2017"
"";"Aelurillus luctuosus (Lucas, 1846)";"Aelurillus luctuosus (Lucas, 1846)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Salticidae";"304334";"12-07-2013"
"";"Agalenatea redii (Scopoli, 1763)";"Agalenatea redii (Scopoli, 1763)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Araneidae";"1556";"28-09-2011"
"";"Agapetus cyrnensis Mosely, 1930";"Agapetus cyrnensis Mosely, 1930";"Insectes et araignées";"Animalia";"Insecta";"Trichoptera";"Glossosomatidae";"232518";"14-10-1981"
"";"Agave americana L., 1753";"Agave americana L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Asparagaceae";"80383";"25-09-2019"
"";"Agelas oroides (Schmidt, 1864)";"Agelas oroides (Schmidt, 1864)";"Autres";"Animalia";"Demospongiae";"Agelasida";"Agelasidae";"71479";"02-09-2018"
"";"Agelena labyrinthica (Clerck, 1758)";"Agelena labyrinthica (Clerck, 1758)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Agelenidae";"233169";"30-09-1987"
"";"Aglaophenia tubiformis Marktanner-Turneretscher, 1890";"Aglaophenia tubiformis Marktanner-Turneretscher, 1890";"Autres";"Animalia";"Hydrozoa";"Leptothecata";"Aglaopheniidae";"359724";"26-08-2017"
"";"Agrostis stolonifera L., 1753";"Agrostis stolonifera L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Poales";"Poaceae";"80759";"13-09-1985"
"";"Aidablennius sphynx (Valenciennes, 1836)";"Aidablennius sphynx (Valenciennes, 1836)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Blenniidae";"367313";"16-08-2016"
"";"Ailanthus altissima (Mill.) Swingle, 1916";"Ailanthus altissima (Mill.) Swingle, 1916";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Sapindales";"Simaroubaceae";"80824";"02-06-2019"
"";"Aiptasia mutabilis (Gravenhorst, 1831)";"Aiptasia mutabilis (Gravenhorst, 1831)";"Autres";"Animalia";"Anthozoa";"Actiniaria";"Aiptasiidae";"7547";"02-09-2018"
"";"Aira caryophyllea L., 1753";"Aira caryophyllea L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Poales";"Poaceae";"80857";"04-05-2010"
"";"Aira cupaniana Guss., 1843";"Aira cupaniana Guss., 1843";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Poales";"Poaceae";"80864";"01-05-1994"
"";"Alcedo atthis (Linnaeus, 1758)";"Alcedo atthis (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Coraciiformes";"Alcedinidae";"3571";"20-07-2015"
"";"Alcyonium coralloides (Pallas, 1766)";"Alcyonium coralloides (Pallas, 1766)";"Autres";"Animalia";"Anthozoa";"Alcyonacea";"Alcyoniidae";"359745";"07-07-2015"
"";"Alectoris rufa (Linnaeus, 1758)";"Alectoris rufa (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Galliformes";"Phasianidae";"2975";"06-05-2016"
"";"Algyroides fitzingeri (Wiegmann, 1834)";"Algyroides fitzingeri (Wiegmann, 1834)";"Amphibiens et reptiles";"Animalia";"";"Squamata";"Lacertidae";"77580";"01-01-2000"
"";"Allium acutiflorum Loisel., 1809";"Allium acutiflorum Loisel., 1809";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"81297";"12-05-1983"
"";"Allium parciflorum Viv., 1825";"Allium parciflorum Viv., 1825";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"81468";"30-06-1982"
"";"Allium pendulinum Ten., 1815";"Allium pendulinum Ten., 1815";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"81473";"12-05-2018"
"";"Allium roseum L., 1753 subsp. roseum";"Allium roseum L., 1753 subsp. roseum";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"143266";"06-05-1983"
"";"Allium subhirsutum L., 1753";"Allium subhirsutum L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"81525";"08-05-2018"
"";"Allium triquetrum L., 1753";"Allium triquetrum L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"81538";"25-04-2019"
"";"Allogamus corsicus (Ris, 1897)";"Allogamus corsicus (Ris, 1897)";"Insectes et araignées";"Animalia";"Insecta";"Trichoptera";"Limnephilidae";"79062";"14-10-1981"
"";"Alnus glutinosa (L.) Gaertn., 1790";"Alnus glutinosa (L.) Gaertn., 1790";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Fagales";"Betulaceae";"81569";"08-05-2018"
"";"Amaranthus deflexus L., 1771";"Amaranthus deflexus L., 1771";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Amaranthaceae";"81978";"10-05-1983"
"";"Amaryllis belladonna L., 1753 [nom. et typ. cons.]";"Amaryllis belladonna L., 1753 [nom. et typ. cons.]";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Amaryllidaceae";"82060";"17-09-2019"
"";"Lehmannia valentiana (A. Férussac, 1822)";"Ambigolimax valentianus (A. Férussac, 1822)";"Escargots et autres mollusques";"Animalia";"Gastropoda";"Stylommatophora";"Limacidae";"163199";"12-10-1999"
"";"Amphiroa cryptarthrodia Zanardini, 1844";"Amphiroa cryptarthrodia Zanardini, 1844";"Plantes, mousses et fougères";"Plantae";"Florideophyceae";"Corallinales";"Lithophyllaceae";"365424";"02-08-2019"
"";"Amphiroa rigida J.V.Lamour., 1816";"Amphiroa rigida J.V.Lamour., 1816";"Plantes, mousses et fougères";"Plantae";"Florideophyceae";"Corallinales";"Lithophyllaceae";"72464";"02-09-2018"
"";"Anacridium aegyptium (Linnaeus, 1764)";"Anacridium aegyptium (Linnaeus, 1764)";"Insectes et araignées";"Animalia";"Insecta";"Orthoptera";"Acrididae";"66262";"28-05-2019"
"";"Anax imperator Leach, 1815";"Anax imperator Leach, 1815";"Insectes et araignées";"Animalia";"Insecta";"Odonata";"Aeshnidae";"65473";"08-07-2019"
"";"Anelosimus pulchellus (Walckenaer, 1802)";"Anelosimus pulchellus (Walckenaer, 1802)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Theridiidae";"234079";"25-05-1988"
"";"Anelosimus vittatus (C.L. Koch, 1836)";"Anelosimus vittatus (C.L. Koch, 1836)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Theridiidae";"1255";"10-05-2019"
"";"Anemonia viridis (Forsskål, 1775)";"Anemonia viridis (Forsskål, 1775)";"Autres";"Animalia";"Anthozoa";"Actiniaria";"Actiniidae";"359982";"06-08-2019"
"";"Bromus madritensis L., 1755";"Anisantha madritensis (L.) Nevski, 1934";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Poales";"Poaceae";"86668";"14-05-1986"
"";"Anogramma leptophylla (L.) Link, 1841";"Anogramma leptophylla (L.) Link, 1841";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Polypodiales";"Pteridaceae";"82783";"30-04-2017"
"";"Anthemis arvensis L., 1753 subsp. arvensis";"Anthemis arvensis L., 1753 subsp. arvensis";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asterales";"Asteraceae";"131419";"08-05-2018"
"";"Anthemis arvensis subsp. incrassata (Loisel.) Nyman, 1879";"Anthemis arvensis subsp. incrassata (Loisel.) Nyman, 1879";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asterales";"Asteraceae";"131421";"08-05-2018"
"";"Anthemis arvensis L., 1753";"Anthemis arvensis L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asterales";"Asteraceae";"82817";"04-07-1984"
"";"Anthias anthias (Linnaeus, 1758)";"Anthias anthias (Linnaeus, 1758)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Serranidae";"69280";"14-09-2020"
"";"Anthus campestris (Linnaeus, 1758)";"Anthus campestris (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Passeriformes";"Motacillidae";"3713";"18-05-2010"
"";"Anyphaena accentuata (Walckenaer, 1802)";"Anyphaena accentuata (Walckenaer, 1802)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Anyphaenidae";"1715";"28-09-2011"
"";"Anyphaena sabina L. Koch, 1866";"Anyphaena sabina L. Koch, 1866";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Anyphaenidae";"1713";"28-09-2011"
"";"Aphanes arvensis L., 1753";"Aphanes arvensis L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Rosales";"Rosaceae";"83159";"01-05-1994"
"";"Aphantaulax trifasciata (O. Pickard-Cambridge, 1872)";"Aphantaulax trifasciata (O. Pickard-Cambridge, 1872)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Gnaphosidae";"302792";"22-09-1987"
"";"Aphanus rolandri (Linnaeus, 1758)";"Aphanus rolandri (Linnaeus, 1758)";"Insectes et araignées";"Animalia";"Insecta";"Hemiptera";"Rhyparochromidae";"238122";"18-04-2018"
"";"Apis mellifera Linnaeus, 1758";"Apis mellifera Linnaeus, 1758";"Insectes et araignées";"Animalia";"Insecta";"Hymenoptera";"Apidae";"239523";"07-07-2017"
"";"Aplysia fasciata Poiret, 1789";"Aplysia fasciata Poiret, 1789";"Escargots et autres mollusques";"Animalia";"Gastropoda";"Aplysiida";"Aplysiidae";"360034";"03-09-2020"
"";"Aplysina aerophoba (Nardo, 1833)";"Aplysina aerophoba (Nardo, 1833)";"Autres";"Animalia";"Demospongiae";"Verongiida";"Aplysinidae";"71856";"02-09-2018"
"";"Aplysina cavernicola (Vacelet, 1959)";"Aplysina cavernicola (Vacelet, 1959)";"Autres";"Animalia";"Demospongiae";"Verongiida";"Aplysinidae";"71857";"02-09-2018"
"";"Apodemus sylvaticus (Linnaeus, 1758)";"Apodemus sylvaticus (Linnaeus, 1758)";"Mammifères";"Animalia";"Mammalia";"Rodentia";"Muridae";"61510";"30-06-1982"
"";"Apogon imberbis (Linnaeus, 1758)";"Apogon imberbis (Linnaeus, 1758)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Apogonidae";"69391";"14-09-2020"
"";"Apus apus (Linnaeus, 1758)";"Apus apus (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Caprimulgiformes";"Apodidae";"3551";"10-06-2019"
"";"Apus pallidus (Shelley, 1870)";"Apus pallidus (Shelley, 1870)";"Oiseaux";"Animalia";"Aves";"Caprimulgiformes";"Apodidae";"3555";"02-10-2018"
"";"Aquila chrysaetos (Linnaeus, 1758)";"Aquila chrysaetos (Linnaeus, 1758)";"Oiseaux";"Animalia";"Aves";"Accipitriformes";"Accipitridae";"2645";"05-05-2016"
"";"Araneus diadematus Clerck, 1758";"Araneus diadematus Clerck, 1758";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Araneidae";"1597";"25-05-1988"
"";"Araniella cucurbitina (Clerck, 1758)";"Araniella cucurbitina (Clerck, 1758)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Araneidae";"1559";"15-05-2014"
"";"Arbacia lixula (Linnaeus, 1758)";"Arbacia lixula (Linnaeus, 1758)";"Autres";"Animalia";"Echinoidea";"Arbacioida";"Arbaciidae";"380828";"06-08-2019"
"";"Arbutus unedo L., 1753";"Arbutus unedo L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Ericales";"Ericaceae";"83481";"24-09-2020"
"";"Arca noae Linnaeus, 1758";"Arca noae Linnaeus, 1758";"Escargots et autres mollusques";"Animalia";"Bivalvia";"Arcida";"Arcidae";"64325";"07-07-2015"
"";"Ardea cinerea Linnaeus, 1758";"Ardea cinerea Linnaeus, 1758";"Oiseaux";"Animalia";"Aves";"Pelecaniformes";"Ardeidae";"2506";"20-05-2019"
"";"Arenaria leptoclados (Rchb.) Guss., 1844";"Arenaria leptoclados (Rchb.) Guss., 1844";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Caryophyllaceae";"83596";"07-05-1983"
"";"Argiope lobata (Pallas, 1772)";"Argiope lobata (Pallas, 1772)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Araneidae";"1553";"01-08-1992"
"";"Argynnis pandora (Denis & Schiffermüller, 1775)";"Argynnis pandora (Denis & Schiffermüller, 1775)";"Insectes et araignées";"Animalia";"Insecta";"Lepidoptera";"Nymphalidae";"219819";"31-08-2019"
"";"Ariadna gallica Wunderlich, 2012";"Ariadna gallica Wunderlich, 2012";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Segestriidae";"720112";"15-05-2014"
"";"Ariadna insidiatrix auct. non Audouin, 1826";"Ariadna gallica Wunderlich, 2012";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Segestriidae";"1171";"25-05-1988"
"";"Aricia agestis (Denis & Schiffermüller, 1775)";"Aricia agestis (Denis & Schiffermüller, 1775)";"Insectes et araignées";"Animalia";"Insecta";"Lepidoptera";"Lycaenidae";"521494";"31-08-2019"
"";"Arion intermedius Normand, 1852";"Arion intermedius Normand, 1852";"Escargots et autres mollusques";"Animalia";"Gastropoda";"Stylommatophora";"Arionidae";"64182";"01-05-2000"
"";"Arisarum vulgare O.Targ.Tozz., 1810";"Arisarum vulgare O.Targ.Tozz., 1810";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Alismatales";"Araceae";"83755";"12-05-2018"
"";"Aristolochia tyrrhena E.Nardi & Arrigoni, 1983";"Aristolochia tyrrhena E.Nardi & Arrigoni, 1983";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Piperales";"Aristolochiaceae";"83796";"11-05-1993"
"";"Armadillidium assimile Budde-Lund, 1885";"Armadillidium assimile Budde-Lund, 1885";"Crabes, crevettes, cloportes et mille-pattes";"Animalia";"Malacostraca";"Isopoda";"Armadillidiidae";"237012";"31-12-1996"
"";"Armadillidium lanzai Taiti & Ferrara, 1996";"Armadillidium lanzai Taiti & Ferrara, 1996";"Crabes, crevettes, cloportes et mille-pattes";"Animalia";"Malacostraca";"Isopoda";"Armadillidiidae";"237018";"31-10-2020"
"";"Armadillidium vulgare (Latreille, 1804)";"Armadillidium vulgare (Latreille, 1804)";"Crabes, crevettes, cloportes et mille-pattes";"Animalia";"Malacostraca";"Isopoda";"Armadillidiidae";"18829";"10-05-2015"
"";"Armeria soleirolii (Duby) Godr., 1853";"Armeria soleirolii (Duby) Godr., 1853";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Plumbaginaceae";"83852";"25-04-2013"
"";"Asparagopsis armata Harvey, 1855";"Asparagopsis armata Harvey, 1855";"Plantes, mousses et fougères";"Plantae";"Florideophyceae";"Bonnemaisoniales";"Bonnemaisoniaceae";"72500";"02-08-2019"
"";"Asparagopsis taxiformis (Delile) Trevis., 1845";"Asparagopsis taxiformis (Delile) Trevis., 1845";"Plantes, mousses et fougères";"Plantae";"Florideophyceae";"Bonnemaisoniales";"Bonnemaisoniaceae";"366128";"02-08-2019"
"";"Asparagus acutifolius L., 1753";"Asparagus acutifolius L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Asparagaceae";"84264";"16-06-2010"
"";"Asparagus albus L., 1753";"Asparagus albus L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Asparagaceae";"84265";"16-06-2010"
"";"Asperula laevigata L., 1767";"Asperula laevigata L., 1767";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Gentianales";"Rubiaceae";"84312";"04-07-1984"
"";"Asphodelus cerasiferus J.Gay, 1857";"Asphodelus cerasiferus J.Gay, 1857";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Asphodelaceae";"84345";"16-06-2010"
"";"Asphodelus ramosus L., 1753 subsp. ramosus";"Asphodelus ramosus L., 1753 subsp. ramosus";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asparagales";"Asphodelaceae";"131791";"12-05-2018"
"";"Asplenium adiantum-nigrum L., 1753";"Asplenium adiantum-nigrum L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Polypodiales";"Aspleniaceae";"84458";"06-06-2018"
"";"Asplenium ceterach L., 1753 subsp. ceterach";"Asplenium ceterach L., 1753 subsp. ceterach";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Polypodiales";"Aspleniaceae";"131812";"05-05-1983"
"";"Asplenium ceterach L., 1753";"Asplenium ceterach L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Polypodiales";"Aspleniaceae";"84472";"18-05-2018"
"";"Asplenium marinum L., 1753";"Asplenium marinum L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Polypodiales";"Aspleniaceae";"84501";"12-05-1983"
"";"Asplenium obovatum Viv., 1824 subsp. obovatum";"Asplenium obovatum Viv., 1824 subsp. obovatum";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Polypodiales";"Aspleniaceae";"131833";"30-04-2017"
"";"Asplenium obovatum subsp. billotii (F.W.Schultz) O.Bolòs, Vigo, Massales & Ninot, 1990";"Asplenium obovatum subsp. billotii (F.W.Schultz) O.Bolòs, Vigo, Massales & Ninot, 1990";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Polypodiales";"Aspleniaceae";"131829";"25-04-1984"
"";"Asplenium obovatum Viv., 1824";"Asplenium obovatum Viv., 1824";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Polypodiales";"Aspleniaceae";"84511";"05-05-1983"
"";"Asplenium onopteris L., 1753";"Asplenium onopteris L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Polypodiales";"Aspleniaceae";"84513";"08-05-2018"
"";"Asplenium trichomanes L., 1753";"Asplenium trichomanes L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Polypodiales";"Aspleniaceae";"84534";"02-07-1982"
"";"Astragalus hamosus L., 1753";"Astragalus hamosus L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Fabales";"Fabaceae";"84846";"04-06-1980"
"";"Athripsodes genei (Rambur, 1842)";"Athripsodes genei (Rambur, 1842)";"Insectes et araignées";"Animalia";"Insecta";"Trichoptera";"Leptoceridae";"79082";"18-06-1981"
"";"Atriplex patula L., 1753";"Atriplex patula L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Amaranthaceae";"85102";"10-05-1983"
"";"Sitticus terebratus (Clerck, 1758)";"Attulus terebratus (Clerck, 1758)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Salticidae";"234050";"25-05-1988"
"";"Axinella damicornis (Esper, 1794)";"Axinella damicornis (Esper, 1794)";"Autres";"Animalia";"Demospongiae";"Axinellida";"Axinellidae";"71126";"02-09-2018"
"";"Axinella polypoides Schmidt, 1862";"Axinella polypoides Schmidt, 1862";"Autres";"Animalia";"Demospongiae";"Axinellida";"Axinellidae";"71130";"06-08-2019"
"";"Axinella verrucosa (Esper, 1794)";"Axinella verrucosa (Esper, 1794)";"Autres";"Animalia";"Demospongiae";"Axinellida";"Axinellidae";"71128";"02-09-2018"
"";"Balanophyllia europaea (Risso, 1826)";"Balanophyllia europaea (Risso, 1826)";"Autres";"Animalia";"Anthozoa";"Scleractinia";"Dendrophylliidae";"360280";"02-09-2018"
"";"Ballus armadillo (Simon, 1871)";"Ballus armadillo (Simon, 1871)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Salticidae";"947";"24-05-1988"
"";"Ballus depressus (Walckenaer, 1802)";"Ballus chalybeius (Walckenaer, 1802)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Salticidae";"944";"24-05-1988"
"";"Barbarea rupicola Moris, 1827 var. rupicola";"Barbarea rupicola Moris, 1827 var. rupicola";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Brassicales";"Brassicaceae";"613466";"24-04-2014"
"";"Barbarea rupicola Moris, 1827";"Barbarea rupicola Moris, 1827";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Brassicales";"Brassicaceae";"85550";"24-04-2014"
"";"Barbastella barbastellus (Schreber, 1774)";"Barbastella barbastellus (Schreber, 1774)";"Mammifères";"Animalia";"Mammalia";"Chiroptera";"Vespertilionidae";"60345";"01-09-2016"
"";"Bartsia trixago L., 1753";"Bartsia trixago L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Lamiales";"Orobanchaceae";"85617";"08-05-2018"
"";"Xysticus robustus (Hahn, 1831)";"Bassaniodes robustus (Hahn, 1832)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Thomisidae";"457395";"12-07-2013"
"";"Xysticus robustus (Hahn, 1832)";"Bassaniodes robustus (Hahn, 1832)";"Insectes et araignées";"Animalia";"Arachnida";"Araneae";"Thomisidae";"1668";"17-01-2013"
"";"Bellis perennis L., 1753";"Bellis perennis L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asterales";"Asteraceae";"85740";"13-05-1986"
"";"Bellium bellidioides L., 1771";"Bellium bellidioides L., 1771";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Asterales";"Asteraceae";"85747";"06-05-1983"
"";"Beraea aureomarginata Mosely, 1930";"Beraea aureomarginata Mosely, 1930";"Insectes et araignées";"Animalia";"Insecta";"Trichoptera";"Beraeidae";"79159";"18-06-1981"
"";"Beraeodina palpalis Mosely, 1931";"Beraeodina palpalis Mosely, 1931";"Insectes et araignées";"Animalia";"Insecta";"Trichoptera";"Beraeidae";"78864";"18-06-1981"
"";"Beta maritima L., 1762";"Beta vulgaris subsp. maritima (L.) Arcang., 1882";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Caryophyllales";"Amaranthaceae";"85813";"12-05-1983"
"";"Biscutella didyma L., 1753 subsp. didyma";"Biscutella didyma L., 1753 [nom. et typ. cons.]";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Brassicales";"Brassicaceae";"132143";"08-05-1983"
"";"Astragalus pelecinus (L.) Barneby, 1964";"Biserrula pelecinus L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Fabales";"Fabaceae";"84881";"13-05-1986"
"";"Bispira volutacornis (Montagu, 1804)";"Bispira volutacornis (Montagu, 1804)";"Autres";"Animalia";"Polychaeta";"Sabellida";"Sabellidae";"371450";"07-07-2015"
"";"Bituminaria bituminosa (L.) C.H.Stirt., 1981";"Bituminaria bituminosa (L.) C.H.Stirt., 1981";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Fabales";"Fabaceae";"86083";"08-05-2018"
"";"Blackstonia perfoliata (L.) Huds., 1762 subsp. perfoliata";"Blackstonia perfoliata (L.) Huds., 1762 subsp. perfoliata";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Gentianales";"Gentianaceae";"132169";"02-07-1982"
"";"Bombus xanthopus Kriechbaumer, 1870";"Bombus xanthopus Kriechbaumer, 1870";"Insectes et araignées";"Animalia";"Insecta";"Hymenoptera";"Apidae";"814744";"13-04-2018"
"";"Bonellia viridis Rolando, 1821";"Bonellia viridis Rolando, 1821";"Autres";"Animalia";"Polychaeta";"Echiuroidea";"Bonelliidae";"28473";"05-09-2017"
"";"Bonnemaisonia asparagoides (Woodward) C.Agardh, 1822";"Bonnemaisonia asparagoides (Woodward) C.Agardh, 1822";"Plantes, mousses et fougères";"Plantae";"Florideophyceae";"Bonnemaisoniales";"Bonnemaisoniaceae";"72533";"07-07-2015"
"";"Boops boops (Linnaeus, 1758)";"Boops boops (Linnaeus, 1758)";"Poissons";"Animalia";"Actinopterygii";"Perciformes";"Sparidae";"69590";"05-09-2017"
"";"Borago officinalis L., 1753";"Borago officinalis L., 1753";"Plantes, mousses et fougères";"Plantae";"Equisetopsida";"Boraginales";"Boraginaceae";"86156";"11-05-1983"
