0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
Acanthuridae,Zebrasoma,desjardinii,,,,X,X,,,
Apogonidae,Apogon,apogonoides,,,X,,X,,,
,,,,,,,,,,
Carangidae,Caranx,ignobilis,,X,,,,,X,
,,,,,,,,,,
Carangidae,Gnathanodon,speciosus,,,,,X,,X,
,,,,,,,,,,
Carcharhinidae,Carcharhinus,albimarginatus *,,,,,X,X,,
Chaetodontidae,Chaetodon,oxycephalus,,,X,,X,,,
,,,,,,,,,,
Chaetodontidae,Chaetodon,xanthocephalus,X,X,,,,,,
,,,,,,,,,,
Chaetodontidae,Heniochus,acuminatus,,X,,,X,,,
,,,,,,,,,,
Cirrhitidae,Cirrhitichthys,oxycephalus,X,,,,,,X,
,,,,,,,,,,
Ephippidae,Platax,teira,,,,,X,,X,
,,,,,,,,,,
Ginglymostomatidae,Nebrius,ferrugineus,,X,,,X,,,
Holocentridae,Myripristis,adusta,X,,,,,,,X
,,,,,,,,,,
Labridae,Anampses,lineatus,,,,,X,,X,
,,,,,,,,,,
Labridae,Bodianus,bilunulatus,X,,,,,,,X
,,,,,,,,,,
Labridae,Coris,cuvieri,,X,,,X,,,
,,,,,,,,,,
Labridae,Hologymnosus,annulatus,,,,,,,X,X
,,,,,,,,,,
Labridae,Pseudocheilinus,octotaenia,,X,,,,,,X
,,,,,,,,,,
Lethrinidae,Lethrinus,obsoletus,,X,,,,,X,
,,,,,,,,,,
Mobulidae,Aetobatis,narinari,X,,,,,X,,
,,,,,,,,,,
Mullidae,Mulloidichthys,vanicolensis,,X,,X,,,,
,,,,,,,,,,
Mullidae,Parupeneus,pleurostigma,,X,,,,X,,
,,,,,,,,,,
Pomacanthidae,Centropyge,acanthops,,,X,,X,,,
,,,,,,,,,,
Pomacanthidae,Centropyge,debelius,,,,X,X,,,
,,,,,,,,,,
Pomacentridae,Chromis,atripectoralis,,,,X,X,,,
,,,,,,,,,,
Pomacentridae,Dascyllus,carneus,,,X,,X,,,
,,,,,,,,,,
Pomacentridae,Plectroglyphidodon,johnstonianus,,,,,,X,,X
,,,,,,,,,,
Scaridae,Scarus,caudofasciatus,X,,,,X,,,
,,,,,,,,,,
Scaridae,Scarus,rubroviolaceus,,,,,,X,X,
Serranidae,Epinephelus,fuscoguttatus,,,,,,X,X,
,,,,,,,,,,
Serranidae,Pseudanthias,cooperi,,,,,X,,,X
,,,,,,,,,,
Siganidae,Siganus,stellatus,X,,X,,,,,
,,,,,,,,,,
Synodontidae,Synodus,jaculum,,,,X,,X,,
,,,,,,,,,,
Tetraodontidae,Canthigaster,valentini,,,,X,X,,,
,,,,,,,,,,
Acanthuridae,Naso,unicornis,,,,,,X,,
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Apogonidae,Cheilodipterus,artus,,,,,,,,X
,,,,,,,,,,
Balistidae,Balistoides,viridescens,,,,,,X,,
,,,,,,,,,,
Carangidae,Trachinotus,blochii,,,X,,,,,
,,,,,,,,,,
Carcharhinidae,Carcharhinus,amblyrhynchos,,X,,,,,,
,,,,,,,,,,
Carcharhinidae,Triaenodon,obesus,,,,,,,,X
,,,,,,,,,,
Chaetodontidae,Chaetodon,lineolatus,,,,,,,,X
,,,,,,,,,,
Chaetodontidae,Chaetodon,trifascialis,,,,,,,,X
,,,,,,,,,,
Chaetodontidae,Chaetodon,zanzibariensis,,,,,,,,X
,,,,,,,,,,
Chaetodontidae,Heniochus,diphreutes,,,,,,,,X
,,,,,,,,,,
Dasyatidae,Pateobatis,fai *,X,,,,,,,
,,,,,,,,,,
Ephippidae,Platax,orbicularis,,,,,,,,X
,,,,,,,,,,
Gobiidae,Amblyeleotris,periophthalma,,,,,,X,,
,,,,,,,,,,
Gobiidae,Gnatholepis,anjerensis,,,,,,,X,
,,,,,,,,,,
Gobiidae,Valenciennea,puellaris,,,,,,,,X
,,,,,,,,,,
Holocentridae,Myripristis,murdjan,,,,X,,,,
,,,,,,,,,,
Holocentridae,Sargocentron,diadema,,,,,,,,X
,,,,,,,,,,
Labridae,Anampses,caeruleopunctatus,,,,,,,X,
,,,,,,,,,,
Labridae,Anampses,twistii,,,,,,X,,
,,,,,,,,,,
Labridae,Coris,aygula,X,,,,,,,
,,,,,,,,,,
Labridae,Halichoeres,vrolikii,,,,,,,,X
,,,,,,,,,,
Labridae,Macropharyngodon,bipartitus,,,X,,,,,
,,,,,,,,,,
Labridae,Pseudocoris,heteroptera,,,,,,,,X
,,,,,,,,,,
Labridae,Pseudojuloides,kaleidos,,,,,,,,X
,,,,,,,,,,
Lethrinidae,Lethrinus,xanthochilus,,,,,,,,X
,,,,,,,,,,
Lutjanidae,Lutjanus,bengalensis,,,,,,,,X
,,,,,,,,,,
Monacanthidae,Cantherhines,pardalis,,,,X,,,,
,,,,,,,,,,
Ostraciidae,Ostracion,meleagris,,,,,X,,,
,,,,,,,,,,
Pinguipedidae,Parapercis,punctulata,,,,X,,,,
,,,,,,,,,,
Pomacanthidae,Centropyge,bispinosa,,,,,,,,X
,,,,,,,,,,
Pomacanthidae,Pomacanthus,annularis,,,,,,,,X
,,,,,,,,,,
Pomacentridae,Amphiprion,akallopisos,,,,X,,,,
,,,,,,,,,,
Pomacentridae,Chromis,viridis,,X,,,,,,
,,,,,,,,,,
Pomacentridae,Chromis,xutha,,,X,,,,,
,,,,,,,,,,
Scaridae,Bolbometopon,muricatum,,,,,,,,X
,,,,,,,,,,
Scaridae,Hipposcarus,harid,,,,,,X,,
,,,,,,,,,,
Scaridae,Scarus,psittacus,,,,,,,,X
,,,,,,,,,,
Scorpaenidae,Scorpaenopsis,oxycephala,,,,,,,,X
,,,,,,,,,,
Serranidae,Aethaloperca,rogaa,,X,,,,,,
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,,,,
Serranidae,Cephalopholis,sexmaculata,,,,X,,,,
,,,,,,,,,,
Serranidae,Epinephelus,lanceolatus,,,,X,,,,
,,,,,,,,,,
Serranidae,Epinephelus,macrospilos,,,,X,,,,
,,,,,,,,,,
Serranidae,Epinephelus,spilotoceps,,,X,,,,,
,,,,,,,,,,
Serranidae,Plectropomus,areolatus,,,,X,,,,
,,,,,,,,,,
Serranidae,Plectropomus,laevis,X,,,,,,,
,,,,,,,,,,
Serranidae,Plectropomus,punctatus,,,,X,,,,
,,,,,,,,,,
Siganidae,Siganus,argenteus,,,X,,,,,
,,,,,,,,,,
Sphyraenidae,Sphyraena,barracuda,,,,X,,,,
,,,,,,,,,,
Synodontidae,Saurida,gracilis,,,,X,,,,
,,,,,,,,,,
Synodontidae,Synodus,indicus,,,,X,,,,
,,,,,,,,,,
Tetraodontidae,Arothron,caeruleopunctatus *,,,X,,,,,
,,,,,,,,,,
Tetraodontidae,Arothron,meleagris,,X,,,,,,
,,,,,,,,,,
Tetraodontidae,Canthigaster,coronata,,,,X,,,,
