0,1,2,3,4,5,6,7
Gnathanodon speciosus,"(Forsskal, 1775)",,,,,,
Pseudocaranx dentex (Bloch,"and Schneider,",,,,1801),,
Selaroides leptolepis (Kuhl,"and van Hasselt,",,,,1833),,
"Seriola dumerili (Risso,",1810),,,,,,
"S. hippos Giimther, 1876",,,,,,,
"S. lalandi Valenciennes,",t833,,,,,,
"Trachinotus botla (Shaw,",1803),,,,,,
Trachurus novaezelandiae,"Richardson,",,1843.0,,,,
CAESIONIDAE,,,,,,,
"Caesio caerulaurea Lacepede,",1801,,,,,,
"GC. cuning (Bloch, 1791)",,,,,,,
Plerocaesio diagramma,"(Bleeker, 1865)",,,,,,
CAESIOSCORPIDIDAE,,,,,,,
Caesioscorpis theagenes,"Whitley, 19:15",,,,,,
LUTJANIDAE,,,,,,,
"Lutjanus bohar (Forsskal,",1775),,,,,,
"L. carponotatus (Richardson,",1842),,,,,,
"L. fulviflamma (Forsskal,",1775),,,,,,
"L. kasmaira (Vorsskal, 1775)",,,,,,,
"L. lemniscatus (Valenciennes,",1828),,,,,,
NEMIPTERIDAE,,,,,,,
"Pentapodus porosus (Valenciennes,",1830),,,,,,
"P. vitta Quoy and Gaimard,",1824,,,,,,
"Scaeuius mili (Bory,",Unnamed: 1,1823),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,
Scolopsis bilineatus,,(Bloch. 1793),,,,,
HAKMULIDAE,,,,,,,
Diagramima pichan,,"(Vhunberg, 1792)",,,,,
Plectorhinchus flavomaculatus,,"(Khyenberg,",,1830),,,
"Po omudtrvittatum: (Macleay,",,1878),,,,,
"P. schotaf (Forsskal,",,1775),,,,,
LE TLRINIDAE,,,,,,,
"Lethrinus atkinsoni Seale,",,1909,,,,,
"L. genivittatus Valenciennes,",,1830,,,,,
L. laticaudis Alleyne and,,"Macleay, 1877",,,,,
"L. miniatus (Schneider,",,1801),,,,,
"L. nebulosus (Forsskal,",,1775),,,,,
SPARIDAE,,,,,,,
Acanthopagrus latus,,"(Llouttuyn, 1782)",,,,,
Chrysophrys arvatus,,"(Schneider, 1801)",,,,,
Rhabdosargus sarba,,"(Forsskal, 1775)",,,,,
SCIAENIDAE,,,,,,,
Areyrosomus hololepidotus,,"(Lacepede,",1801),,,,
MULLIDAE,,,,,,,
Parupeneus chrysopleuron,,(lemminck,and,"Schlegel,",,1813),
"P. indicus (Shaw, 1803)",,,,,,,
"P. pleurostigma (Bennett,",,(831),,,,,
"P. signatus (Giinther,",,1867),,,,,
"Upeneus tragula Richardson,",,1846,,,,,
MONODACTYLIDAE,,,,,,,
Schuettea woodwardi,,"(Waite, 1905)",,,,,
PEMPHIERIDAE,,,,,,,
Parapriacanthus ransonneti,,"Stemdachner,",,1870,,,
"Pempheris analis Waite,",,1910,,,,,
"P. klunzingert McCulloch,",,1911,,,,,
"P. oualensis Cuvier,",,1831,,,,,
"Po schwenkii Bleeker,",,1855,,,,,
KYPLIOSIDAE,,,,,,,
"Kyphosus cornelit (Whitley,",,19-41),,,,,
"K. gibsont Ogilby,",1912,,,,,,
"K. sydneyanus (Giinther,",,1886),,,,,
SCORPIDIDAL,,,,,,,
Microcanthus strigatus,,"(Cuvier, 1831)",,,,,
Neatypus obliquus,"Waite,",1905,,,,,
Scorpis aequipnonus,,"Richardson, 1818",,,,,
EPETPPIDAE,,,,,,,
"Platax teiva (Forsskal,",,1775),,,,,
CHAK TODON TIDAE,,,,,,,
Chaetodon assarius,,"Waite, 1905",,,,,
"GC. auriga Forsskal,",,1775,,,,,
"CG. lineolatus Cuvier,",,183],,,,,
"G. lhanida (Lacepéede,",,1802),,,,,
"C. plebeius Cuvier, 183]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,
"GC. speculum Cuvier,",1831,,,,,,
C. trifascialis Quoy and,,"Gaimard, 182-4",,,,,
"Chelmon. rostratus (Linnacus,",,1758),,,,,
Chelmonops curiosus,"Kuiter,",1987,,,,,
Coradion chrysozonus,"(Cuvier,",1831),,,,,
Forcipiger flavissimus,Jordan,"and McGregor,",,1898.0,,,
Heniochus acuminatus,"(Linnaeus,",1758),,,,,
Heniochus diphreutes,"Jordan,",1903,,,,,
Heniochus sigulartus,Smith,"and Radcliff,",1911,,,,
POMACANTHIDAE,,,,,,,
"Centropyge tibicen (Cuvier,",,1831),,,,,
Chaetodontoplus duboulay:,,"(Gtinther,",1867),,,,
"C. personifer (McCulloch,",,1914),,,,,
Pomacanthus inperator,,"(Bloch, 1787)",,,,,
"P. semicirculatus (Cuvier,",,1831),,,,,
"P. sexstriatus (Cuvier,",1831),,,,,,
KNOPLOSIDALE,,,,,,,
"Enoplosus armatus (Shaw,",,1790),,,,,
POMACENTRIDAE,,,,,,,
Abudefduf bengalensis,"(Bloch,",1787),,,,,
"A. sexfasciatus (Lacepéde,",,1802),,,,,
"A. sordidus (Forsskal,",1775),,,,,,
A. vaigiensis (Quoy and,,"Gaimard, 1824)",,,,,
"Amphiprion clarki (Bennett,",,1830),,,,,
Chromis atripectoralis,Welander,"and Schultz,",,,,195],
"C. marearitifer Fowler,",19:16,,,,,,
C. webert Fowler and,"Bean,",1928,,,,,
"GC. westaustralis Allen,",1976,,,,,,
Dascyllus reticulatus,"(Richardson,",1816),,,,,
"D. trimaculatus (Riippell,",,1828),,,,,
