FAMILIA ESPECIE,Unnamed: 1,CX,YU,SC,EB,GO,IC,PM,PR,PO,RA,AC,FAMILIA,ESPECIE,R,E B
,,X,X,,X,X,,,,,,,Kyphosidae,Kyphosus analogus,,
,,X,X,,X,X,,,,,,,,K. elegans,,
,,X,X,X,X,,,,,,,,,Sectator ocyurus,,
,,,,,X,X,,,,,,,Labridae,Bodianus diplotenia,,
,,,,,,X,,,,,,,,Halichoeres discolor,,
,,,,,X,X,,,,,,,,H. notospilus,,
,,,,,,,,,,,,,,Novaculichthys,,
,,,,,,X,,,,,,,,,,
,,,,,,,,,,,,,,taeniourus,,
,,,,,X,X,,X,,,,,,Thalassoma lucasanum,,
,,X,,,,X,,,X,,,,Labrisomidae,Malacoctenus margaritae,,
,,,,,,,,,,X,,,,Mnierpes macrocephalus,,
,,X,X,X,X,,,,,,X,,Lutjanidae,Hoplopagrus guntheri,,
,,X,X,X,X,,,,,,,,,Lutjanus aratus,,
,,X,X,X,X,X,,,,,,,,L. argentiventris,,
,,X,X,X,,,,,,,,X,,L. colorado,,
,,X,,,X,X,,,,,,X,,L. guttatus,,
,,X,X,X,X,,,,,,,,,L. novemfasciatus,,
,,,,,X,,,,,,,X,,L. peru,,
,,,,,,X,,,,,X,,,L. viridis,,
,,,,,,X,,,,,,,Malacanthidae,Malacanthus brevirostris,,
,,X,X,X,X,,,,,,,,Mugillidae,Mugil curema,,
,,X,,,X,X,,,,,,,Mullidae,Mulloidichthys dentatus,,
,,,,,,,,,,,,,,Pseudopeneus,,
,,,,,,,,,,,,X,,,,
,,,,,,,,,,,,,,grandisquamis,,
,,,,,X,X,,,,,,,Muraenidae,Gymnothorax castaneus,,
,,,,,X,X,,,X,,,,,G. undulatus,,
,,,,,X,,,,,,,,,G  dovii,,
,,,,,,X,,,,,,,,G. sp,,
,,,,,,,,,,,,X,,G. equatorialis,,
,,,,,,X,,,,,,,,Gymnomuraena zebra,,
,,,,,,,,X,,,,,,Echidna nebulosa,,
,,,,,,,,,X,,,,,Echidna nocturna,,
,,X,,,,,,,,,,,Nematistidae,Nematistus pectoralis,,
,,,,,,X,,,,,,,Ophichthidae,Myrichthys maculosus,,
,,,,,,,,,,,,X,Paralichthydae,Citarichthys gilberti,,
,,,,,,,,,,,,X,,Cyclopsetta panamensis,,
,,,,X,,,,,,,,,Poecillidae,Poeciliopsis turrubarensis,,
,,,,,X,,,,,,,,Polynemidae,Polydactylus aproximans,,
,,,,,X,X,,X,,,,,Pomacanthidae,Holacantus passer,,
,,,,,X,,,,,,,,,Pomacanthus zonipectus,,
,,X,,,X,X,,X,,,X,X,Pomacentridae,Abudefduf concolor,,
,,,,,X,X,,X,,,,,,A. troschelii,,
,,,,,X,X,,X,,,,,,Chromis atrilobata,,
,,,,,X,X,,X,,,X,,,Microspathodon bairdii,,
,,,,,,X,,,,,X,,Pomacentridae,M. dorsalis,,X
,,,,,,,,,,,,,,Stegastes,,
,,,,,,X,,,,,,,,,,X
,,,,,,,,,,,,,,acapulcoensis,,
,,,,,,X,,X,,,X,,,S.  flavilatus,,X
,,,,,,,,X,,,,,,S.  rectifraenum,,
,,,,,,,,,,,,X,Priacanthidae,Pistigenys serrula,,X
,,X,X,,,X,,,,X,X,,Scaridae,Scarus ghobban,,X
,,,,,,X,,,,,,,,S. rubroviolaceus,,
,,,,,,,,X,,,,,Scorpaenidae,Scorpanea sp.,,
