Taxa,Genus,Family,Order,Class,Number of individuals,Biomass (kg)
Diastobranchus capensis,Diastobranchus,Synaphobranchidae,Anguilliformes,Osteichthyes,698,496.8
Dibranchus NFZ1,Dibranchus,Ogcocephalidae,Lophiiformes,Osteichthyes,4,0.2
Dibranchus sp.A,Dibranchus,Ogcocephalidae,Lophiiformes,Osteichthyes,1,0.05
Diodon holocanthus,Diodon,Diodontidae,Tetraodontiformes,Osteichthyes,1,0.5
Diodontidae_undifferentiated,,Diodontidae,Tetraodontiformes,Osteichthyes,1,0.01
Dipturus NFZ1,Dipturus,Rajidae,Rajiformes,Chondrichthyes,4,26.7
Engyprosopon sp.,Engyprosopon,Bothidae,Pleuronectiformes,Osteichthyes,1,0.01
Epigonus denticulatus,Epigonus,Epigonidae,Perciformes,Osteichthyes,9,0.21
Epigonus lenimen,Epigonus,Epigonidae,Perciformes,Osteichthyes,1,0.05
Epigonus telescopus,Epigonus,Epigonidae,Perciformes,Osteichthyes,12,23.4
Epinephelus ergastularius,Epinephelus,Serranidae,Perciformes,Osteichthyes,1,16
Epinephelus undulatostriatus,Epinephelus,Serranidae,Perciformes,Osteichthyes,1,5.2
Etmopterus baxteri,Etmopterus,Etmopteridae,Squaliformes,Chondrichthyes,3,8.3
Etmopterus granulosus,Etmopterus,Etmopteridae,Squaliformes,Chondrichthyes,6,0.6
Etmopterus lucifer,Etmopterus,Etmopteridae,Squaliformes,Chondrichthyes,138,34.7
Etmopterus molleri,Etmopterus,Etmopteridae,Squaliformes,Chondrichthyes,33,6.1
Etmopterus pusillus,Etmopterus,Etmopteridae,Squaliformes,Chondrichthyes,8,2.8
Etmopterus unicolor,Etmopterus,Etmopteridae,Squaliformes,Chondrichthyes,56,53.9
Euclichthys sp.NFZ1,Euclichthys,Euclichthyidae,Gadiformes,Osteichthyes,2,0.2
Eurypleuron owasianum,Eurypleuron,Carapidae,Ophidiiformes,Osteichthyes,1,0.002
Fistularia commersonii,Fistularia,Fistulariidae,Syngnathiformes,Osteichthyes,1,0.1
Fistularia petimba,Fistularia,Fistulariidae,Syngnathiformes,Osteichthyes,6,1.9
Gadella norops,Gadella,Moridae,Gadiformes,Osteichthyes,8,0.6
Gadomus aoteanus,Gadomus,Macrouridae,Gadiformes,Osteichthyes,215,33.6
Gadomus colletti,Gadomus,Macrouridae,Gadiformes,Osteichthyes,2,0.3
Genypterus blacodes,Genypterus,Ophidiidae,Ophidiiformes,Osteichthyes,1,6.3
Glossanodon sp.A,Glossanodon,Argentinidae,Osmeriformes,Osteichthyes,14,0.2
Gollum cf.attenuatus,Gollum,Pseudotriakidae,Carcharhiniformes,Chondrichthyes,3,6.8
Gonorynchus greyi,Gonorynchus,Gonorynchidae,Gonorynchiformes,Osteichthyes,19,5
