0
Clinidae
Paraclinus fasciatus
Paraclinus marmoratus
Blenniidae
Chasmodes saburrae
Hypsoblennius hentz
Parablennius marmoreus
Callionymidae
Diplogrammus pauciradiatus
Eleotridae
Dormitator maculatus
Eleotris pisonis
Gobiomorus dormitor
Gobiidae
Barbulifer ceuthoecus
Batkygobius soporator
Corypkopterus glaucofraenum
Cobionellus ocearzicus
Gobionellus saepepallens
Gobionellus skulfeldti
Gobionellus smaragdus
Gobiosoma bosc
Gobiosoma robustum
Lophogobius cyprinoides
Microgobius gulosus
Microgobius microlepis
Microgobius tkalassinus
Microdesmidae
Microdesmus sp.
Acanthuridae
Acantkurus ckirugus
Scombridae
Scomberonzor~rsc nvalla
Scomberomorus maculatus
Scornberotnorus regalis
Xiphiidae
Xiphias gladius
Stromateidae
Nomeus gronovii
Peprilus alepidotus
Bothidae
Ancylopsetta quadrocellata
Bothus ocellatus
Citharichthys inacrops
Cithnrichthys spilopterus
Etropus crossotz4s
Paralichthys albigutta
Paralichthys lethostigma
Paralichthys squamilentus
Syacium gunteri
Soleidae
Achirus lineatus
Symphurus diomedianus
Symphurus plagiusa
Trinectes inscriptus
Trirzectes trzacltlntzrs
Balistidae
Aluterus schoepji
Aluterus scriptus
Balistes capriscus
Balistes vetula
Canthidermis maculata
Monacanthus cilatus
Monncanthus hispidus
Ostraciidae
Lactophrys quadricornis
Lactophrys trigonus
Tetraodontidae
Chilomycterus antillarum
Chilomycterus schoepji
Diodon histrix
Sphoeroides nephelus
Spoeroides spengleri
Molidae
Mola mola
