EPINEPHELIDAE (hybrid species),Unnamed: 1,Unnamed: 2,Unnamed: 3
Menephorus dubius,OC,FN; RA; SS; TR,A; C; BF; R
CHAETODONTIDAE,,,
Chaetodon striatus,UN,FN; RA; SS; AB; TR,A
POMACANTHIDAE,,,
Centropyge aurantonotus,RA,FN; RA; AB; TR,B
LABRIDAE,,,
Xyrichthys novacula,RA,RA; AB; TR,T
LABRISOMIDAE,,,
Labrisomus conditus,OC,FN; RA,BF; M
GOBIIDAE,,,
Ctenogobius saepepallens,OC,RA,C; D
Elacatinus phthirophagus,CO,FN; RA,A; AB; M; C; D; G; R
