datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	verbatimlatitude	verbatimlongitude	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited	isolatedfrom	isolator	isolationmethod	conditionsforgrowth	geneticallymodified	genotype	mutant	race	alternatestate	strainproperties	strainapplications	formofsupply	restrictions	biologicalrisks	pathogenicity
2022-05-09T10:45:32	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1447	Animalia	Chordata			Ophichthidae	Myrichthys	ocellatus		Myrichthys ocellatus	(Lesueur, 1825)		1994	11	03	J. L. Gasparini & S. Vogel					R. M. Macieira & C. R. Pimentel	2009	08	26		Aracruz	Santa Cruz	-19,82	-40,273	-40.273	-19.82								Formol 10% -> Álcool 70%	1				<nO>Coletados em poças de maré. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:43	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2021	Animalia	Chordata			Gobiidae	Ctenogobius	stigmaticus		Ctenogobius stigmaticus	(Poey, 1860)		2006	09	24	R. M. Macieira					R. M. Macieira					Anchieta	Estuário do Rio Benevente	-20,8	-40,655	-40.655	-20.8								Formol 10% -> Álcool 70%	4				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:43	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	130481	Animalia	Chordata			Gobiidae	Evorthodus	lyricus		Evorthodus lyricus	(Girard, 1858)		1981	03	30	J. L. Helmer & C. Zamprogno					E. C. Perrone	1989	12	01		Piúma	Fazenda Carvalho - Rio Novo - Monte Aghá	-20,83	-40,7	-40.7	-20.83									1				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:46:00	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1999	Animalia	Chordata			Tetraodontidae	Lagocephalus	laevigatus		Lagocephalus laevigatus	(Linnaeus, 1766)		2011	01	15	R. M. Macieira					R. M. Macieira					Anchieta	Baía de Anchieta	-20,835	-40,622	-40.622	-20.835								Formol 10% -> Álcool 70%	1				<nO>Coletado em arrasto de balão. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:44	PreservedSpecimen	Brasil	Pará	UFES	CIUFES	2391	Animalia	Chordata			Gobiidae	Gobiosoma	hemigymnum		Gobiosoma hemigymnum	(Eigenmann & Eigenmann, 1888)		2010	08	10	G. Tommaso										Salinópolis	Praia do Farol	-0,59	-47,32	-47.32	-0.59									5				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:49	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	130899	Animalia	Chordata			Labridae	Halichoeres	poeyi		Halichoeres poeyi	(Steindachner, 1867)		1977	06	12	Ronaldo Sá Drews										Vitória	Ilha do Frade	-20,301	-40,279	-40.279	-20.301									1				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:33	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2259	Animalia	Chordata			Engraulidae	Anchoviella	lepidentostole		Anchoviella lepidentostole	(Fowler, 1911)		2005	08	19	H. T. Pinheiro					H. T. Pinheiro					Itapemirim	Ilha dos Franceses	-20,926	-40,752	-40.752	-20.926								Formol 10% -> Álcool 70%	5				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:35	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1601	Animalia	Chordata			Apogonidae	Phaeoptyx	pigmentaria		Phaeoptyx pigmentaria	(Poey, 1860)		2010	02	23	T. Simon, R. M. Macieira & C. R. Pimentel										Guarapari	Ilha Escalvada	-20,7	-40,4	-40.4	-20.7								Álcool 92,8%	4				<nO>Coletado com puçá em mergulho autônomo. Coordenadas estimadas posteriormente no Google Earth.; Presente; SUBFAMILIA:Apogoninae;</nO>																					
2022-05-09T10:45:55	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	450	Animalia	Chordata			Sciaenidae	Menticirrhus	americanus		Menticirrhus americanus	(Linnaeus, 1758)		2007	08	10	H. T. Pinheiro					C. R. Pimentel & H. T. Pinheiro	2007	08			Aracruz	Sistema estuarino dos rios Piraquê-açú & Piraquê-mirim, Santa Cruz	-19,95	-40,17	-40.17	-19.95								Formol 10% -> Álcool 70%	1				<nO>Fauna acompanhante da pesca de camarão; 5 km da foz do sistema estuarino. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-12-15T10:28:38	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	4459	Animalia	Chordata			Gerreidae	Eucinostomus	argenteus		Eucinostomus argenteus	Baird & Girard 1855		2021	12	16	R. Andrades, R. Martins & F. Toscano					H. Guabiroba					Linhares	Rio Doce, Regência, Estuário (Interno) - casa do André	-19,4064	-40,069420	-40.06942	-19.4064								Formol 10% --> Álcool 70%	2				<nO>Puçá + picaré / Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
