datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	verbatimlatitude	verbatimlongitude	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited	isolatedfrom	isolator	isolationmethod	conditionsforgrowth	geneticallymodified	genotype	mutant	race	alternatestate	strainproperties	strainapplications	formofsupply	restrictions	biologicalrisks	pathogenicity
2022-05-09T10:45:55	PreservedSpecimen	0		UFES	CIUFES	131508	Animalia	Chordata			Sciaenidae	Stellifer	brasiliensis		Stellifer brasiliensis	(Schultz, 1945)																			0	0									6				<nO>Presente;</nO>																					
2022-05-09T10:45:37	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	130765	Animalia	Chordata			Carangidae	Trachinotus	falcatus		Trachinotus falcatus	(Linnaeus, 1758)		1981	08	22	C. Zamprogno & J. L. Helmer					C. Zamprogno					Piúma	Praia de Acaiaca	-20,83	-40,7	-40.7	-20.83									2				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:58	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1910	Animalia	Chordata			Paralichthyidae	Syacium	papillosum		Syacium papillosum	(Linnaeus, 1758)		2008	02	18	J. M. Madureira					J. M. Madureira					Itapemirim	Ilha dos Franceses	-20,926	-40,752	-40.752	-20.926								Formol 10% -> Álcool 70%	1				<nO>Coletado em arrasto de praia. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:35	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2160	Animalia	Chordata			Apogonidae	Phaeoptyx	pigmentaria		Phaeoptyx pigmentaria	(Poey,1860)		2011	04	18	Expedição Cadeia Vitória-Trindade											Banco Vitoria	-20,673	-37,888	-37.888	-20.673								Álcool 92,8%	1				<nO>Coletado com puçá + Q. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:49	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2269	Animalia	Chordata			Haemulidae	Orthopristis	ruber		Orthopristis ruber	(Cuvier, 1830)		2005	10	06	H. T. Pinheiro					H. T. Pinheiro					Itapemirim	Ilha dos Franceses	-20,926	-40,752	-40.752	-20.926								Formol 10% -> Álcool 70%	3				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:33	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1943	Animalia	Chordata			Engraulidae	Cetengraulis	edentulus		Cetengraulis edentulus	(Cuvier, 1829)		2005	08	19	H. T. Pinheiro					H. T. Pinheiro.					Itapemirim	Praia de Itaoca	-20,921	-40,786	-40.786	-20.921								Formol 10% -> Álcool 70%	1				<nO>Coletado em arrasto de balão na lama. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:49	PreservedSpecimen	São Tomé & Príncipe		UFES	CIUFES	173	Animalia	Chordata			Labridae	Bodianus	pulchellus		Bodianus pulchellus	(Poey, 1860)		2006	02	13	J. L. Gasparini et al.											Diego Vaz; São Tomé	0,18	6,61	6.61	0.18					41487	41487			5				<nO>Coletado em fundo recifal. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:35	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	94	Animalia	Chordata			Apogonidae	Phaeoptyx	pigmentaria		Phaeoptyx pigmentaria	(Poey, 1860)		2005	06	26	R. M. Macieira										Anchieta	Praia dos Castelhanos	-20,83	-40,61	-40.61	-20.83								Formol 10% -> Álcool 70%	1				<nO>Coletado em poça de maré ; 20S 50' /40W 37'; Presente;</nO>																					
2022-05-09T10:45:44	PreservedSpecimen	Brasil	Ceará	UFES	CIUFES	2436	Animalia	Chordata			Gobiidae	Lythrypnus	brasiliensis		Lythrypnus brasiliensis	(Greenfield, 1988)		2012	04	19	J-C. Joyeux					J-C. Joyeux						Cabeço do Arrastado; Parque Estadual Marinho da Pedra da Risca do Meio	-3,601	-38,406	-38.406	-3.601								Álcool 92,8%	1				<nO>Coletado com Puçá. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:37	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2875	Animalia	Chordata			Carangidae	Oligoplites	saurus		Oligoplites saurus	(Bloch & Schneider, 1801)		2005	02	01	C. C. Villar; D. M. Rosa; J. M. Fernades					C. C. Villar					Vitória	Ilha do Frade	-20,301	-40,279	-40.279	-20.301								Formol 10% -> Álcool 70%	5				<nO>Coletado com rede de arrasto do tipo picaré. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:54	PreservedSpecimen	Brasil	Bahia	UFES	CIUFES	1781	Animalia	Chordata			Scaridae	Sparisoma	sp.		Sparisoma sp.			2001	05	06	R. L. Teixeira					L.M.Sarmento-Soares					Camamu	Ilha Grande. La Bodeguita.	-13,94444444	-39,10388889	-39.10388889	-13.94444444								Álcool 70%	6				<nO>13º56'40"S /39º06'14"W; Presente;</nO>																					
2022-05-09T10:45:43	PreservedSpecimen	São Tomé & Príncipe		UFES	CIUFES	166	Animalia	Chordata			Gobiidae	Gnatholepis	thompsoni		Gnatholepis thompsoni	(Jordan, 1904)		2006	02	09	J. L. Gasparini et al.											Ilhéu Santana; São Tomé	0,241	6,759	6.759	0.241					41888	41888			2				<nO>Coletado no fundo arenoso adjacente ao recife. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:32	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	3475	Animalia	Chordata			Synodontidae	Saurida	brasiliensis		Saurida brasiliensis	Norman, 1935		2017	02	18	V. L. A. Rodrigues					V. L. A. Rodrigues					Aracruz	Barra do Riacho	-19,853	-40,060	-40.06	-19.853								Formol 10% -> Álcool 70%	1				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:37	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	709	Animalia	Chordata			Carangidae	Caranx	latus		Caranx latus	Agassiz, 1831		2000	12	22	J-C. Joyeux et al.										Vitória	Baía de Vitória	-20,3	-40,3	-40.3	-20.3								Formol 10% -> Álcool 70%	2				<nO>Coletado com rede de arrasto. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:51	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	977	Animalia	Chordata			Lutjanidae	Rhomboplites	aurorubens		Rhomboplites aurorubens	(Cuvier, 1829)		2006	04	21	T. Simon et al.					C. R. Pimentel & L. B. Stocco	2008	08	20		Guarapari	Litoral de Guarapari	-20,7	-40,3	-40.3	-20.7								Formol 10% -> Álcool 70%	1				<nO>Coletado com anzol com isca de camarão; P: 190 g; CP: 18,3 cm. 354432 m S/7710674 m E; Presente;</nO>																					
2022-05-09T10:45:53	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2048	Animalia	Chordata			Pomacentridae	Stegastes	pictus		Stegastes pictus	(Castelnau 1855)		2011	04	06	Expedição Cadeia Vitória-Trindade					L. B. C. Xavier						Banco Jaseur	-20,508	-36,133	-36.133	-20.508								Álcool 92,8%	5				<nO>Expedição Cadeia Vitória-Trindade 2011 (lote #011). Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-12-15T10:28:40	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	4251	Animalia	Chordata			Syngnathidae	Microphis	lineatus		Microphis lineatus	(Kaup, 1856)		2020	11		H. Guabiroba & R. Andrades					H. Guabiroba & R. Andrades					Linhares	Rio Doce, Regência, Estuário (Interno)	-19,4064	-40,069420	-40.06942	-19.4064								Formol 10% --> Álcool 70%	13				<nO>Picaré + peneira / Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:46:01	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	608	Animalia	Chordata			Narcinidae	Narcine	brasiliensis		Narcine brasiliensis	(Olfers, 1831)		2002	01	03											Serra	Ponta dos Fachos, Manguinhos	-20,203	-40,195	-40.195	-20.203								Formol 10% -> Álcool 70%	1				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:34	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	130712	Animalia	Chordata			Gobiesocidae	Tomicodon	australis		Tomicodon australis	(Briggs, 1955)		1982	07	24	E. C. Perrone & E. B. Santana										Vila Velha	Ponta de Itapoã - Jardim Itapoã	-20,35	-40,28	-40.28	-20.35									1				<nO>Coletado em poça de maré. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-11-30T14:57:07	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	3739	Animalia	Chordata			Achiridae	Gymnachirus	nudus		Gymnachirus nudus	Kaup, 1858		2019	02	11	R. Andrades, F. Toscano, C. Vilar & V. Amaral					H. Guabiroba					Aracruz	Piraquê-Açú, ES,Estuário (Externo)	-19,58452	-40,05660	-40.0566	-19.58452								Formol 10% --> Álcool 70%	1				<nO>Arrasto com portas/ PA6U3 / Coordenadas obtidas in situ.; Presente;</nO>																					
2022-12-15T10:28:38	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	4672	Animalia	Chordata			Gerreidae	Diapterus	auratus		Diapterus auratus	Ranzani 1842		2022	04	21	F. Toscano et. al.					H. Guabiroba & F. Toscano					Aracruz	Estuário Piraquê-açú, Aracruz - ES (Interno)	-19,5582	-40,10499	-40.10499	-19.5582								Formol 10% --> Álcool 70%	1				<nO>PA1U1 / Arrasto com portas / Coordenadas obtidas in situ.; Presente;</nO>																					
2022-11-30T14:57:06	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	3841	Animalia	Chordata			Echeneidae	Echeneis	naucrates		Echeneis naucrates	Linnaeus, 1758		2019	08	08	H. Guabiroba et al.					H. Guabiroba & F. Toscano					Aracruz	Rio Doce, Regência (Interno)	-19,38302	-39,48852	-39.48852	-19.38302								Formol 10% --> Álcool 70%	1				<nO>Arrasto com portas/ RD1U3 / Coordenadas obtidas in situ.; Presente;</nO>																					
2022-05-09T10:45:40	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	130660	Animalia	Chordata			Centropomidae	Centropomus	undecimalis		Centropomus undecimalis	(Bloch, 1792)		1981	03	30	J. L. Helmer & C. Zamprogno										Piúma	Rio Iconha - Próximo ao monte Aghá	-20,83	-40,7	-40.7	-20.83									3				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-11-30T14:57:06	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	3825	Animalia	Chordata			Engraulidae	Cetengraulis	edentulus		Cetengraulis edentulus	(Cuvier, 1829)		2019	09	04	H. Guabiroba et al.					H. Guabiroba					Linhares	Rio Doce, Regência (Interno)	-19,38811	-39,48843	-39.48843	-19.38811								Álcool 93%	1				<nO>Arrasto com portas/ RD2UC3 / Coordenadas obtidas in situ.; Presente;</nO>																					
2022-12-15T10:28:33	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	3803	Animalia	Chordata			Engraulidae	Lycengraulis	grossidens		Lycengraulis grossidens	(Spix & Agassiz, 1829)		2019	05	13	H. Guabiroba et al.					H. Guabiroba					Linhares	Rio Doce, Regência (Externo)	-19,40282	-39,47629	-39.47629	-19.40282								Formol 10% --> Álcool 70%	1				<nO>Arrasto com portas/ RD3UC3 / Coordenadas obtidas in situ.; Presente;</nO>																					
2022-05-09T10:46:00	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	85	Animalia	Chordata			Syngnathidae	Hippocampus	reidi		Hippocampus reidi	(Ginsburg, 1933)		2004	02	27	Ligia M. Coser & Bruno B. Pereira										Aracruz	Estuário do Piraquê-açú/Piraquê-mirim	-19,95	-40,17	-40.17	-19.95								Formol 10%	1				<nO>Rede de ictioplâncton; 500 microns; PM4-S. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:42	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1245	Animalia	Chordata			Gobiidae	Coryphopterus	dicrus		Coryphopterus dicrus	Bohlke & Robins, 1960		2008	03	12	V. C. Brilhante et al.					C. R. Pimentel & L. B. Stocco	2009	03	05		Guarapari	Ilha Escalvada	-20,7	-40,4	-40.4	-20.7								Formol 10% -> Álcool 70%	1				<nO>Coletado com puçá em mergulho autônomo; Projeto do V. C. Brilhante; 20S 42' /40W 24'; Presente;</nO>																					
2022-05-09T10:45:37	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2030	Animalia	Chordata			Blenniidae	Parablennius	sp.		Parablennius sp.			2011	01	26	J. L. Gasparini; T. Simon; R. M. Macieira & L. B. C. Xavier					T. Simon					Guarapari	Ilha Escalvada	-20,7	-40,4	-40.4	-20.7								Álcool 92,8%	1				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:51	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2858	Animalia	Chordata			Lutjanidae	Lutjanus	jocu		Lutjanus jocu	(Bloch & Schneider, 1801)		2004	05	30	C. C. Villar; D. M. Rosa; J. M. Fernades					C. C. Villar					Vitória	Ilha do Frade	-20,301	-40,279	-40.279	-20.301								Formol 10% -> Álcool 70%	1				<nO>Coletado com rede de arrasto do tipo picaré. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:57	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1966	Animalia	Chordata			Sphyraenidae	Sphyraena	tome		Sphyraena tome	(Fowler, 1903)		2005	08	20	H. T. Pinheiro					H. T. Pinheiro.					Itapemirim	Ilha dos Franceses	-20,926	-40,752	-40.752	-20.926								Formol 10% -> Álcool 70%	5				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:49	PreservedSpecimen	Brasil	Pernambuco	UFES	CIUFES	3577	Animalia	Chordata			Labrisomidae	Labrisomus	conditus		Labrisomus conditus	Sazima, Carvalho-Filho, Gasparini & Sazima, 2009		2015	11		R. Andrades, F. S. Machado, J. A. Reis-Filho, T. Giarrizzo					R. Andrades					Recife	Fernando de Noronha, PE	-3,859	-32,401	-32.401	-3.859								Gelo -> Formol 10% -> Álcool 70%	2				<nO>Poças de maré + Eugenol / Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:55	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	771	Animalia	Chordata			Sciaenidae	Isopisthus	parvipinnis		Isopisthus parvipinnis	(Cuvier, 1830)		2002	09	16	J-C. Joyeux et al. (turma de Recursos Vivos 1)					C. R. Pimentel	2008	03	07		Vitória	Baía do Espírito Santo	-20,31	-40,34	-40.34	-20.31								Formol 10% -> Álcool 70%	1				<nO>Coletado com rede de arrasto de camarão. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:57	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2860	Animalia	Chordata			Sparidae	Archosargus	probatocephalus		Archosargus probatocephalus	(Walbaum, 1792)		2004	11	04	C. C. Villar; D. M. Rosa; J. M. Fernades					C. C. Villar					Vitória	Ilha do Frade	-20,301	-40,279	-40.279	-20.301								Formol 10% -> Álcool 70%	1				<nO>Coletado com rede de arrasto do tipo picaré. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:43	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	525	Animalia	Chordata			Gobiidae	Gobiosoma	alfiei		Gobiosoma alfiei	Joyeux & Macieira 2015	Parátipo	2007	10	28	J-C. Joyeux, R. M. Macieira & C. R. Pimentel					J.-C. Joyeux & R. M. Macieira	2007	10	28		Anchieta	Praia dos Castelhanos	-20,83	-40,61	-40.61	-20.83								Formol 10% -> Álcool 70%	6				<nO>Poça de maré 05; coletado com puçá; CT = 22 mm; 20S 50' /40W 37'; Presente;</nO>																					
2022-05-09T10:45:40	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1670	Animalia	Chordata			Dactyloscopidae	Dactyloscopus	tridigitatus		Dactyloscopus tridigitatus	(Gill, 1859)		1988	01	01	J. L. Gasparini & C.Zamprogno					L.M.Sarmento-Soares					Serra	Praia de Manguinhos	-20,128	-40,307	-40.307	-20.128								Álcool 70%	6				<nO>20º07'42"S /40º18'28"W; Presente;</nO>																					
2022-05-09T10:45:44	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1062	Animalia	Chordata			Gobiidae	Lythrypnus	aff. phorellus		Lythrypnus aff. phorellus			2008	02	08	V. C. Brilhante et al.					C. R. Pimentel & L. B. Stocco	2008	11	29		Guarapari	Naufrágio Bellucia	-20,65	-40,51	-40.51	-20.65								Formol 10% -> Álcool 70%	1				<nO>Coletado com puçá em mergulho autônomo; Projeto do V. C. Brilhante. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:58	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1524	Animalia	Chordata			Paralichthyidae	Etropus	crossotus		Etropus crossotus	Jordan & Gilbert, 1882		2001	07	01	J-C. Joyeux et al.										Vitória	Baía de Vitória	-20,315255	-40,301767	-40.301767	-20.315255								Formol 10% -> Álcool 70%	4				<nO>Coletado com rede de arrasto. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:53	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	3846	Animalia	Chordata			Pomacentridae	Abudefduf	saxatilis		Abudefduf saxatilis	(Linnaeus, 1758)		2019	09	29	F. Toscano, T. Quintão, R. Andrades, . Ferreira					F. Toscano & R. Andrades					Fundão	Costa Azul, Praia do Rio Preto, Fundão	-20.012325	-40.153972	-40.153972	-20.012325								Álcool 93%	1				<nO>Poças de maré + Q/ Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-12-15T10:28:33	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	130145	Animalia	Chordata			Synodontidae							1985	01		Barco Charmoso										Linhares	Ao largo da foz do Rio Doce - Regência	-19,65	-39,815	-39.815	-19.65					60	60			1				<nO>Fauna acompanhante da pesca do camarão com rede de arrasto. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:50	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1104	Animalia	Chordata			Labrisomidae	Malacoctenus	aff. triangulatus		Malacoctenus aff. triangulatus	(Springer, 1959)		2008	02	14	V. C. Brilhante et al.					C. R. Pimentel & L. B. Stocco	2008	12	17		Guarapari	Naufrágio Bellucia (popa)	-20,65	-40,51	-40.51	-20.65								Formol 10% -> Álcool 70%	1				<nO>Coletado com puçá em mergulho autônomo; Projeto do V. C. Brilhante. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:35	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2100	Animalia	Chordata			Acanthuridae	Acanthurus	bahianus		Acanthurus bahianus	Castelnau, 1855		2011	06	02	R. M. Macieira & J. L. Gasparini					R. M. Macieira					Aracruz	Barra do Riacho	-19,829	-40,061	-40.061	-19.829								Formol 10% -> Álcool 70%	19				<nO>IMETAME. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:37	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1275	Animalia	Chordata			Blenniidae	Hypsoblennius	invemar		Hypsoblennius invemar	(Smith-Vaniz & Acero P., 1980)		2008	03	10	V. C. Brilhante et al.					C. R. Pimentel & L. B. Stocco	2009	03	12		Guarapari	RAM Victory 8B	-20,675	-40,365	-40.365	-20.675								Formol 10% -> Álcool 70%	1				<nO>Coletado com puçá em mergulho autônomo; Projeto do V. C. Brilhante. 357820,71m & / 7713135,58m S; Presente;</nO>																					
2022-05-09T10:45:40	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	130234	Animalia	Chordata			Chaetodontidae	Chaetodon	striatus		Chaetodon striatus	Linnaeus, 1758		1983	02	25	E. C. Perrone, E. B. Santana, W. O. Reis & P. S. B. Barbosa					E. C. Perrone	1983				Serra	Praia de Manguinhos - Jacaraipe	-20,203	-40,195	-40.195	-20.203									1				<nO>Coletado em poça. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:37	PreservedSpecimen	Brasil	Bahia	UFES	CIUFES	2578	Animalia	Chordata			Blenniidae	Parablennius	marmoreus		Parablennius marmoreus	(Poey, 1876)		2013	02	16	J-C. Joyeux					J-C. Joyeux						Parque Nacional Marinho, Abrolhos	-17,967	-38,698	-38.698	-17.967								Álcool 92,8%	3				<nO>Coletado com Puçá + Q. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:49	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1755	Animalia	Chordata			Haemulidae	Haemulon	steindachneri		Haemulon steindachneri	(Jordan & Gilbert 1882)		1997	11	09	J. L. Gasparini & C. Musso					J. L. Gasparini					Guarapari	Arquipélago das Três Ilhas	-20,65	-40,51	-40.51	-20.65								Álcool 70%	1				<nO>20º39'28"S /40º30'39"W; Presente;</nO>																					
2022-05-09T10:46:01	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1531	Animalia	Chordata			Tetraodontidae	Sphoeroides	greeleyi		Sphoeroides greeleyi	Gilbert, 1900		1997	05	24	J. L. Gasparini					C. R. Pimentel	2009	11	24		Aracruz	Santa Cruz	-19,82	-40,273	-40.273	-19.82								Formol 10% -> Álcool 70%	1				<nO>Coletado em poça de maré. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:50	PreservedSpecimen	Brasil	Pernambuco	UFES	CIUFES	2472	Animalia	Chordata			Labrisomidae	Malacoctenus	aff. triangulatus		Malacoctenus aff. triangulatus	(Springer, 1959)		2013	04	05	R. M. Macieira & T. Simon					J-C. Joyeux					Fernando de Noronha	Trinta Réis	-3,824	-32,409	-32.409	-3.824								Álcool 96%	1				<nO>Coletado com Puçá + Q. Foto R. M. Macieira. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:56	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1864	Animalia	Chordata			Serranidae	Diplectrum	radiale		Diplectrum radiale	(Quoy & Gaimard, 1824)		1997	07	24	J. L. Gasparini					M. M. Martinelli; L.M.Sarmento-Soares					Vitória	Baía de Vitória, próximo às Calhetas.	-20,319	-40,338	-40.338	-20.319								Álcool 70%	2				<nO>20º19'09"S /40º20'16"W; Presente;</nO>																					
2022-11-30T14:57:06	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	3509	Animalia	Chordata			Mugilidae	Mugil	brevirostris		Mugil brevirostris	(Ribeiro, 1915)		2015	11	20	H. C. Guabiroba e colaboradores					C. C. Vilar e H. C. Guabiroba					Linhares	Estuário Rio Doce, Regência	-19,657	-39,818	-39.818	-19.657								Formol 10% -> Álcool 70%	1				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-12-15T10:28:38	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	3494	Animalia	Chordata			Gobiidae	Gobionellus	oceanicus		Gobionellus oceanicus	(Pallas, 1770)		2015	11	22	H. C. Guabiroba					C. C. Vilar e H. C. Guabiroba					Linhares	Estuário Rio Doce, Regência	-19,657	-39,818	-39.818	-19.657								Formol 10% -> Álcool 70%	1				<nO>Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-12-15T10:28:38	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	4665	Animalia	Chordata			Achiridae	Achirus	lineatus		Achirus lineatus	(Linnaeus, 1758)		2022	08	21	F. Toscano et. al.					H. Guabiroba & F. Toscano					Aracruz	Estuário Piraquê-açú, Aracruz - ES (Interno)	-19,57037	-40,11201	-40.11201	-19.57037								Formol 10% --> Álcool 70%	1				<nO>PA0U3 / Arrasto com portas / Coordenadas obtidas in situ.; Presente;</nO>																					
2022-05-09T10:45:58	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	131665	Animalia	Chordata			Paralichthyidae	Citharichthys	spilopterus		Citharichthys spilopterus	(Günther, 1862)		1984	04	02											Vitória	Praia do Arizona, Ilha do Frade	-20,301	-40,279	-40.279	-20.301									2				<nO>Lance 06. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:40	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	1704	Animalia	Chordata			Chaetodontidae	Chaetodon	striatus		Chaetodon striatus	(Linnaeus, 1758)		1986	07	09	J. L. Gasparini & V. H. Gasparini Filho					J. L. Gasparini					Vitória	Baía de Vitória	-20,319	-40,338	-40.338	-20.319								Álcool 70%	1				<nO>20º19'09"S /40º20'16"W; Presente;</nO>																					
2022-05-09T10:45:57	PreservedSpecimen	São Tomé & Príncipe		UFES	CIUFES	155	Animalia	Chordata			Serranidae	Serranus	pulcher		Serranus pulcher	Wirtz & Iwamoto, 2016	Parátipo	2006	02	11	J. L. Gasparini et al.											Lagoa Azul, São Tomé	0,406	6,6105	6.6105	0.406					41918	41918			4				<nO>Coletado com puçá no fundo recifal. Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:32	PreservedSpecimen	0		UFES	CIUFES	1284	Animalia	Chordata			Atherinopsidae	Odontesthes	mirinensis		Odontesthes mirinensis	(Bemvenuti, 1996)		2002	04	02															0	0								Álcool 70%	4				<nO>P4 amostra 15 (Taim, man2); Presente;</nO>																					
2022-12-15T10:28:34	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	4224	Animalia	Chordata			Gobiidae	Awaous	tajasica		Awaous tajasica	(Lichtenstein 1822)		2019	11		H. Guabiroba & F. Toscano					H. Guabiroba & F. Toscano					Linhares	Rio Doce, Regência, Estuário (Interno)	-19,4064	-40,069420	-40.06942	-19.4064								Formol 10% --> Álcool 70%	2				<nO>Picaré + peneira / Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:56	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	2062	Animalia	Chordata			Serranidae	Cephalopholis	fulva		Cephalopholis fulva	(Linnaeus, 1758)		2011	04	15	Expedição Cadeia Vitória-Trindade					L. B. C. Xavier						Banco Davis	-20,675	-34,762	-34.762	-20.675								Álcool 92,8%	1				<nO>Expedição Cadeia Vitória-Trindade 2011 (lote #095). Coordenadas estimadas posteriormente no Google Earth.; Presente;</nO>																					
2022-05-09T10:45:54	PreservedSpecimen	Brasil	Espírito Santo	UFES	CIUFES	247	Animalia	Chordata			Scaridae	Sparisoma	axillare		Sparisoma axillare	Valenciennes, 1839		2006	08	24	R. M. Macieira, J-C. Joyeux, J. L. Gasparini, C. R. Pimentel & P. SantAna										Anchieta	Praia dos Castelhanos	-20,83	-40,61	-40.61	-20.83								Formol 10% -> Álcool 70%	1				<nO>Poça 06; Coletado com puçá; 20S 50' /40W 37'; Presente;</nO>																					
