ID,Full_Name,Genus,Species,Genus_species,NC
806,"Aploactis aspera (Richardson, 1845) ",Aploactis,aspera,Aploactis aspera,Present
807,"Cocotropus dermacanthus (Bleeker, 1852) ",Cocotropus,dermacanthus,Cocotropus dermacanthus,Present
808,"Cocotropus richeri Fricke, 2004 ",Cocotropus,richeri,Cocotropus richeri,Present
809,"Erisphex pottii (Steindachner, 1896) ",Erisphex,pottii,Erisphex pottii,Present
810,"Neoaploactis tridorsalis Eschmeyer & Allen, 1978 ",Neoaploactis,tridorsalis,Neoaploactis tridorsalis,Present
811,Paraploactis sp (cf kagoshimensis) ,Paraploactis,sp,Paraploactis sp,Present
812,"Paraploactis trachyderma Bleeker, 1865 ",Paraploactis,trachyderma,Paraploactis trachyderma,Present
813,"Lepidotrigla annamarae Cerro & Lloris, 1997 ",Lepidotrigla,annamarae,Lepidotrigla annamarae,Endemic
814,"Lepidotrigla grandis Ogilby, 1910 ",Lepidotrigla,grandis,Lepidotrigla grandis,Present
815,"Lepidotrigla musorstom Cerro & Lloris, 1997 ",Lepidotrigla,musorstom,Lepidotrigla musorstom,Endemic
816,"Lepidotrigla nana Cerro & Lloris, 1997 ",Lepidotrigla,nana,Lepidotrigla nana,Present
817,"Lepidotrigla sereti Cerro & Lloris, 1997 ",Lepidotrigla,sereti,Lepidotrigla sereti,Endemic
818,"Lepidotrigla vaubani Cerro & Lloris, 1997 ",Lepidotrigla,vaubani,Lepidotrigla vaubani,Present
819,"Pterygotrigla andertoni Waite, 1910 ",Pterygotrigla,andertoni,Pterygotrigla andertoni,Present
820,"Pterygotrigla macrolepidota (Kamohara, 1938) ",Pterygotrigla,macrolepidota,Pterygotrigla macrolepidota,Present
821,"Pterygotrigla megalops (Fowler, 1938) ",Pterygotrigla,megalops,Pterygotrigla megalops,Present
822,"Pterygotrigla multiocellata (Matsubara, 1937) ",Pterygotrigla,multiocellata,Pterygotrigla multiocellata,Present
823,"Pterygotrigla robertsi Cerro & Lloris, 1997 ",Pterygotrigla,robertsi,Pterygotrigla robertsi,Endemic
824,"Pterygotrigla tagala (Herre & Kauffman, 1952) ",Pterygotrigla,tagala,Pterygotrigla tagala,Present
825,"Paraheminodus longirostralis Kawai, Nakaya & Séret, 2008 ",Paraheminodus,longirostralis,Paraheminodus longirostralis,Present
826,"Paraheminodus murrayi (Günther, 1880) ",Paraheminodus,murrayi,Paraheminodus murrayi,Present
827,"Peristedion liorhynchus (Günther, 1872) ",Peristedion,liorhynchus,Peristedion liorhynchus,Present
828,"Peristedion moluccense Bleeker, 1851 ",Peristedion,moluccense,Peristedion moluccense,Present
829,"Satyrichthys orientale (Fowler, 1938) ",Satyrichthys,orientale,Satyrichthys orientale,Present
830,"Satyrichthys quadratorostratus (Fourmanoir & Rivaton, 1979) ",Satyrichthys,quadratorostratus,Satyrichthys quadratorostratus,Present
831,"Satyrichthys rieffeli (Kaup, 1859) ",Satyrichthys,rieffeli,Satyrichthys rieffeli,Present
