ID,Full_Name,Genus,Species,Genus_species,NC
1,"Rhinochimaera pacifica (Mitsukuri, 1895) ",Rhinochimaera,pacifica,Rhinochimaera pacifica,Present
2,"Chimaera lignaria Didier, 2002 ",Chimaera,lignaria,Chimaera lignaria,Present
3,"Chimaera phantasma Jordan & Snyder, 1900 ",Chimaera,phantasma,Chimaera phantasma,Present
4,"Hydrolagus trolli Didier & Séret, 2002 ",Hydrolagus,trolli,Hydrolagus trolli,Present
5,"Stegostoma fasciatum (Hermann [ex Seba], 1783) ",Stegostoma,fasciatum,Stegostoma fasciatum,Present
6,"Nebrius ferrugineus (Lesson, 1831) ",Nebrius,ferrugineus,Nebrius ferrugineus,Present
7,"Rhincodon typus Smith, 1828 ",Rhincodon,typus,Rhincodon typus,Present
8,"Odontaspis noronhai (Maul, 1955) ",Odontaspis,noronhai,Odontaspis noronhai,Present
9,"Pseudocarcharias kamoharai (Matsubara, 1936) ",Pseudocarcharias,kamoharai,Pseudocarcharias kamoharai,Present
10,"Alopias pelagicus Nakamura, 1935 ",Alopias,pelagicus,Alopias pelagicus,Present
11,"Alopias superciliosus (Lowe, 1841) ",Alopias,superciliosus,Alopias superciliosus,Present
12,"Alopias vulpinus (Bonnaterre, 1788) ",Alopias,vulpinus,Alopias vulpinus,Present
13,"Carcharodon carcharias (Linnaeus, 1758) ",Carcharodon,carcharias,Carcharodon carcharias,Present
14,"Isurus oxyrinchus Rafinesque-Schmaltz, 1810 ",Isurus,oxyrinchus,Isurus oxyrinchus,Present
15,"Isurus paucus Guitart Manday, 1966 ",Isurus,paucus,Isurus paucus,Present
16,"Apristurus albisoma Nakaya & Séret, 1999 ",Apristurus,albisoma,Apristurus albisoma,Endemic
17,"Asymbolus galacticus Séret & Last, 2008 ",Asymbolus,galacticus,Asymbolus galacticus,Endemic
18,"Aulohalaelurus kanakorum Séret, 1990 ",Aulohalaelurus,kanakorum,Aulohalaelurus kanakorum,Endemic
19,"Galeus priapus Séret & Last, 2008 ",Galeus,priapus,Galeus priapus,Present
20,"Hemitriakis japanica (Müller & Henle, 1839) ",Hemitriakis,japanica,Hemitriakis japanica,Present
21,"Mustelus manazo Bleeker, 1854 ",Mustelus,manazo,Mustelus manazo,Present
22,"Carcharhinus albimarginatus (Rüppell, 1837) ",Carcharhinus,albimarginatus,Carcharhinus albimarginatus,Present
23,"Carcharhinus amblyrhynchos (Bleeker, 1856) ",Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos,Present
24,"Carcharhinus brevipinna (Müller & Henle, 1839) ",Carcharhinus,brevipinna,Carcharhinus brevipinna,Present
25,"Carcharhinus falciformis (Bibron in Müller & Henle, 1839) ",Carcharhinus,falciformis,Carcharhinus falciformis,Present
26,"Carcharhinus leucas (Valenciennes in Müller & Henle, 1839) ",Carcharhinus,leucas,Carcharhinus leucas,Present
27,"Carcharhinus limbatus (Valenciennes in Müller & Henle, 1839) ",Carcharhinus,limbatus,Carcharhinus limbatus,Present
28,"Carcharhinus longimanus (Poey, 1861) ",Carcharhinus,longimanus,Carcharhinus longimanus,Present
29,"Carcharhinus melanopterus (Quoy & Gaimard, 1824) ",Carcharhinus,melanopterus,Carcharhinus melanopterus,Present
30,"Carcharhinus obscurus (LeSueur, 1818) ",Carcharhinus,obscurus,Carcharhinus obscurus,Present
31,"Carcharhinus plumbeus (Nardo, 1827) ",Carcharhinus,plumbeus,Carcharhinus plumbeus,Present
32,"Carcharhinus sorrah (Valenciennes in Müller & Henle, 1839) ",Carcharhinus,sorrah,Carcharhinus sorrah,Present
33,"Galeocerdo cuvier (Péron & LeSueur in LeSueur, 1822) ",Galeocerdo,cuvier,Galeocerdo cuvier,Present
34,"Negaprion acutidens (Rüppell, 1837) ",Negaprion,acutidens,Negaprion acutidens,Present
35,"Prionace glauca (Linnaeus, 1758) ",Prionace,glauca,Prionace glauca,Present
36,"Triaenodon obesus (Rüppell, 1837) ",Triaenodon,obesus,Triaenodon obesus,Present
37,"Sphyrna lewini (Griffith & Smith, 1834) ",Sphyrna,lewini,Sphyrna lewini,Present
38,"Sphyrna mokarran (Rüppell, 1837) ",Sphyrna,mokarran,Sphyrna mokarran,Present
39,"Heptranchias perlo (Bonnaterre, 1788) ",Heptranchias,perlo,Heptranchias perlo,Present
40,"Hexanchus nakamurai Teng, 1962 ",Hexanchus,nakamurai,Hexanchus nakamurai,Present
41,"Echinorhinus cookei Pietschmann, 1928 ",Echinorhinus,cookei,Echinorhinus cookei,Present
42,"Squalus blainville (Risso, 1827) ",Squalus,blainville,Squalus blainville,Present
43,"Squalus megalops (Macleay, 1881) ",Squalus,megalops,Squalus megalops,Present
44,"Squalus melanurus Fourmanoir & Rivaton, 1979 ",Squalus,melanurus,Squalus melanurus,Endemic
45,"Squalus rancureli Fourmanoir & Rivaton, 1979 ",Squalus,rancureli,Squalus rancureli,Present
46,"Centrophorus moluccensis Bleeker, 1860 ",Centrophorus,moluccensis,Centrophorus moluccensis,Present
47,"Etmopterus caudistigmus Last, Burgess & Séret, 2002 ",Etmopterus,caudistigmus,Etmopterus caudistigmus,Endemic
48,"Etmopterus dianthus Last, Burgess & Séret, 2002 ",Etmopterus,dianthus,Etmopterus dianthus,Present
49,"Etmopterus dislineatus Last, Burgess & Séret, 2002 ",Etmopterus,dislineatus,Etmopterus dislineatus,Present
50,"Etmopterus pseudosqualiolus Last, Burgess & Séret, 2002 ",Etmopterus,pseudosqualiolus,Etmopterus pseudosqualiolus,Endemic
51,"Dalatias licha (Bonnaterre, 1788) ",Dalatias,licha,Dalatias licha,Present
52,"Isistius brasiliensis (Quoy & Gaimard, 1824) ",Isistius,brasiliensis,Isistius brasiliensis,Present
53,"Rhina ancylostoma Bloch & Schneider, 1801 ",Rhina,ancylostoma,Rhina ancylostoma,Present
54,"Rhynchobatus djiddensis (Forsskål in Niebuhr, 1775) ",Rhynchobatus,djiddensis,Rhynchobatus djiddensis,Present
55,Raja (Dipturus) sp ,Raja,sp,Raja (Dipturus) sp,Present
56,Notoraja (Insentiraja) sp ,Notoraja,sp,Notoraja (Insentiraja) sp,Present
57,"Notoraja sapphira Séret & Last, 2009 ",Notoraja,sapphira,Notoraja sapphira,Present
58,Anacanthobatis sp ,Anacanthobatis,sp,Anacanthobatis sp,Present
59,"Urolophus deforgesi Séret & Last, 2003 ",Urolophus,deforgesi,Urolophus deforgesi,Endemic
60,"Urolophus neocaledoniensis Séret & Last, 2003 ",Urolophus,neocaledoniensis,Urolophus neocaledoniensis,Endemic
61,"Urolophus papilio Séret & Last, 2003 ",Urolophus,papilio,Urolophus papilio,Endemic
62,"Dasyatis bennettii (Müller & Henle, 1841) ",Dasyatis,bennettii,Dasyatis bennettii,Present
63,"Dasyatis fluviorum Ogilby, 1908 ",Dasyatis,fluviorum,Dasyatis fluviorum,Present
64,"Himantura fai Jordan & Seale, 1906 ",Himantura,fai,Himantura fai,Present
65,"Himantura granulata (Macleay, 1883) ",Himantura,granulata,Himantura granulata,Present
66,"Neotrygon kuhlii (Müller & Henle, 1841) ",Neotrygon,kuhlii,Neotrygon kuhlii,Present
67,"Pastinachus sephen (Forsskål in Niebuhr, 1775) ",Pastinachus,sephen,Pastinachus sephen,Present
68,"Taeniura lymma (Forsskål in Niebuhr, 1775) ",Taeniura,lymma,Taeniura lymma,Present
69,"Taeniura meyeni Müller & Henle, 1841 ",Taeniura,meyeni,Taeniura meyeni,Present
70,"Urogymnus asperrimus (Bloch & Schneider, 1801) ",Urogymnus,asperrimus,Urogymnus asperrimus,Present
71,"Aetobatus narinari (Euphrasen, 1790) ",Aetobatus,narinari,Aetobatus narinari,Present
72,"Aetomylaeus maculatus (Gray, 1834) ",Aetomylaeus,maculatus,Aetomylaeus maculatus,Present
73,"Aetomylaeus vespertilio (Bleeker, 1852) ",Aetomylaeus,vespertilio,Aetomylaeus vespertilio,Present
74,"Manta alfredi (Krefft, 1868) ",Manta,alfredi,Manta alfredi,Present
75,"Mobula tarapacana (Philippi, 1892) ",Mobula,tarapacana,Mobula tarapacana,Present
76,"Elops hawaiensis Regan, 1909 ",Elops,hawaiensis,Elops hawaiensis,Present
77,"Megalops cyprinoides (Broussonet, 1782) ",Megalops,cyprinoides,Megalops cyprinoides,Present
78,"Albula argentea (Schneider [ex Forster] in Bloch & Schneider, 1801) ",Albula,argentea,Albula argentea,Present
79,"Albula glossodonta (Forsskål in Niebuhr, 1775) ",Albula,glossodonta,Albula glossodonta,Present
80,"Halosaurus pectoralis McCulloch, 1926 ",Halosaurus,pectoralis,Halosaurus pectoralis,Present
81,"Anguilla australis Richardson, 1841 ",Anguilla,australis,Anguilla australis,Present
82,"Anguilla marmorata Quoy & Gaimard, 1824 ",Anguilla,marmorata,Anguilla marmorata,Present
83,"Anguilla megastoma Kaup, 1856 ",Anguilla,megastoma,Anguilla megastoma,Present
84,"Anguilla obscura Günther, 1872 ",Anguilla,obscura,Anguilla obscura,Present
85,"Anguilla reinhardtii Steindachner, 1867 ",Anguilla,reinhardtii,Anguilla reinhardtii,Present
86,"Moringua ferruginea Bliss, 1883 ",Moringua,ferruginea,Moringua ferruginea,Present
87,"Moringua javanica (Kaup, 1856) ",Moringua,javanica,Moringua javanica,Present
88,"Moringua macrochir Bleeker, 1855 ",Moringua,macrochir,Moringua macrochir,Present
89,"Moringua microchir Bleeker, 1853 ",Moringua,microchir,Moringua microchir,Present
90,"Chlopsis bidentatus Tighe & McCosker, 2003 ",Chlopsis,bidentatus,Chlopsis bidentatus,Present
91,"Kaupichthys atronasus Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953 ",Kaupichthys,atronasus,Kaupichthys atronasus,Present
92,"Kaupichthys brachychirus Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953 ",Kaupichthys,brachychirus,Kaupichthys brachychirus,Present
93,"Kaupichthys diodontus Schultz, 1943 ",Kaupichthys,diodontus,Kaupichthys diodontus,Present
94,"Kaupichthys hyoproroides (Strömmann, 1896) ",Kaupichthys,hyoproroides,Kaupichthys hyoproroides,Present
95,"Thalassenchelys foliaceus Castle & Raju, 1975 ",Thalassenchelys,foliaceus,Thalassenchelys foliaceus,Present
96,"Xenoconger fryeri Regan, 1912 ",Xenoconger,fryeri,Xenoconger fryeri,Present
97,"Myroconger prolixus Castle & Bearez, 1995 ",Myroconger,prolixus,Myroconger prolixus,Endemic
98,"Anarchias cantonensis (Schultz, 1943) ",Anarchias,cantonensis,Anarchias cantonensis,Present
99,"Anarchias seychellensis Smith, 1962 ",Anarchias,seychellensis,Anarchias seychellensis,Present
100,"Cirrimaxilla formosa Chen & Shao, 1995 ",Cirrimaxilla,formosa,Cirrimaxilla formosa,Present
101,"Echidna amblyodon (Bleeker, 1856) ",Echidna,amblyodon,Echidna amblyodon,Present
102,"Echidna delicatula (Kaup, 1856) ",Echidna,delicatula,Echidna delicatula,Present
103,"Echidna leucotaenia Schultz, 1943 ",Echidna,leucotaenia,Echidna leucotaenia,Present
104,"Echidna nebulosa (Ahl, 1789) ",Echidna,nebulosa,Echidna nebulosa,Present
105,"Echidna polyzona (Richardson, 1845) ",Echidna,polyzona,Echidna polyzona,Present
106,"Echidna unicolor Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953 ",Echidna,unicolor,Echidna unicolor,Present
107,"Enchelycore bayeri (Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953) ",Enchelycore,bayeri,Enchelycore bayeri,Present
108,"Enchelycore pardalis (Temminck & Schlegel, 1846) ",Enchelycore,pardalis,Enchelycore pardalis,Present
109,"Gymnomuraena zebra (Shaw in Shaw & Nodder, 1797) ",Gymnomuraena,zebra,Gymnomuraena zebra,Present
110,"Gymnothorax albimarginatus (Temminck & Schlegel, 1846) ",Gymnothorax,albimarginatus,Gymnothorax albimarginatus,Present
111,"Gymnothorax berndti Snyder, 1904 ",Gymnothorax,berndti,Gymnothorax berndti,Present
112,"Gymnothorax buroensis (Bleeker, 1857) ",Gymnothorax,buroensis,Gymnothorax buroensis,Present
113,"Gymnothorax chilospilus Bleeker, 1864 ",Gymnothorax,chilospilus,Gymnothorax chilospilus,Present
114,"Gymnothorax eurostus (Abbott, 1860) ",Gymnothorax,eurostus,Gymnothorax eurostus,Present
115,"Gymnothorax fimbriatus (Bennett, 1832) ",Gymnothorax,fimbriatus,Gymnothorax fimbriatus,Present
116,"Gymnothorax flavimarginatus (Rüppell, 1830) ",Gymnothorax,flavimarginatus,Gymnothorax flavimarginatus,Present
117,"Gymnothorax fuscomaculatus (Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953) ",Gymnothorax,fuscomaculatus,Gymnothorax fuscomaculatus,Present
118,"Gymnothorax gracilicauda Jenkins, 1903 ",Gymnothorax,gracilicauda,Gymnothorax gracilicauda,Present
119,"Gymnothorax intesi (Fourmanoir & Rivaton, 1979) ",Gymnothorax,intesi,Gymnothorax intesi,Present
120,"Gymnothorax javanicus (Bleeker, 1859) ",Gymnothorax,javanicus,Gymnothorax javanicus,Present
121,"Gymnothorax kidako (Temminck & Schlegel, 1846) ",Gymnothorax,kidako,Gymnothorax kidako,Present
122,"Gymnothorax margaritophorus Bleeker, 1864 ",Gymnothorax,margaritophorus,Gymnothorax margaritophorus,Present
123,"Gymnothorax marshallensis (Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953) ",Gymnothorax,marshallensis,Gymnothorax marshallensis,Present
124,"Gymnothorax melatremus Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953 ",Gymnothorax,melatremus,Gymnothorax melatremus,Present
125,"Gymnothorax meleagris (Shaw in Shaw & Nodder, 1795) ",Gymnothorax,meleagris,Gymnothorax meleagris,Present
126,"Gymnothorax monochrous (Bleeker, 1856) ",Gymnothorax,monochrous,Gymnothorax monochrous,Present
127,"Gymnothorax nudivomer (Günther in Playfair & Günther, 1867) ",Gymnothorax,nudivomer,Gymnothorax nudivomer,Present
128,"Gymnothorax pictus (Ahl, 1789) ",Gymnothorax,pictus,Gymnothorax pictus,Present
129,"Gymnothorax pindae Smith, 1962 ",Gymnothorax,pindae,Gymnothorax pindae,Present
130,"Gymnothorax polyuranodon (Bleeker, 1853) ",Gymnothorax,polyuranodon,Gymnothorax polyuranodon,Present
131,"Gymnothorax porphyreus (Guichenot, 1848) ",Gymnothorax,porphyreus,Gymnothorax porphyreus,Present
132,"Gymnothorax pseudothyrsoideus (Bleeker, 1852) ",Gymnothorax,pseudothyrsoideus,Gymnothorax pseudothyrsoideus,Present
133,"Gymnothorax richardsonii (Bleeker, 1852) ",Gymnothorax,richardsonii,Gymnothorax richardsonii,Present
134,"Gymnothorax rueppellii (McClelland, 1844) ",Gymnothorax,rueppellii,Gymnothorax rueppellii,Present
135,"Gymnothorax thyrsoideus (Richardson, 1845) ",Gymnothorax,thyrsoideus,Gymnothorax thyrsoideus,Present
136,"Gymnothorax undulatus (Lacepède [ex Commerson], 1803) ",Gymnothorax,undulatus,Gymnothorax undulatus,Present
137,"Gymnothorax zonipectis Seale, 1906 ",Gymnothorax,zonipectis,Gymnothorax zonipectis,Present
138,"Rhinomuraena quaesita Garman, 1888 ",Rhinomuraena,quaesita,Rhinomuraena quaesita,Present
139,"Scuticaria tigrina (Lesson, 1828) ",Scuticaria,tigrina,Scuticaria tigrina,Present
140,"Strophidon sathete (Hamilton, 1822) ",Strophidon,sathete,Strophidon sathete,Present
141,"Uropterygius alboguttatus Smith, 1962 ",Uropterygius,alboguttatus,Uropterygius alboguttatus,Present
142,"Uropterygius concolor Rüppell, 1838 ",Uropterygius,concolor,Uropterygius concolor,Present
143,"Uropterygius fuscoguttatus Schultz in Schultz, Herald, Lachner, Welander & Woods, 1953 ",Uropterygius,fuscoguttatus,Uropterygius fuscoguttatus,Present
144,"Uropterygius macrocephalus (Bleeker, 1864) ",Uropterygius,macrocephalus,Uropterygius macrocephalus,Present
145,"Uropterygius marmoratus (Lacepède, 1803) ",Uropterygius,marmoratus,Uropterygius marmoratus,Present
146,"Uropterygius xenodontus McCosker & Smith, 1997 ",Uropterygius,xenodontus,Uropterygius xenodontus,Present
147,"Atractodenchelys robinsorum Karmovskaya, 2003 ",Atractodenchelys,robinsorum,Atractodenchelys robinsorum,Present
148,"Diastobranchus capensis (Barnard, 1923) ",Diastobranchus,capensis,Diastobranchus capensis,Present
149,"Dysommina rugosa Ginsburg, 1951 ",Dysommina,rugosa,Dysommina rugosa,Present
150,"Haptenchelys texis Robins & Martin in Robins & Robins, 1976 ",Haptenchelys,texis,Haptenchelys texis,Present
151,"Meadia abyssalis (Kamohara, 1938) ",Meadia,abyssalis,Meadia abyssalis,Present
152,"Synaphobranchus affinis Günther, 1877 ",Synaphobranchus,affinis,Synaphobranchus affinis,Present
153,"Synaphobranchus brevidorsalis Günther, 1887 ",Synaphobranchus,brevidorsalis,Synaphobranchus brevidorsalis,Present
154,"Synaphobranchus oregoni Castle, 1960 ",Synaphobranchus,oregoni,Synaphobranchus oregoni,Present
155,"Apterichtus klazingai (Weber, 1913) ",Apterichtus,klazingai,Apterichtus klazingai,Present
156,"Callechelys catostoma (Schneider [ex Forster] in Bloch & Schneider, 1801) ",Callechelys,catostoma,Callechelys catostoma,Present
157,"Callechelys marmorata (Bleeker, 1853) ",Callechelys,marmorata,Callechelys marmorata,Present
158,"Ichthyapus vulturis (Weber & Beaufort, 1916) ",Ichthyapus,vulturis,Ichthyapus vulturis,Present
159,"Lamnostoma kampeni (Weber & Beaufort, 1916) ",Lamnostoma,kampeni,Lamnostoma kampeni,Present
160,"Lamnostoma orientalis (McClelland, 1844) ",Lamnostoma,orientalis,Lamnostoma orientalis,Present
161,"Leiuranus semicinctus (Lay & Bennett, 1839) ",Leiuranus,semicinctus,Leiuranus semicinctus,Present
162,"Muraenichthys schultzei Bleeker, 1857 ",Muraenichthys,schultzei,Muraenichthys schultzei,Present
163,"Myrichthys colubrinus (Boddaert, 1781) ",Myrichthys,colubrinus,Myrichthys colubrinus,Present
164,"Myrichthys maculosus (Cuvier, 1816) ",Myrichthys,maculosus,Myrichthys maculosus,Present
165,"Myrophis microchir (Bleeker, 1864) ",Myrophis,microchir,Myrophis microchir,Present
166,"Ophichthus bonaparti (Kaup, 1856) ",Ophichthus,bonaparti,Ophichthus bonaparti,Present
167,"Ophichthus brachynotopterus Karrer, 1982 ",Ophichthus,brachynotopterus,Ophichthus brachynotopterus,Present
168,"Ophichthus cephalozona Bleeker, 1864 ",Ophichthus,cephalozona,Ophichthus cephalozona,Present
169,"Ophichthus exourus McCosker, 1999 ",Ophichthus,exourus,Ophichthus exourus,Present
170,"Ophichthus genie McCosker, 1999 ",Ophichthus,genie,Ophichthus genie,Present
171,"Ophichthus lentiginosus McCosker, 2010 ",Ophichthus,lentiginosus,Ophichthus lentiginosus,Present
172,"Ophichthus microstictus McCosker, 2010 ",Ophichthus,microstictus,Ophichthus microstictus,Present
173,"Ophichthus mystacinus McCosker, 1999 ",Ophichthus,mystacinus,Ophichthus mystacinus,Endemic
174,"Pisodonophis boro (Hamilton, 1822) ",Pisodonophis,boro,Pisodonophis boro,Present
175,"Rhinophichthus penicillatus McCosker, 1999 ",Rhinophichthus,penicillatus,Rhinophichthus penicillatus,Endemic
176,"Schismorhynchus labialis (Seale, 1917) ",Schismorhynchus,labialis,Schismorhynchus labialis,Present
177,"Schultzidia johnstonensis (Schultz & Woods, 1949) ",Schultzidia,johnstonensis,Schultzidia johnstonensis,Present
178,"Scolecenchelys gymnota (Bleeker, 1857) ",Scolecenchelys,gymnota,Scolecenchelys gymnota,Present
179,"Scolecenchelys laticaudata (Ogilby, 1897) ",Scolecenchelys,laticaudata,Scolecenchelys laticaudata,Present
180,"Scolecenchelys macroptera (Bleeker, 1857) ",Scolecenchelys,macroptera,Scolecenchelys macroptera,Present
181,"Yirrkala insolitus McCosker, 1999 ",Yirrkala,insolitus,Yirrkala insolitus,Endemic
182,Yirrkala sp (to be described by J E McCosker) ,Yirrkala,sp,Yirrkala sp,Endemic
183,"Coloconger saldanhai Quéro, 2001 ",Coloconger,saldanhai,Coloconger saldanhai,Present
184,"Coloconger scholesi Chan, 1967 ",Coloconger,scholesi,Coloconger scholesi,Present
185,"Nessorhamphus danae Schmidt, 1931 ",Nessorhamphus,danae,Nessorhamphus danae,Present
186,"Nessorhamphus ingolfianus (Schmidt, 1912) ",Nessorhamphus,ingolfianus,Nessorhamphus ingolfianus,Present
187,"Muraenesox bagio (Hamilton, 1822) ",Muraenesox,bagio,Muraenesox bagio,Present
188,"Avocettina infans (Günther, 1878) ",Avocettina,infans,Avocettina infans,Present
189,"Nemichthys scolopaceus Richardson, 1848 ",Nemichthys,scolopaceus,Nemichthys scolopaceus,Present
190,"Acromycter longipectoralis Karmovskaya, 2004 ",Acromycter,longipectoralis,Acromycter longipectoralis,Present
191,"Ariosoma anago (Temminck & Schlegel, 1846) ",Ariosoma,anago,Ariosoma anago,Present
192,"Ariosoma anagoides (Bleeker, 1853) ",Ariosoma,anagoides,Ariosoma anagoides,Present
193,"Ariosoma mauritianum (Pappenheim, 1914) ",Ariosoma,mauritianum,Ariosoma mauritianum,Present
194,"Ariosoma scheelei (Strömmann, 1896) ",Ariosoma,scheelei,Ariosoma scheelei,Present
195,"Bathycongrus geminus (Castle, 1964) ",Bathycongrus,geminus,Bathycongrus geminus,Present
196,"Bathycongrus guttulatus (Günther, 1887) ",Bathycongrus,guttulatus,Bathycongrus guttulatus,Present
197,"Bathycongrus trilineatus (Castle, 1964) ",Bathycongrus,trilineatus,Bathycongrus trilineatus,Endemic
198,"Bathycongrus trimaculatus Karmovskaya & Smith, 2008 ",Bathycongrus,trimaculatus,Bathycongrus trimaculatus,Present
199,"Bathycongrus unimaculatus Karmovskaya, 2009 ",Bathycongrus,unimaculatus,Bathycongrus unimaculatus,Endemic
200,"Bathymyrus echinorhynchus Alcock, 1889 ",Bathymyrus,echinorhynchus,Bathymyrus echinorhynchus,Present
201,"Bathyuroconger vicinus (Vaillant, 1888) ",Bathyuroconger,vicinus,Bathyuroconger vicinus,Present
202,"Blachea longicaudalis Karmovskaya, 2004 ",Blachea,longicaudalis,Blachea longicaudalis,Present
203,"Conger cinereus (Rüppell, 1828) ",Conger,cinereus,Conger cinereus,Present
204,"Conger verreauxi Kaup, 1856 ",Conger,verreauxi,Conger verreauxi,Present
205,"Conger wilsoni (Bloch & Schneider [ex Banning], 1801) ",Conger,wilsoni,Conger wilsoni,Present
206,"Gnathophis habenatus (Richardson, 1848) ",Gnathophis,habenatus,Gnathophis habenatus,Present
207,"Gnathophis neocaledoniensis Karmovskaya, 2004 ",Gnathophis,neocaledoniensis,Gnathophis neocaledoniensis,Endemic
208,"Gnathophis umbrellabius (Whitley, 1946) ",Gnathophis,umbrellabius,Gnathophis umbrellabius,Present
209,"Heteroconger hassi (Klausewitz & Eibl-Eibesfeldt, 1959) ",Heteroconger,hassi,Heteroconger hassi,Present
210,"Heteroconger polyzona Bleeker, 1868 ",Heteroconger,polyzona,Heteroconger polyzona,Present
211,"Heteroconger tomberua Castle & Randall, 1999 ",Heteroconger,tomberua,Heteroconger tomberua,Present
212,"Promyllantor adenensis (Klausewitz, 1991) ",Promyllantor,adenensis,Promyllantor adenensis,Present
213,"Nettastoma melanurum Rafinesque-Schmaltz, 1810 ",Nettastoma,melanurum,Nettastoma melanurum,Present
214,"Nettenchelys gephyra Castle & Smith in Smith, Böhlke & Castle, 1981 ",Nettenchelys,gephyra,Nettenchelys gephyra,Present
215,"Serrivomer bertini Bauchot, 1959 ",Serrivomer,bertini,Serrivomer bertini,Present
216,"Serrivomer neocaledoniensis Bauchot, 1959 ",Serrivomer,neocaledoniensis,Serrivomer neocaledoniensis,Endemic
217,"Serrivomer samoensis Bauchot, 1959 ",Serrivomer,samoensis,Serrivomer samoensis,Present
218,"Serrivomer sector Garman, 1899 ",Serrivomer,sector,Serrivomer sector,Present
219,"Stemonidium hypomelas Gilbert, 1905 ",Stemonidium,hypomelas,Stemonidium hypomelas,Present
220,"Eurypharynx pelecanoides Vaillant, 1882 ",Eurypharynx,pelecanoides,Eurypharynx pelecanoides,Present
221,"Encrasicholina devisi (Whitley, 1940) ",Encrasicholina,devisi,Encrasicholina devisi,Present
222,"Encrasicholina heteroloba (Rüppell, 1837) ",Encrasicholina,heteroloba,Encrasicholina heteroloba,Present
223,"Encrasicholina punctifer Fowler, 1938 ",Encrasicholina,punctifer,Encrasicholina punctifer,Present
224,"Engraulis australis (White, 1790) ",Engraulis,australis,Engraulis australis,Present
225,"Stolephorus indicus (Hasselt, 1823) ",Stolephorus,indicus,Stolephorus indicus,Present
226,"Stolephorus insularis Hardenberg, 1933 ",Stolephorus,insularis,Stolephorus insularis,Present
227,"Stolephorus waitei Jordan & Seale, 1926 ",Stolephorus,waitei,Stolephorus waitei,Present
228,"Thryssa baelama (Forsskål in Niebuhr, 1775) ",Thryssa,baelama,Thryssa baelama,Present
229,"Chirocentrus dorab (Forsskål in Niebuhr, 1775) ",Chirocentrus,dorab,Chirocentrus dorab,Present
230,"Amblygaster clupeoides Bleeker, 1849 ",Amblygaster,clupeoides,Amblygaster clupeoides,Present
231,"Amblygaster sirm (Walbaum, 1792) ",Amblygaster,sirm,Amblygaster sirm,Present
232,"Anodontostoma chacunda (Hamilton, 1822) ",Anodontostoma,chacunda,Anodontostoma chacunda,Present
233,"Dussumieria elopsoides Bleeker, 1849 ",Dussumieria,elopsoides,Dussumieria elopsoides,Present
234,"Herklotsichthys quadrimaculatus (Rüppell, 1837) ",Herklotsichthys,quadrimaculatus,Herklotsichthys quadrimaculatus,Present
235,"Nematalosa come (Richardson, 1846) ",Nematalosa,come,Nematalosa come,Present
236,"Sardinella fijiense (Fowler & Bean, 1923) ",Sardinella,fijiense,Sardinella fijiense,Present
237,"Sardinella melanura (Cuvier, 1829) ",Sardinella,melanura,Sardinella melanura,Present
238,"Spratelloides delicatulus (Bennett, 1832) ",Spratelloides,delicatulus,Spratelloides delicatulus,Present
239,"Spratelloides gracilis (Temminck & Schlegel, 1846) ",Spratelloides,gracilis,Spratelloides gracilis,Present
240,"Chanos chanos (Forsskål in Niebuhr, 1775) ",Chanos,chanos,Chanos chanos,Present
241,"Gonorynchus greyi (Richardson, 1845) ",Gonorynchus,greyi,Gonorynchus greyi,Present
242,"Carassius auratus (Linnaeus, 1758) ",Carassius,auratus,Carassius auratus,Introduced
243,"Cyprinus carpio Linnaeus, 1758 ",Cyprinus,carpio,Cyprinus carpio,Introduced
244,"Plotosus lineatus (Thunberg, 1787) ",Plotosus,lineatus,Plotosus lineatus,Present
245,"Glossanodon australis Kobyliansky, 1998 ",Glossanodon,australis,Glossanodon australis,Present
246,"Glossanodon elongatus Kobyliansky, 1998 ",Glossanodon,elongatus,Glossanodon elongatus,Present
247,"Opisthoproctus grimaldii Zugmayer, 1911 ",Opisthoproctus,grimaldii,Opisthoproctus grimaldii,Present
248,"Opisthoproctus soleatus Vaillant, 1888 ",Opisthoproctus,soleatus,Opisthoproctus soleatus,Present
249,"Rhynchohyalus natalensis (Gilchrist & Bonde, 1924) ",Rhynchohyalus,natalensis,Rhynchohyalus natalensis,Present
250,"Nansenia pelagica Kawaguchi & Butler, 1984 ",Nansenia,pelagica,Nansenia pelagica,Present
251,"Bathylagus pacificus Gilbert, 1890 ",Bathylagus,pacificus,Bathylagus pacificus,Present
252,"Bathylagus wesethi Bolin, 1939 ",Bathylagus,wesethi,Bathylagus wesethi,Present
253,"Platytroctes apus Günther, 1878 ",Platytroctes,apus,Platytroctes apus,Present
254,"Photostylus pycnopterus Beebe, 1933 ",Photostylus,pycnopterus,Photostylus pycnopterus,Present
255,"Xenodermichthys copei (Gill, 1884) ",Xenodermichthys,copei,Xenodermichthys copei,Present
