Group,,Scientific Name,English Name
,28,"Mobula kuhlii (Müller & Henle, 1841)","Mobula kuhlii (Müller & Henle, 1841)"
Cetaceans,,,
,1,"Stenella longirostris (Gray, 1828) ",Grey's spinner dolphins
,2,"Stenella attenuata (Gray, 1846)",Pantropical spotted dolphins
,3,"Tursiops truncatus (Montagu, 1821) ",Common bottlenose dolphin
,4,"Lagenodelphis hosei (Fraser, 1956 )",Fraser's dolphin
,5,"Grampus griseus (G. Cuvier, 1812) )",Risso's dolphin
,6,"Globicephala macrorhynchus ( Gray, 1846) ",Short-finned pilot whale
,7,"Pseudorca crassidens (Owen, 1846)",False killer whale
,8,"Orcinus orca (Linnaeus, 1758)",Killer whale
,9,"Mesoplodon densirostris (de Blainville, 1817)",Blainville's beaked whale
,10,"Kogia sima (Owen, 1866) ",Dwarf sperm whale
,11,"Physeter macrocephalus (Linnaeus, 1758)",Sperm whale
,12,"Balaenoptera omurai (Wada, Oishi & Yamada, 2003) ",Omura's whale
,13,"Indopacetus pacificus (Longman, 1926)",Longman's beaked whale
,14,"Peponocephala electra (Gray, 1846)",Melon-headed whale
Bony fishes,,,
,1,Abudefduf sexfasciatus,Scissortail sergeant
,2,Abudefduf vaigiensis,Indo-Pacific sergeant
,3,Acanthochromis polyacanthus,Spiny chromis
,4,Acanthurus achilles,Achilles tang
,5,Acanthurus albipectoralis,Whitefin surgeonfish
,6,Acanthurus auranticavus,Orange-socket surgeonfish
,7,Acanthurus bariene,Black-spot surgeonfish
,8,Acanthurus blochii,Ringtail surgeonfish
,9,Acanthurus chronixis,Chronixis surgeonfish
,10,Acanthurus fowleri,Fowler's surgeonfish
,11,Acanthurus gahhm,Black surgeonfish
,12,Acanthurus grammoptilus,Finelined surgeonfish
,13,Acanthurus japonicus,Japan surgeonfish
,14,Acanthurus leucocheilus,Palelipped surgeonfish
,15,Acanthurus lineatus,Lined surgeonfish
,16,Acanthurus mata,"Elongate surgeonfish, Yellowmask surgeonfish"
,17,Acanthurus nigricans,Whitecheek surgeonfish
,18,Acanthurus nigricauda,Epaulette surgeonfish
,19,Acanthurus nigrofuscus,Brown surgeonfish
,20,Acanthurus nigroris,Bluelined surgeonfish
,21,Acanthurus nubilus,Bluelined surgeon
,22,Acanthurus olivaceus,Orangespot surgeonfish
,23,Acanthurus pyroferus,"Mimic surgeonfish, Chocolate surgeonfish"
,24,Acanthurus thompsoni,Thompson's surgeonfish
,25,Acanthurus triostegus,Convict surgeonfish
,26,Acanthurus xanthopterus,Yellowfin surgeonfish
,27,Acreichthys radiatus,Radial leatherjacket
