Family,Species Name,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19_ 20,21,22,23_24,25,26_27,28,29,30,31,32_33,34,35,36,LT2,37,LT3,38,LT4,39,LT5,40,41,42,43,44,45,46,47,48,49
Engraulidae,Anchoa argentivittata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2spp c,,,,,
Chanidae,Chanos chanos,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,
Synodontidae,Synodus lacertinus,,,,,,,,nuc,r,r,,,nuc,,r,r,,nuc,,nuc,,,,nuc,c,,r,r,,,,,,,,,,,,,,,,,,c,,
Ophidiidae,Ophidion galeoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,
,Petrotyx hopkinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,,,,,,,,,,,,,,,,
Carapidae,Encheliophis new species,,,,,,,,,,,,,,,,,,nuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bythitidae,Ogilbia species A,,,,,,,,,,,,,sp,,,sp,sp,sp,,,,sp,,,nuc,,,nuc,,,nuc,,,,,,?nuc,,nuc,,,,,,,sp B r,,
Antennariidae,Antennarius avalonis,,,nuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,
,Antennarius coccineus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,,,,,,,,,,,,,
,Antennarius commerson,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antennarius sanguineus,,,,,nuc,c,,,c,nuc,,,r,,,nuc,r,nuc,,,r,r,r,,nuc,nuc,,nuc,,,,,,,,,,,,,,,,,r,nuc,r,
,Antennatus strigatus,,,,,,,,,,,,,r,,r,,,r,,,,r,r,,nuc,r,,nuc,,,,,,,,,r,,,,,,,,,,,
Gobiesocidae,Arcos rhodospilus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuc,,,,,,,,,
,Tomicodon myersi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,
Atherinopsidae,Atherinella argentea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,c,,,,,,,,,,,
,Atherinella nepenthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?c,,?c,,,,,,,,,,,?nuc
,Atherinella starksi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,c
Poeciliidae,Poeciliopsis elongata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,c,,c,,,,,,,,,,,
Anablepidae,Oxyzygonectes dovii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,c,,c,,,,,,,,,,,
Belonidae,Tylosurus crocodilus fodiator,,,,,,,,,,,,,,,,,,,,,nuc,,,,,,,nuc,,,,,,,,,,,,,,,,,,,,
,Tylosurus imperialis melanotus,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exocoetidae,Cypselurus callopterus,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fodiator rostratus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,
,Parexocoetus brachypterus brachypterus,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holocentridae,Myripristis berndti,nuc,nuc,,c,,,,nuc,r,,,c,nuc,c,r,,,nuc,nuc,nuc,nuc,,,nuc,,,r,nuc,nuc,nuc,,nuc,,,,,,c,,,c,c,,c,,nuc,,
,Myripristis leiognathos,c,nuc,,,c,c,c,c,c,c,,c,c,c,c,,,c,c,c,c,c,c,c,c,,c,c,r,c,c,c,,c,,c,,nuc,nuc,,c,c,,c,c,c,c,
,Sargocentron suborbitalis,,c,c,c,,,,nuc,nuc,,,c,c,c,nuc,,,c,nuc,,nuc,,,,,,,c,nuc,nuc,,nuc,,nuc,,nuc,r,c,,,uc,uc,,nuc,nuc,c,,
Aulostomidae,Aulostomus chinensis,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fistulariidae,Fistularia commersonii,,,,,,,,c,nuc,c,,nuc,,,c,nuc,nuc,c,c,,c,,,nuc,c,,,c,,,,,,,,,,,,,,,,,,,c,
,Fistularia corneta,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
