OBJECTID,Name,Latitude,Longitude
1,1,-81.79988977,7.216595651
2,2,-81.79669178,7.211419187
3,3,-81.67842239,7.319778543
4,5,-81.81550099,7.293598965
5,7,-81.77051182,7.814429027
6,8,-81.75834155,7.815278128
7,9,-81.76003961,7.775001619
8,10,-81.79339007,7.872684001
9,11,-81.7847837,7.852638964
10,12,-81.79445434,7.86908201
11,13,-81.78327675,7.631145485
12,14,-81.78629868,7.621144684
13,15,-81.82068695,7.593771334
14,16,-81.6095557,7.686194982
15,17,-81.62249732,7.705220244
16,18,-81.63398195,7.695537851
17,21,-81.70948059,7.594190862
18,22,-81.8304109,7.240306436
19,25,-81.69521641,7.421977675
20,28,-81.69567258,7.63075203
21,29,-81.70779327,7.616826593
22,30,-81.73776996,7.631264807
23,31,-81.79483038,7.838750251
24,34,-81.89364394,7.5171539
25,35,-81.83317253,7.591673687
26,36,-81.87083758,7.518070535
27,37,-81.71879927,7.647571527
28,38,-81.7014678,7.425506111
29,39,-81.71261279,7.319907645
30,40,-81.81795558,7.297077143
31,41,-81.88678663,7.506383291
32,42,-81.89271936,7.523952232
33,43,-81.85881801,7.523417535
34,44,-81.89641769,7.519216326
35,45,-81.84317716,7.56443447
36,46,-81.85773317,7.544099112
37,47,-81.63123935,7.685005875
38,48,-81.63663884,7.706918887
39,49,-81.63389624,7.70403119
40,19_20,-81.72982998,7.656230356
41,23_24,-81.80089966,7.222662613
42,26_27,-81.67111496,7.399757758
43,26_27,-81.66731604,7.397953703
44,32_33,-81.73708643,7.816466867
45,lt1,-81.78604585,7.288990338
46,lt2,-81.73360528,7.621878812
47,lt3,-81.68427742,7.388933322
48,lt4,-81.65297646,7.374181949
49,lt5,-81.79826272,7.235130244
