OBJECTID,Name,Latitude,Longitude
1,1_1,7.676883333,81.73583333
2,2_1,7.712666667,81.69016667
3,3_1,7.755666667,81.65033333
4,4_1,7.7855,81.69116667
5,5_1,7.834,81.73566667
6,6_1,7.883166667,81.7815
7,7_1,7.883166667,81.831
8,8_1,7.822833333,81.8315
9,9_1,7.770666667,81.857
10,10_1,7.705666667,81.86783333
11,11_1,7.6935,81.81016667
12,12_1,7.695666667,81.76783333
13,1_1,7.692166667,81.72
14,2_1,7.726166667,81.66933333
15,3_1,7.776333333,81.68316667
16,4_1,7.802333333,81.71033333
17,5_1,7.855666667,81.75416667
18,6_1,7.883666667,81.80733333
19,7_1,7.8545,81.837
20,8_1,7.790833333,81.828
21,9_1,7.743833333,81.87333333
22,10_1,7.680333333,81.84966667
23,11_1,7.703666667,81.77766667
24,12_1,7.667666667,81.75133333
25,1,7.284333333,81.7305
26,2,7.2397,81.69146667
27,3,7.223766667,81.70176667
28,4,7.231833333,81.762
29,5,7.204383333,81.727
30,6,7.2045,81.67216667
31,7,7.23765,81.61335
32,8,7.282,81.563
33,9,7.335,81.55716667
34,10,7.3535,81.54133333
35,11,7.283,81.7235
36,1,7.282166667,81.70966667
37,2,7.243233333,81.66893333
38,3,7.242,81.7115
39,4,7.212833333,81.7565
40,5,7.217,81.705
41,6,7.2085,81.64483333
42,7,7.254466667,81.59106667
43,8,7.300333333,81.54466667
44,9,7.362666667,81.56666667
45,10,7.3345,81.5145
46,11,7.300666667,81.715
