Family,Species,English,Species_indicator_list,Feeding_guild_code,Survey_Date,Year,Transect,Depth,Site,Actual_size,Amount,Size_Class,Median_size_class,Biomass_g
Mullidae,other.goatfish,Goatfish,Yes,OM,12/21/2017,2017,ARM07_5m_3,5m,ARM07,NA,2,1,3,0.759680202
Mullidae,other.goatfish,Goatfish,Yes,OM,1/7/2020,2019,ARM04_15m_3,15m,ARM04,NA,2,1,3,0.759680202
Mullidae,other.goatfish,Goatfish,Yes,OM,11/20/2019,2019,ARM07_5m_3,5m,ARM07,NA,2,1,3,0.759680202
Mullidae,other.goatfish,Goatfish,Yes,OM,11/30/2021,2021,ARM04_15m_2,15m,ARM04,NA,2,1,3,0.759680202
Mullidae,other.goatfish,Goatfish,Yes,OM,11/19/2021,2021,ARM03_15m_1,15m,ARM03,NA,2,1,3,0.759680202
Holocentridae,other.soldierfish,Soldierfish,Yes,PL,11/19/2019,2019,ARM06_15m_2,15m,ARM06,NA,1,1,3,0.590084069
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/29/2016,2016,ARM03_5m_3,5m,ARM03,NA,1,3,14.5,0.22153889
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/9/2016,2016,ARM06_15m_2,15m,ARM06,NA,1,3,14.5,0.22153889
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/14/2017,2017,ARM12_5m_2,5m,ARM12,NA,1,3,14.5,0.22153889
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/12/2018,2018,ARM02_5m_2,5m,ARM02,NA,1,3,14.5,0.22153889
Lethrinidae,Monotaxis.grandoculis,Humpnose.Big.Eye.Bream,Yes,OM,10/31/2014,2014,ARM01_15m_1,15m,ARM01,NA,1,1,3,0.731253054
Balistidae,other.triggerfish,Triggerfish,Yes,OM,12/2/2016,2016,ARM12_5m_2,5m,ARM12,NA,1,1,3,1.439212046
Balistidae,other.triggerfish,Triggerfish,Yes,OM,1/5/2017,2016,ARM08_5m_3,5m,ARM08,NA,1,1,3,1.439212046
Balistidae,other.triggerfish,Triggerfish,Yes,OM,12/23/2017,2017,ARM09_2m_3,2m,ARM09,NA,1,1,3,1.439212046
Balistidae,other.triggerfish,Triggerfish,Yes,OM,11/18/2019,2019,ARM01_5m_1,5m,ARM01,NA,1,1,3,1.439212046
Balistidae,other.triggerfish,Triggerfish,Yes,OM,12/23/2021,2021,ARM01_15m_1,15m,ARM01,NA,1,1,3,1.439212046
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/29/2016,2016,ARM03_15m_1,15m,ARM03,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/29/2016,2016,ARM03_5m_3,5m,ARM03,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/1/2016,2016,ARM05_15m_2,15m,ARM05,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/2/2016,2016,ARM12_5m_2,5m,ARM12,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/7/2016,2016,ARM07_15m_2,15m,ARM07,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/7/2016,2016,ARM07_5m_1,5m,ARM07,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/7/2016,2016,ARM07_5m_3,5m,ARM07,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/12/2016,2016,ARM01_15m_2,15m,ARM01,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/12/2016,2016,ARM01_5m_3,5m,ARM01,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/15/2017,2017,ARM05_15m_2,15m,ARM05,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/16/2017,2017,ARM04_5m_1,5m,ARM04,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/22/2017,2017,ARM06_15m_1,15m,ARM06,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/29/2017,2017,ARM06_5m_1,5m,ARM06,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/12/2018,2018,ARM03_15m_2,15m,ARM03,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/15/2018,2018,ARM01_15m_1,15m,ARM01,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/14/2018,2018,ARM07_15m_2,15m,ARM07,NA,1,4,24.5,0.239586032
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,1/6/2020,2019,ARM02_15m_1,15m,ARM02,NA,1,4,24.5,0.239586032
Chaetodontidae,Chaetodon.auriga,Threadfin.Butterflyfish,Yes,IN,12/23/2017,2017,ARM09_2m_2,2m,ARM09,NA,1,1,3,0.801196556
Chaetodontidae,Chaetodon.auriga,Threadfin.Butterflyfish,Yes,IN,11/23/2019,2019,ARM09_2m_2,2m,ARM09,NA,1,1,3,0.801196556
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/28/2016,2016,ARM08_15m_1,15m,ARM08,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/1/2016,2016,ARM05_5m_3,5m,ARM05,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/2/2016,2016,ARM12_5m_3,5m,ARM12,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/6/2016,2016,ARM02_5m_3,5m,ARM02,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/7/2016,2016,ARM07_5m_1,5m,ARM07,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/7/2016,2016,ARM07_5m_3,5m,ARM07,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/9/2016,2016,ARM06_5m_3,5m,ARM06,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/12/2016,2016,ARM01_5m_2,5m,ARM01,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,1/5/2017,2016,ARM08_5m_2,5m,ARM08,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/15/2017,2017,ARM05_15m_1,15m,ARM05,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/16/2017,2017,ARM04_5m_2,5m,ARM04,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/18/2017,2017,ARM01_5m_3,5m,ARM01,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/20/2017,2017,ARM02_15m_1,15m,ARM02,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/21/2017,2017,ARM08_5m_1,5m,ARM08,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/21/2017,2017,ARM08_5m_3,5m,ARM08,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/23/2017,2017,ARM09_2m_1,2m,ARM09,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,12/8/2018,2018,ARM08_15m_3,15m,ARM08,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/18/2019,2019,ARM01_5m_1,5m,ARM01,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,1/6/2020,2019,ARM02_5m_3,5m,ARM02,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/25/2019,2019,ARM05_5m_3,5m,ARM05,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/19/2019,2019,ARM06_5m_3,5m,ARM06,NA,1,5,34.5,0.2521484
Carangidae,Caranx.melampygus,Bluefin.Trevally,Yes,PI,11/19/2021,2021,ARM03_15m_1,15m,ARM03,NA,1,5,34.5,0.2521484
Chaetodontidae,Chaetodon.meyeri,Meyer's.Butterflyfish,Yes,C,11/3/2014,2014,ARM06_15m_1,15m,ARM06,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.guttatissimus,Spotted.Butterflyfish,Yes,IN,11/3/2014,2014,ARM06_15m_1,15m,ARM06,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.guttatissimus,Spotted.Butterflyfish,Yes,IN,11/4/2014,2014,ARM02_15m_1,15m,ARM02,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.guttatissimus,Spotted.Butterflyfish,Yes,IN,11/19/2014,2014,ARM12_15m_1,15m,ARM12,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.guttatissimus,Spotted.Butterflyfish,Yes,IN,12/3/2016,2016,ARM04_15m_2,15m,ARM04,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.guttatissimus,Spotted.Butterflyfish,Yes,IN,12/12/2016,2016,ARM01_5m_2,5m,ARM01,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.lineolatus,Lined.Butterflyfish,Yes,C,11/18/2019,2019,ARM01_5m_3,5m,ARM01,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.meyeri,Meyer's.Butterflyfish,Yes,C,11/18/2019,2019,ARM01_5m_3,5m,ARM01,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.guttatissimus,Spotted.Butterflyfish,Yes,IN,11/18/2019,2019,ARM01_5m_1,5m,ARM01,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.guttatissimus,Spotted.Butterflyfish,Yes,IN,11/18/2019,2019,ARM01_5m_2,5m,ARM01,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.guttatissimus,Spotted.Butterflyfish,Yes,IN,1/9/2020,2019,ARM03_15m_1,15m,ARM03,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.guttatissimus,Spotted.Butterflyfish,Yes,IN,1/9/2020,2019,ARM03_15m_2,15m,ARM03,NA,1,1,3,0.862494161
Chaetodontidae,Chaetodon.meyeri,Meyer's.Butterflyfish,Yes,C,11/18/2021,2021,ARM01_5m_3,5m,ARM01,NA,1,1,3,0.862494161
