OpCode,Family,Species,Longitude,Latitude
BR10,Mullidae,Parupeneus barberinus,46.206116,-9.378648
BR10,Balistidae,Odonus niger,46.206116,-9.378648
BR10,Acanthuridae,Naso hexacanthus,46.206116,-9.378648
BR10,Acanthuridae,Naso brevirostris,46.206116,-9.378648
BR10,Malacanthidae,Malacanthus brevirostris,46.206116,-9.378648
BR10,Lethrinidae,Lethrinus rubrioperculatus,46.206116,-9.378648
BR10,Lethrinidae,Lethrinus nebulosus,46.206116,-9.378648
BR10,Labridae,Labroides dimidiatus,46.206116,-9.378648
BR10,Labridae,Hologymnosus doliatus,46.206116,-9.378648
BR10,Microdesmidae,Gunnellichthys monostigma,46.206116,-9.378648
BR10,Serranidae,Epinephelus tukula,46.206116,-9.378648
BR10,Labridae,Coris cuvieri,46.206116,-9.378648
BR10,Labridae,Coris caudimacula,46.206116,-9.378648
BR10,Chaetodontidae,Chaetodon auriga,46.206116,-9.378648
BR10,Carcharhinidae,Carcharhinus amblyrhynchos,46.206116,-9.378648
BR10,Carangidae,Caranx melampygus,46.206116,-9.378648
BR10,Labridae,Bodianus bilunulatus,46.206116,-9.378648
BR10,Serranidae,Aethaloperca rogaa,46.206116,-9.378648
BR10,Pomacentridae, sp,46.206116,-9.378648
BR11,Ephippidae,Platax orbicularis,46.204758,-9.434577
BR11,Dasyatidae,Pateobatis fai,46.204758,-9.434577
BR11,Lethrinidae,Monotaxis grandoculis,46.204758,-9.434577
BR11,Carangidae,Gnathanodon speciosus,46.204758,-9.434577
BR11,Echeneidae,Echeneis naucrates,46.204758,-9.434577
BR11,Carcharhinidae,Carcharhinus amblyrhynchos,46.204758,-9.434577
BR11,Carangidae,Caranx ignobilis,46.204758,-9.434577
BR11,Carangidae, sp,46.204758,-9.434577
BR12,Zanclidae,Zanclus cornutus,46.210031,-9.43459
BR12,Serranidae,Variola louti,46.210031,-9.43459
BR12,Labridae,Thalassoma hebraicum,46.210031,-9.43459
BR12,Labridae,Thalassoma amblycephalum,46.210031,-9.43459
BR12,Balistidae,Sufflamen bursa,46.210031,-9.43459
BR12,Scaridae,Scarus psittacus,46.210031,-9.43459
BR12,Labridae,Pseudocheilinus hexataenia,46.210031,-9.43459
BR12,Labridae,Pseudocheilinus evanidus,46.210031,-9.43459
BR12,Serranidae,Pseudanthias bimaculatus,46.210031,-9.43459
BR12,Pomacentridae,Pomacentrus caeruleus,46.210031,-9.43459
BR12,Pomacanthidae,Pomacanthus imperator,46.210031,-9.43459
BR12,Pomacentridae,Plectroglyphidodon johnstonianus,46.210031,-9.43459
BR12,Blenniidae,Plagiotremus tapeinosoma,46.210031,-9.43459
BR12,Mullidae,Parupeneus macronemus,46.210031,-9.43459
BR12,Mullidae,Parupeneus indicus,46.210031,-9.43459
BR12,Cirrhitidae,Paracirrhites forsteri,46.210031,-9.43459
BR12,Cirrhitidae,Paracirrhites arcatus,46.210031,-9.43459
BR12,Balistidae,Odonus niger,46.210031,-9.43459
BR12,Carcharhinidae,Negaprion acutidens,46.210031,-9.43459
BR12,Acanthuridae,Naso elegans,46.210031,-9.43459
BR12,Acanthuridae,Naso brevirostris,46.210031,-9.43459
BR12,Balistidae,Melichthys niger,46.210031,-9.43459
BR12,Balistidae,Melichthys indicus,46.210031,-9.43459
BR12,Labridae,Labroides dimidiatus,46.210031,-9.43459
BR12,Labridae,Halichoeres hortulanus,46.210031,-9.43459
BR12,Labridae,Halichoeres cosmetus,46.210031,-9.43459
BR12,Labridae,Gomphosus caeruleus,46.210031,-9.43459
BR12,Echeneidae,Echeneis naucrates,46.210031,-9.43459
BR12,Acanthuridae,Ctenochaetus striatus,46.210031,-9.43459
BR12,Acanthuridae,Ctenochaetus binotatus,46.210031,-9.43459
BR12,Pomacentridae,Chromis nigrura,46.210031,-9.43459
BR12,Pomacentridae,Chromis fieldi,46.210031,-9.43459
BR12,Scaridae,Chlorurus sordidus,46.210031,-9.43459
BR12,Chaetodontidae,Chaetodon meyeri,46.210031,-9.43459
BR12,Chaetodontidae,Chaetodon madagaskariensis,46.210031,-9.43459
BR12,Chaetodontidae,Chaetodon lunula,46.210031,-9.43459
BR12,Chaetodontidae,Chaetodon guttatissimus,46.210031,-9.43459
BR12,Chaetodontidae,Chaetodon auriga,46.210031,-9.43459
BR12,Serranidae,Cephalopholis sonnerati,46.210031,-9.43459
BR12,Serranidae,Cephalopholis nigripinnis,46.210031,-9.43459
BR12,Serranidae,Cephalopholis argus,46.210031,-9.43459
BR12,Pomacanthidae,Centropyge multispinis,46.210031,-9.43459
BR12,Carcharhinidae,Carcharhinus melanopterus,46.210031,-9.43459
BR12,Carcharhinidae,Carcharhinus amblyrhynchos,46.210031,-9.43459
BR12,Monacanthidae,Cantherhines dumerilii,46.210031,-9.43459
BR12,Balistidae,Balistoides viridescens,46.210031,-9.43459
BR12,Balistidae,Balistoides conspicillum,46.210031,-9.43459
BR12,Blenniidae,Aspidontus dussumieri,46.210031,-9.43459
BR12,Pomacanthidae,Apolemichthys trimaculatus,46.210031,-9.43459
BR12,Lutjanidae,Aphareus furca,46.210031,-9.43459
BR12,Labridae,Anampses lineatus,46.210031,-9.43459
BR12,Serranidae,Aethaloperca rogaa,46.210031,-9.43459
BR12,Acanthuridae,Acanthurus thompsoni,46.210031,-9.43459
BR12,Acanthuridae,Acanthurus nigricauda,46.210031,-9.43459
BR12,Acanthuridae,Acanthurus leucosternon,46.210031,-9.43459
BR12,Cheloniidae, sp,46.210031,-9.43459
BR13,Zanclidae,Zanclus cornutus,46.208263,-9.437544
BR13,Serranidae,Variola louti,46.208263,-9.437544
BR13,Labridae,Thalassoma lunare,46.208263,-9.437544
BR13,Labridae,Thalassoma hebraicum,46.208263,-9.437544
BR13,Labridae,Stethojulis albovittata,46.208263,-9.437544
BR13,Scaridae,Scarus tricolor,46.208263,-9.437544
BR13,Scaridae,Scarus rubroviolaceus,46.208263,-9.437544
BR13,Scaridae,Scarus psittacus,46.208263,-9.437544
BR13,Microdesmidae,Ptereleotris evides,46.208263,-9.437544
BR13,Labridae,Pseudocheilinus hexataenia,46.208263,-9.437544
BR13,Labridae,Pseudocheilinus evanidus,46.208263,-9.437544
BR13,Blenniidae,Plagiotremus tapeinosoma,46.208263,-9.437544
BR13,Mullidae,Parupeneus macronemus,46.208263,-9.437544
BR13,Mullidae,Parupeneus indicus,46.208263,-9.437544
BR13,Mullidae,Parupeneus cyclostomus,46.208263,-9.437544
BR13,Cirrhitidae,Paracirrhites arcatus,46.208263,-9.437544
BR13,Ginglymostomatidae,Nebrius ferrugineus,46.208263,-9.437544
BR13,Acanthuridae,Naso elegans,46.208263,-9.437544
BR13,Balistidae,Melichthys indicus,46.208263,-9.437544
BR13,Labridae,Macropharyngodon bipartitus,46.208263,-9.437544
BR13,Lutjanidae,Lutjanus bohar,46.208263,-9.437544
BR13,Labridae,Labropsis xanthonota,46.208263,-9.437544
BR13,Labridae,Labroides dimidiatus,46.208263,-9.437544
BR13,Labridae,Labroides bicolor,46.208263,-9.437544
BR13,Chaetodontidae,Hemitaurichthys zoster,46.208263,-9.437544
