Scientific name
Abramis brama *
Agonus cataphractus
Alosa alosa
Alosa fallax
Ammodytes marinus
Anguilla anguilla
Aphia minuta
Arnoglossus laterna
Atherina presbyter
Belone belone
Buglossidium luteum
Callionymus lyra
Chelon labrosus
Ciliata mustela
Clupea harengus
Coregonus oxyrinchus
Cyclopterus lumpus
Dasyatis pastinaca
Dicentrarchus labrax
Echiichthys vipera
Enchelyopus cimbrius
Engraulis encrasicolus
Entelurus aequoreus
Eutrigla gurnadus
Gadus morhua
Gaidropsarus vulgaris
Galeorhinus galeus
Gasterosteus aculeatus
Glyptocephalus cynoglossus
Gymnocephalus cernuus *
Hippoglossoides platessoides
Hyperoplus lanceolatus
Lampetra fluviatilis
Limanda limanda
Liparis liparis
Liparis montagui
Maurolicus muelleri
Merlangius merlangus
Merluccius merluccius
Micromesistius poutassou
Microstomus kitt
Mullus surmelutus
Myoxocephalus scorpius
Osmerus eperlanus
Petromyzon marinus
Pholis gunellus
Platichthys flesus
Pleuronectes platessa
Pollachius pollachius
Pollachius virens
Pomatoschistus lozanoi
Pomatoschistus microps
Pomatoschistus minutus
Pomatoschistus pictus
Psetta maxima
Pungitius pungitius *
Salmo salar
Salmo trutta
Sardina pilchardus
Scomber scombrus
Scophthalmus rhombus
Solea solea
Spinachia spinachia
Sprattus sprattus
Stizostedion lucioperca
Syngnathus acus
Syngnathus rostellatus
Syngnathus typhle
Taurulus bubalis
Trachinus draco
Trachurus trachurus
Trigla lucerna
Trisopterus esmarki
Trisopterus luscus
Trisopterus minutus
Zoarces viviparus
Acipenser sturio
Alburnus alburnus *
Alopias vulpinus
Ammodytes tobianus
Anarhichas denticulatus
Anarhichas lupus
Argyrosomus regius
Aspitrigla cuculus
Aspius aspius *
Atherina boyeri
Balistes carolinensis
Barbus barbus *
Blicca bjoerkna *
Boops boops
Brama brama
Callionymus maculatus
Callionymus reticulatus
Carassius carassius *
Cetorhinus maximus
Cheilopogon heterurus
Conger conger
Crystallogobius linearis
Ctenolabrus rupestris
Cynoglossus browni
Cyprinus carpio*
Dentex maroccanus
Gaidropsarus mediterranaeus
Galeus melastomus
Gobiusculus flavescens
Hexanchus griseus
Hippocampus hippocampus
Hyperoplus immaculatus
Labrus bergylta
Lamna nasus
Leucaspius delineatus *
Leuciscus idus *
Lipophrys pholis
Liza aurata
Liza ramada
Lophius piscatorius
Melanogrammus aeglefinus
Mola mola
Molva molva
Mullus barbatus
Mustelus mustelus
Nerophis lumbriciformis
Onchorhynchus mykiss
Pagellus acarne
Pagellus bogaraveo
Pagellus erythrinus
Parablennius gattorugine
Perca fluviatilis *
Phrynorhombus norvegicus
Pterycombus brama
Raja clavata
Raniceps raninus
Remora remora
Rutilus rutilus *
Scomber japonicus
Scomberesox saurus
Scyliorhinus caniculus
Scyliorhinus stellaris
Sebastes marinus
Serranus cabrilla
Spondyliosoma cantharus
Squalus acanthias
Squatina squatina
Symphodus melops
Taractes asper
Taractichthys longipinnis
Trachinotus ovatus
Xiphias gladius
Zeugopterus punctatus
Zeus faber
