scientificName,decimalLongitude,decimalLatitude,year,month,day,associatedMedia,datasetName,references
Calliblepharis jubata,-17.050108,20.769844,1988,5,19,,MarAfrica
Callithamnion decompositum,-17.050108,20.769844,1951,,,,MarAfrica
Callithamnion decompositum,-17.050108,20.769844,1951,,,,MarAfrica
Callithamnion granulatum,-17.050108,20.769844,1977,,,,MarAfrica
Caulacanthus ustulatus,-17.050108,20.769844,1977,,,,MarAfrica
Caulacanthus ustulatus,-17.050108,20.769844,1977,,,,MarAfrica
Ceramium diaphanum,-17.050108,20.769844,1908,4,20,,MarAfrica
Ceramium flaccidum,-17.050108,20.769844,1970,,,,MarAfrica
Ceramium gracillimum,-17.050108,20.769844,1977,,,,MarAfrica
Ceramium strictum,-17.050108,20.769844,1987,4,10,,MarAfrica
Champia parvula,-17.050108,20.769844,1977,,,,MarAfrica
Champia parvula,-17.050108,20.769844,1970,,,,MarAfrica
Chondria dasyphylla,-17.050108,20.769844,1908,5,1,,MarAfrica
Chondrus crispus,-17.050108,20.769844,1977,,,,MarAfrica
Corallina elongata,-17.050108,20.769844,1987,10,26,,MarAfrica
Erythrotrichia boryana,-17.050108,20.769844,1987,19,23,,MarAfrica
Erythrotrichia boryana,-17.050108,20.769844,1988,5,19,,MarAfrica
Erythrotrichia carnea,-17.050108,20.769844,1987,4,7,,MarAfrica
Erythrotrichia carnea,-17.050108,20.769844,1960,3,7,,MarAfrica
Gelidiopsis variabilis,-17.050108,20.769844,1987,4,10,,MarAfrica
Gelidium pusillum,-17.050108,20.769844,1977,,,,MarAfrica
Gelidium pusillum,-17.050108,20.769844,1977,,,,MarAfrica
Gelidium pusillum,-17.050108,20.769844,1987,4,10,,MarAfrica
Gelidium pusillum,-17.050108,20.769844,1991,,,,MarAfrica
Gigartina acicularis,-17.050108,20.769844,1987,4,10,,MarAfrica
Gigartina acicularis,-17.050108,20.769844,1987,4,10,,MarAfrica
Gigartina pistillata,-17.050108,20.769844,1977,,,,MarAfrica
Goniotrichum alsidii,-17.050108,20.769844,1991,,,,MarAfrica
Goniotrichum alsidii,-17.050108,20.769844,1991,,,,MarAfrica
Gracilaria foliifera,-17.050108,20.769844,1987,4,10,,MarAfrica
Gracilaria verrucosa,-17.050108,20.769844,1987,10,16,,MarAfrica
Gymnogongrus patens,-17.050108,20.769844,1987,4,10,,MarAfrica
Herposiphonia tenella,-17.050108,20.769844,1954,,,,MarAfrica
Herposiphonia tenella,-17.050108,20.769844,1987,4,10,,MarAfrica
Herposiphonia tenella,-17.050108,20.769844,1977,,,,MarAfrica
Hildenbrandia canariensis,-17.050108,20.769844,1987,4,10,,MarAfrica
Jania adhaerens,-17.050108,20.769844,1987,4,10,,MarAfrica
Jania rubens,-17.050108,20.769844,1991,,,,MarAfrica
Lithophyllum expansum,-17.050108,20.769844,1987,4,10,,MarAfrica
Lithophyllum incrustans,-17.050108,20.769844,1960,3,1,,MarAfrica
Phymatolithon bisporum,-17.050108,20.769844,1977,,,,MarAfrica
Plocamium cartilagineum,-17.050108,20.769844,1960,3,9,,MarAfrica
Plocamium raphelisianum,-17.050108,20.769844,1988,5,15,,MarAfrica
Polysiphonia denudata,-17.050108,20.769844,1960,3,7,,MarAfrica
Polysiphonia macrocarpa,-17.050108,20.769844,1987,10,26,,MarAfrica
Polysiphonia macrocarpa,-17.050108,20.769844,1987,10,24,,MarAfrica
Pterosiphonia pennata,-17.050108,20.769844,1987,10,16,,MarAfrica
Pterosiphonia pennata,-17.050108,20.769844,1987,10,21,,MarAfrica
Rhodymenia pseudopalmata,-17.050108,20.769844,1987,4,10,,MarAfrica
Hypnea musciformis,-17.050108,20.769844,2020,11,6,,MarAfrica
