Species,S,N,FO%,SL (mm),TW (g),Locality
Phosichthyidae,,,,,,
"Ichthyococcus polli Blache, 1964",1-2,14.0,9.8,52 (41–72),2.5 (1.1–8.4),FNR-PB
"Phosichthys argenteus Hutton, 1872",2,1.0,1.2,64,8.1,RN
"Pollichthys mauli (Poll, 1953)",1,1.0,1.2,38,1.5,RN
"Vinciguerria nimbaria (Jordan & Williams, 1895)",1-2,24.0,11.0,26 (17–49),2.0 (0.4–6.5),FNR-PB-PE-RN
Stomiidae,,,,,,
"3Aristostomias grimaldii Zugmayer, 1913",2,5.0,2.4,74 (65–86),3.1 (1.8–5.0),FNR
"Aristostomias tittmanni Welsh, 1923",2,3.0,3.7,43 (32–76),2.5 (2.0–3.5),FNR-PB
"Astronesthes atlantica Parin & Borodulina, 1996",1-2,3.0,3.7,38 (31–51),1.2 (0.62–2.0),FNR
"Astronesthes gemmifer Goode & Bean, 1896",2,1.0,1.2,146,21.6,FNR
"3Astronesthes gudrunae Parin & Borodulina, 2002",2,1.0,1.2,111,11.1,FNR
"Astronesthes richardsoni (Poey, 1852)",2,7.0,6.1,71 (22–132),5.7 (1.1–13.5),FNR
"Astronesthes similus Parr, 1927",1-2,10.0,3.7,43 (36–75),2.9 (0.5–4.9),FNR-PB
"3Bathophilus nigerrimus Giglioli, 1882",2,2.0,2.4,89 (84–95),6.1 (5.1–7.2),FNR
"Bathophilus pawneei Parr, 1927",2,4.0,3.7,66 (30–124),3.2 (1.2–8.7),FNR
"3Borostomias elucens (Brauer, 1906)",2,55.0,8.5,168 (46–299),48.2 (0.5–218.9),FNR
"Chauliodus sloani Bloch & Schneider, 1801",1-2,348.0,22.0,162 (55–270),9.6 (0.3–53.9),FNR-PB-PE-RN
"3Eustomias bibulbosus Parr, 1927",2,1.0,1.2,87,0.6,PE
"3Eustomias braueri Zugmayer, 1911",2,2.0,1.2,69 (56–82),1.6(0.6–2.6),PE
"Eustomias brevibarbatus Parr, 1927",2,6.0,7.3,97 (85–128),1.8 (0.5–4.6),FNR
"Eustomias enbarbatus Welsh, 1923",2,2.0,2.4,54 (54–55),2.1 (2.1–2.1),FNR-PE
"3Eustomias minimus Clarke, 1999",2,1.0,1.2,69,3.2,FNR
"3Eustomias schmidti Regan & Trewavas, 1930",2,1.0,1.2,68,4.9,FNR
3Eustomias sp. 1**,2,1.0,1.2,168,8.2,FNR
3Eustomias sp. 2**,2,1.0,1.2,120,2.3,FNR
3Eustomias sp. 3**,2,4.0,2.4,68 (49–78),2.4 (1.6–2.8),FNR
3Eustomias sp. 4**,2,1.0,1.2,122,2.1,FNR
3Eustomias sp. 5**,2,3.0,1.2,54 (28–98),0.5 (0.4–0.6),FNR
"3Grammatostomias dentatus Goode & Bean, 1896",1,1.0,1.2,114,3.5,PE
"3Grammatostomias ovatus Prokofiev, 2014",1,1.0,1.2,67,1.5,PE
"Heterophotus ophistoma Regan & Trewavas, 1929",2,8.0,6.1,205 (96–253),57.9 (0.7–107.6),FNR
"3Leptostomias gladiator (Zugmayer, 1911)",2,1.0,1.2,83,0.9,FNR
"Malacosteus niger Ayres, 1848",2,46.0,9.8,107 (633–181),8.3 (1.4–34.4),FNR
"3Melanostomias bartonbeanis Parr, 1927",1-2,2.0,2.4,117 (50–185),10.9 (2.3–19.6),FNR-PB
"3Melanostomias biseriatus Regan & Trewavas, 1930",2,2.0,2.4,103 (29–177),11.1 (4.9–17.2),FNR-PE
"Melanostomias tentaculatus (Regan & Trewavas, 1930)",1-2,5.0,4.9,162 (48–201),15.7 (2.6–20.7),FNR-PB-PE
3Melanostomias sp.**,2,1.0,1.2,180,11.4,FNR
"3Pachystomias microdon (Günther, 1878)",2,9.0,8.5,137 (39–181),23.2 (2.3–42.5),FNR
"3Photonectes achirus Regan & Trewavas, 1930",2,3.0,2.4,56 (33–79),3.4 (1.2–3.4),PB-RN
"Photostomias atrox (Alcock, 1890)",2,1.0,1.2,118,1.0,PE
"3Photostomias goodyeari Kenaley & Hartel, 2005",2,1.0,1.2,64,0.7,FNR
"Stomias danae Ege, 1933",2,1.0,1.2,95,1.8,PB
"Stomias longibarbatus (Brauer, 1902)",2,5.0,6.1,281 (173–390),9.7 (1.4–25.7),FNR
"Thysanactis dentex Regan & Trewavas, 1930",1-2,41.0,19.5,90 (43–150),3.1 (0.5–10.6),FNR-RN
ATELEOPODIFORMES,,,,,,
Ateleopodidae,,,,,,
Ateleopodidae sp.*,2,1.0,1.2,122,0.6,FNR
AULOPIFORMES,,,,,,
Anotopteridae,,,,,,
"Anotopterus pharao Zugmayer, 1911",1,1.0,1.2,27,1.0,RN
Giganturidae,,,,,,
"1Gigantura chuni Brauer, 1901",2,3.0,2.4,111 (42–181),19.4 (4.9–33.9),FNR
"Gigantura indica Brauer, 1901",1-2,31.0,22.0,102 (16–190),3.9 (0.6–11.7),FNR-PB-PE
Chlorophthalmidae,,,,,,
"Parasudis truculenta (Goode & Bean, 1896)",1,2.0,1.2,31 (30–33),3.8 (3.2–4.5),FNR
Notosudidae,,,,,,
"1Ahliesaurus berryi Bertelsen, Krefft & Marshall, 1976",2,1.0,1.2,198,17.8,FNR
"Scopelosaurus smithii Bean, 1925",2,1.0,1.2,177,22.4,PE
Scopelarchidae,,,,,,
"1Benthalbella infans Zugmayer, 1911",1,1.0,1.2,57,4.0,RN
"1Rosenblattichthys hubbsi Johnson, 1974",2,4.0,1.2,79 (40–100),4.5 (0.5–6.9),PB
"1Scopelarchoides danae Johnson, 1974",2,1.0,1.2,80,2.3,FNR
"Scopelarchus analis (Brauer, 1902)",1,2.0,2.4,103 (91–115),7.9 (4.7–11.2),FNR
"Scopelarchus guentheri Alcock, 1896",2,8.0,6.0,79 (38–113),4.9 (0.5–12.2),FNR-PB-RN
Evermannellidae,,,,,,
"Odontostomops normalops (Parr, 1928)",2,4.0,3.7,134 (121–166),11.9 (9.9–17.3),FNR
Paralepididae,,,,,,
"Lestidiops affinis (Ege, 1930)",2,2.0,2.4,80 (58–102),1.6 (1.6–1.7),FNR
"Lestrolepis intermedia (Poey, 1868)",2,1.0,1.2,–,5.7,FNR
"Stemonosudis gracilis (Ege, 1933)",2,1.0,1.2,217,3.9,FNR
"Stemonosudis intermedia (Ege, 1933)",1-2,4.0,3.7,130 (71–205),1.1 (0.5–2.26),FNR-PB
"Stemonosudis siliquiventer Post, 1970",2,1.0,1.2,102,,FNR
Alepisauridae,,,,,,
"Omosudis lowii Günther, 1887",2,10.0,7.3,82 (39–212),7.2 (0.5–38.6),FNR
MYCTOPHIFORMES,,,,,,
Neoscopelidae,,,,,,
"1Scopelengys tristis Alcock, 1890",2,2.0,2.4,121 (98–145),12.5 (5.34–19.71),FNR
Myctophidae,,,,,,
"Benthosema suborbitale (Gilbert, 1913)",1-2,20.0,8.5,24 (13–31),1.7 (0.21–3.3),FNR-PB-RN
