OBJECTID,Name,X,Y,locality,coordinateUncertaintyInMeters
1,PE,-8.391812,-34.480167,Pernambuco,100000
2,PB,-7.02007,-34.414249,Paraı́ba,80000
3,RN,-5.184906,-34.633975,Rio Grande do Norte,165000
4,FNR,-3.936455,-32.678409,Fernando de Noronha Ridge,165000
