Scientific name
Chiloscyllium griseum
Scoliodon laticaudus
Glyphis glyphis
Rhizoprionodon acutus
Carcharhinus melanopterus
Sphyrna lewini
Eusphyra blochii
Mustelus mosis
Narcine brunnea
Narcine timlei
Narke dipterygia
Rhynchobatus djiddensis
Glaucostegus granulatus
Brevitrygon imbricata
Brevitrygon walga
Himantura undulata
Himantura uarnak
Pastinachus sephen
Pateobatis uarnacoides
Maculabatis gerrardi
Pastinachus sephen
Telatrygon zugei
Gymnura poecilura
Elops machnata
Megalops cyprinoides
Gymnothorax punctatus
Gymnothorax tile
Gymnothorax sp.
Strophidon sathete
Congresox talabonoides
Congresox talabonoides
Muraenesox cinereus
Pisodonophis boro
Moringua raitaborua
Aquilla bengalensis
Anodontostoma chacunda
Gudusia chapra
Hilsa kelee
Nematalosa nasus
Escualosa thoracata
Sardinella gibbosa
Sardinella fimbriata
Sardinella longiceps
Sardinella melanura
Tenualosa ilisha
Tenualosa toli
Coilia dussumieri
Coilia neglecta
Coilia ramcarati
Setipinna phasa
Setipinna taty
Stolephorus indicus
Setipinna tenuifilis
Stolephorus tri
Thryssa dussumieri
Thryssa hamiltonii
Thryssa purava
Chirocentrus nudus
Chirocentrus dorab
Dussumieria acuta
Raconda russeliana
Pellona ditchela
Ilisha melastoma
Ilisha megaloptera
Ilisha filigera
Opisthopterus tardoore
Lepidocephalichthys guntea
Puntius chola
Puntius terio
Rasbora rasbora
Plotosus canius
Plotosus lineatus
Clupisoma garua
Ailia coila
Silonia silondia
Pangasius pangasius
Mystus tengara
Mystus bleekeri
Mystus gulio
Clarias batrachus
Bagarius bagarius
Arius gagora
Arius maculatus
Arius venosus
Arius arius
Plicofollis dussumieri
Plicofollis platystomus
Sciades sona
Nemapteryx nenga
Nemapteryx caelata
Netuma thalassina
Netuma bilineata
Heteropneustes fossilis
Harpadon nehereus
Saurida tumbil
Bregmaceros mcclellandi
Antennarius hispidus
Strongylura leiura
Strongylura strongylura
Tylosurus crocodilus
Xenentodon cancila
Hyporhamphus limbatus
Rhynchorhamphus georgii
Zenarchopterus buffonis
Zenarchopterus ectuntio
Exocoetus volitans
Fistularia petimba
Hippocampus kuda
Monopterus cuchia
Macrognathus aculeatus
Macrognathus pancalus
Pterois russelii
Pterois miles
Minous monodactylus
Minous pictus
Grammoplites scaber
Cociella punctata
Kumococius rodericensis
Cociella crocodilus
Rogadius asper
Rogadius pristiger
Platycephalus indicus
Epinephelus erythrurus
Epinephelus coioides
Epinephelus fasciatus
Epinephelus tauvina
Cephalopholis miniata
Epinephelus lanceolatus
Terapon jarbua
Terapon theraps
Priacanthus hamrur
Priacanthus tayenus
Ostorhinchus fasciatus
Apogon septemstriatus
Sillaginopsis panijus
Sillago sihama
Channa orientalis
Channa striata
Channa punctata
Rachycentron canadum
Remora remora
Alepes kleinii
Alepes djedaba
Alepes melanoptera
Alectis indica
Alectis ciliaris
Atropus atropos
Selar boops
Selar crumenophthalmus
Carangoides armatus
Caranx sexfasciatus
Carangoides hedlandensis
Carangoides malabaricus
Caranx ignobilis
Decapterus kurroides
Megalaspis cordyla
Parastromateus niger
Scomberoides commersonnianus
Scomberoides tol
Seriolina nigrofasciata
Ulua mentalis
Mene maculata
Photopectoralis bindus
Leiognathus brevirostris
Leiognathus fasciatus
Leiognathus equulus
Secutor ruconius
Secutor insidiator
Gazza minuta
Lactarius lactarius
Lutjanus johnii
Lutjanus malabaricus
Pinjalo pinjalo
Lutjanus sanguineus
Astroscopus guttatus
Uranoscopus guttatus
Ichthyscopus inermis
Ichthyscopus lebeck
Datnioides polota
Gerres filamentosus
Gerres sp.
Pomadasys argenteus
Pomadasys maculatus
Argyrops spinifer
Acanthopagrus latus
Acanthopagrus berda
Nemipterus nematophorus
Nemipterus japonicus
Dendrophysa russelii
Chrysochir aureus
Atrobucca nibe
Johnius borneensis
Pennahia argentata
Johnius plagiostoma
Johnius coitor
Johnius macropterus
Johnius dussumieri
Johnius gangeticus
Kathala axillaris
Macrospinosa cuja
Otolithes parna
Otolithes cuvieri
Otolithes ruber
Otolithoides pama
Otolithoides biauritus
Panna microdon
Pennahia anea
Pseudotolithus elongatus
Protonibea diacanthus
Pterotolithus maculatus
Eleutheronema tetradactylum
Leptomelanosoma indicum
Polydactylus sextarius
Polydactylus sexfilis
Polynemus paradiseus
Parupeneus forsskali
Parupeneus heptacanthus
Upeneus moluccensis
Upeneus sulphureus
Upeneus taeniopterus
Toxotes chatareus
Toxotes jaculatrix
Drepane punctata
Ephippus orbis
Drepane longimana
Osteomugil cunnesius
Mugil cephalus
Planiliza subviridis
Rhinomugil corsula
Valamugil speigleri
Sicamugil cascasia
Liza parsia
Chelon planiceps
Chelon parsia
Uranoscopus guttatus
Ichthyscopus lebeck
Uranoscopus cognatus
Butis butis
Butis humeralis
Butis melanostigma
Eleotris fusca
Boleophthalmus boddarti
Glossogobius giuris
Apocryptes bato
Taenioides cirratus
Brachygobius nunus
Zappa confluentus
Pogonogoibius planiformes
Periophthalmodon schlosseri
Periophthalmus barbarus
Odontamblyopus rubicundus
Pseudapocryptes elongatus
Scartelaos histophorus
Stigmatogobius sadanundio
Taenioides buchanani
Trypauchen vagina
Callionymus sagitta
Ephippus orbis
Chanda nama
Parambassis baculis
Parambassis ranga
Scatophagus argus
Siganus javus
Siganus canaliculatus
Sphyraena forsteri
Sphyraena barracuda
Sphyraena chrysotaenia
Sphyraena jello
Eupleurogrammus muticus
Trichiurus lepturus
Lepturacanthus savala
Euthynnus affinis
Rastrelliger faughni
Rastrelliger kanagurta
Rastrelliger brachysoma
Sarda orientalis
Auxis rochei
Scomberomorus lineolatus
Scomberomorus commerson
Scomberomorus guttatus
Pampus argenteus
Pampus chinensis
Lethrinus ornatus
Lobotes surinamensis
Kurtus indicus
Lates calcarifer
Anabas testudineus
Pseudorhombus javanicus
Synaptura commersonnii
Zebrias altipinnis
Brachirus orientalis
Brachirus pan
Pseudorhombus malayanus
Pseudorhombus arsius
