0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Salarias fasciatus,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
Bothidae - Flounders,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bothus mancus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesionidae - Fusiliers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesio caerulaurea,,11,1.0,,11,,,1111,1.0,,1,,,111,1.0,,1,1.0,,111.0,1.0,,,,1.0,,
Caesio cuning,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesio erythrogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesio lunaris,,11,,,1111,,,11111,1.0,,11,,,111,1.0,,,,,111.0,1.0,,,,1.0,,
Caesio teres,,11,,,111,,,111,1.0,,11,1.0,,111,,,1,,,1.0,,,,,1.0,,
Caesio sp.,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
Pterocaesio lativittata,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pterocaesio marri,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Pterocaesio pisang,,1,,,111,,,,,,1,,,111,1.0,,,,,1.0,,,,,1.0,,
Pterocaesio randalli,,111,1.0,,11111,,,11111,1.0,,1,,,1111,1.0,,111,,,,,,,,1.0,,
Pterocaesio tesselata,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Pterocaesio tile,,11,1.0,,1111,1.0,,1111,1.0,,1,,,1111,1.0,,111,1.0,,11.0,1.0,,1.0,,1.0,,
Pterocaesio trilineata,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Pterocaesio sp.,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Carangidae - Jacks,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alectes indicus,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Carangoides bajad,,11,1.0,,111,1.0,,111,,,,1.0,,,,,1,,,,1.0,,,,1.0,,
Carangoides ferdau,,1,1.0,,11,1.0,,11,,,1,,,1,,,1,,,,,,,,,,
Carangoides gymnostethus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carangoides oblongus,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
Carangoides orthogrammus,,,1.0,,1,,,1,,,1,1.0,,,1.0,,,,,,,,,,1.0,,
Carangoides plagiotaenia,,,1.0,,1,,,11,,,1,,,,1.0,,,,,,,,,,1.0,,
Caranx ignobilis,,11,1.0,,111,1.0,,11,1.0,,111,1.0,,1,,,111,1.0,,,,,,,1.0,,
Caranx lugubris,,,1.0,,1,,,1,,,11,,,1,,,,,,,,,,,,,
Caranx melampygus,,1111,1.0,,11111,1.0,,11111,1.0,,11111,1.0,,11111,1.0,,1111,1.0,,11.0,1.0,,1.0,,1.0,,
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,20002004200820122014,2018.0,,2004200820122014.0,2018.0,,2000.0,,2018.0,,
Caranx sexfasciatus,,111,1.0,,1,1.0,,,,,1111,1.0,,11,1.0,,11,1.0,,,,,,,1.0,,
Caranx sp.,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Elagatis bipinnulatus,,1,,,11,,,11,,,1,,,11,,,1111,,,1.0,,,,,,,
Gnathanodon speciosus,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Scomberoides lysan,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Trachinotus blochii,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Chaetodontidae - Butterflyfishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetodon adiergastos,,111,1.0,,1111,,,1111,1.0,,1111,1.0,,1111,,,111,1.0,,11.0,1.0,,1.0,,1.0,,
Chaetodon auriga,,11111,1.0,,1111,,,11111,1.0,,11111,1.0,,11111,1.0,,1111,1.0,,1.0,1.0,,1.0,,1.0,,
Chaetodon baronessa,,1111,1.0,,1111,1.0,,1111,1.0,,1111,1.0,,11111,1.0,,111,1.0,,1111.0,1.0,,1.0,,1.0,,
Chaetodon bennetti,,111,,,111,1.0,,11111,1.0,,1111,,,1111,1.0,,111,,,11.0,1.0,,1.0,,1.0,,
Chaetodon citrinellus,,111,1.0,,11,,,1,1.0,,11,,,,1.0,,11,,,11.0,1.0,,1.0,,1.0,,
Chaetodon ephippium,,11111,,,11111,1.0,,1111,1.0,,1111,1.0,,11111,1.0,,11111,1.0,,111.0,,,1.0,,1.0,,
Chaetodon kleinii,,11111,1.0,,11111,1.0,,11111,1.0,,11111,,,11111,1.0,,11111,1.0,,1111.0,1.0,,1.0,,1.0,,
Chaetodon lineolatus,,11,,,1111,,,111,1.0,,1111,1.0,,1111,1.0,,1111,1.0,,1.0,1.0,,1.0,,1.0,,
Chaetodon lunula,,1111,,,11,,,111,1.0,,111,1.0,,1111,,,11111,,,11.0,1.0,,1.0,,1.0,,
Chaetodon lunulatus,,11111,1.0,,11111,1.0,,1111,1.0,,11111,1.0,,1111,1.0,,1111,1.0,,1111.0,1.0,,1.0,,1.0,,
Chaetodon melannotus,,11111,1.0,,111,,,1111,1.0,,11111,1.0,,11111,1.0,,1111,1.0,,111.0,1.0,,1.0,,1.0,,
Chaetodon mertensii,,,,,,,,1,,,,,,,,,,,,,1.0,,,,1.0,,
Chaetodon meyeri,,1,,,11,,,,,,,,,,,,,,,,,,,,,,
Chaetodon ocellicaudus,,1111,1.0,,11111,,,1111,1.0,,1111,1.0,,11111,1.0,,111,1.0,,111.0,1.0,,1.0,,1.0,,
Chaetodon octofasciatus,,1,,,1,1.0,,,1.0,,1,,,,,,,,,,1.0,,,,1.0,,
Chaetodon ornatissimus,,1111,1.0,,11111,1.0,,11111,1.0,,11111,1.0,,11111,1.0,,11111,1.0,,111.0,1.0,,1.0,,1.0,,
Chaetodon oxycephalus,,111,,,111,1.0,,1111,1.0,,1111,,,11,,,11,1.0,,1.0,,,1.0,,1.0,,
Chaetodon plebeius,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,
Chaetodon punctatofasciatus,,11111,1.0,,11111,1.0,,11111,1.0,,1111,1.0,,11111,,,11111,,,111.0,1.0,,1.0,,1.0,,
Chaetodon rafflesi,,1111,1.0,,111,1.0,,1111,1.0,,111,1.0,,11111,1.0,,111,1.0,,1.0,1.0,,1.0,,1.0,,
Chaetodon reticulatus,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
Chaetodon selene,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Chaetodon semeion,,,,,11,1.0,,,,,,1.0,,1,1.0,,,,,,1.0,,,,1.0,,
Chaetodon speculum,,1111,1.0,,1111,1.0,,1111,1.0,,111,1.0,,111,1.0,,1111,1.0,,111.0,1.0,,1.0,,1.0,,
Chaetodon trifascialis,,11111,1.0,,11111,1.0,,1111,1.0,,1111,,,1111,1.0,,111,,,11.0,1.0,,1.0,,1.0,,
Chaetodon ulietensis,,11111,1.0,,11111,1.0,,11111,1.0,,1111,1.0,,11111,1.0,,111,1.0,,11.0,1.0,,1.0,,1.0,,
