Species,Unnamed: 1
CLASS|: CHONDRICHTHYES,
Sub-Class: ELASMOBRANCHII,
Order1: ORECTOLOBIFORMES,
Family1: Hemiscylidae,
"Chiloscyllium griseum Muller& Henle,1838",
Family2: Stegostomatidae,
"Stegostoma fasciatum (Herman,1783)",
Order2: CARCHARHINIFORMES,
Family3: Charcharhinidae,
"Carcharhinus hemiodon (Muller & Henle,1839) Carcharhinus leucas (Muller & Henle,1839) Carcharhinus limbatus (Muller & Henle,1839) Carcharhinus melanopterus (Quoy& Gaimard,1824) Carcharhinus sorrah (Muller & Henle,1839) Galeocerdo cuvier (Péron& Lesueur 1822) Glyphis gangeticus (Muller & Henle,1839)* Lamiopsis temmincki (Muller & Henle,1839) Rhizoprionodon acutus (Ruppell,1837) Scoliodon laticaudus (Muller & Henle,1838)",
Family4: Sphyrnidae,
"Eusphyra blochii (Cuvier,1816)",
Order3: PRISTIFORMES,
Family5:Pristidae,
"Anoxypristis cuspidata(Latham,1794) Pristis clavata Garman,1906 Pristis pristis (Linnaeus,1758)",
Order 4: TORPEDINIFORMES,
Family6: Narcinidae,
"Narcine brunnea Annandale,1909",
Order5: RAJIFORMES,
Family7: Rhinobatidae,
"Glaucostegus granulatus (Cuvier,1829) Glaucostegus obtusus (Muller & Henle,1841)",
Family15: Moringuidae,
"Moringua guthriana (McClelland,1844)* Moringua raitaborua (Hamilton,1822)*",
Family16: Muraenidae,
"Gymnothoraxtile (Hamilton,1822)* Strophidon sathete (Hamilton,1822)*",
Family17: Ophichthidae,
"Lamnostoma orientalis (McClelland,1844) Ophichthus apicalis (Anonymous [Bennett],1830) Pisodonophis boro (Hamilton,1822)* Pisodonophis hijala (Hamilton,1822)*",
Family18: Ophichthidae,
"Uroconger lepturus (Richardson,1845)",
Family19: Muraenesocidae,
"Congresox talabon (Cuvier,1829) Congresox talabonoides (Bleeker,1853) Muraenesox bagio (Hamilton,1822)* Muraenesox cinereus (Forsskal,1775)",
Order10: CLUPEIFORMES,
Family 20: Clupeidae,
"Anodontostoma chacunda (Hamilton,1822)* Anodontostoma thailandiae Wongratana,1983 Corica soborna Hamilton,1822 Escualosa thoracata (Valenciennes,1847) Gonialosa manmina (Hamilton,1822) Gudusia chapra (Hamilton,1822) Hilsa kelee (Cuvier,1829) Nematalosa galatheae Nelson& Rothman,1973 Nematalosa nasus (Bloch,1795) Tenualosa ilisha (Hamilton,1822)* Tenualosatoli (Valenciennes,1847)",
Family 21: Pristigasteridae,
"llisha elongata (Anonymous [Bennett],1830) /lisha kampeni (Weber& de Beaufort,1913)",
"Glaucostegus typus (Anonymous [Bennett],1830) Rhina ancylostoma Bloch& Schneider,1801 | Rhinobatos annandalei Norman,1926* Rhinobatos lionotus Norman,1926* Rhynchobatus laevis (Bloch& Schneider 1801)",
Order6: MYLIOBATIFORMES,
Family8: Dasyatidae,
"Dasyatis zugei(Muller & Henle,1841) Himantura fava (Annandale,1909) Himantura gerrardi (Gray,1851) Himantura imbricata (Bloch& Schneider,1801) Himantura marginata(Blyth,1860)* | Himantura uarnacoides (Bleeker,1852) Himantura uarnak (Forsskal,1775) | Himantura walga (Muller& Henle,1841) Pastinachus sephen (Forsskal,1775)",
Family9: Gymnuridae,
"Gymnura japonica (Schlegel,1850) |Gymnura poecilura (Shaw,1804)",
Family10: Myliobatidae,
| Aetobatus ocellatus (Kuhl1823),
CLASSII: ACTINOPTERYGII,
Order7: OSTEOGLOSSIFORMES,
Family11: Notopteridae,
"|Notopterus notopterus (Pallas,1769)",
Order8: ELOPIFORMES,
Family12: Elopidae,
"|Elops machnata Forsskal,1775)",
Family13: Megalopidae,
"Megalops cyprinoides (Broussonet,1782)",
Order9: ANGUILLIFORMES,
Family14: Anguillidae,
"Anguilla bengalensis (Gray,1834) Anguillabicolor (McClelland,1844) Anguilla nebulosa McClelland1844*",
"/lisha megaloptera (Swainson,1839) |/lisha melastoma (Bloch& Schneider,1801) IlishasirishaiSeshagiriRao,1975 |Opisthopterus tardoore (Cuvier,1829) |Pellona ditchela Valenciennes,1847 | Raconda russeliana Gray,1831",
Family 22: Engraulidae,
"Coilia dussumieri Valenciennes,1848 |Coilia neglecta Whitehead,1967 |Coilia ramcarati (Hamilton,1822)* |Coilia reynaldi Valenciennes,1848 |Setipinna brevifilis (Valenciennes,1848) |Setipinna phasa (Hamilton,1822)* Setipinnataty (Valenciennes,1848) Setipinnatenuifilis (Valenciennes,1848) |Stolephorus baganensis Hardenberg,1933 |Stolephorus commersonnii Lacepede,1803 Stolephorus indicus (vanHasselt,1823) Thryssa dussumieri (Valenciennes,1848) Thryssa gautamiensis (BabuRao,1971) Thryssa hamiltonii (Gray,1835) Thryssa malabarica (Bloch,1795) |Thryssa purava (Hamilton,1822)* Thryssa stenosoma (Wongratana,1983)",
Family 23: Chirocentridae,
"|Chirocentrus dorab (Forsskal,1775)",
Order11: GONORYNCHIFORMES,
Family 24: Chanidae,
"|Chanos chanos (Forsskal,1775)",
Order12: CYPRINIFORMES,
Family 25: Cyprinidae,
"Amblypharyngodon mola (Hamilton,1822) Danio rerio (Hamilton,1822) Esomus danrica (Hamilton,1822) Laubuka laubuca (Hamilton,1822) Pethia conchonius (Hamilton,1822) Pethia gelius (Hamilton,1822) Pethia phutunio (Hamilton,1822) Pethiaticto (Hamilton,1822) Puntius chola (Hamilton,1822) Puntius sophore (Hamilton,1822) Puntius terio (Hamilton,1822) Rasbora daniconius (Hamilton,1822) Salmostoma bacaila (Hamilton,1822) Systomus sarana (Hamilton,1822)",
Family 26: Cobitidae,
"Lepidocephalichthys guntea (Hamilton,1822)",
ORDER13: SILURIFORMES,
Family 27: Horabagridae,
Pachypterus atherinoides (Bloch1794)(Earlier placedin Schilbeidae),
Family 28: Bagridae,
"Mystus cavasius (Hamilton,1822) Mystus gulio (Hamilton,1822)* Mystus tengara (Hamilton,1822) Mystus vittatus (Bloch,1794) Sperataaor (Hamilton,1822) Sperata seenghala (Sykes,1839)",
Family 29: Siluridae,
Ompok pabda (Hamilton) Ompok bimaculatus (Bloch) Wallago attu (Schneider),
Family 30: Schilbeidae,
"Ailiacoila (Hamilton,1822) Silonia silondia (Hamilton,1822)*",
Family31: Pangasiidae,
"Pangasius pangasius (Hamilton,1822)",
Family32: Sisoridae,
Bagarius bagarius (Hamilton),
Family33: Clariidae,
"Clariasmagur(Hamilton,1822)",
Family34: Hetropsteunidae,
"Heteropneustes fossilis (Bloch,1794)",
Family35: Ariidae,
"Arius arius (Hamilton,1822)* Arius gagora (Hamilton,1822)* Arius jellaDay,1877 Batrachocephalus mino (Hamilton,1822)* Cephalocassis jatia (Hamilton,1822)* Hemiarius sona(Hamilton,1822)* Hexanematichthyssagor (Hamilton,1822)* Nemapteryx nenga (Hamilton,1822)* Netuma thalassina (Ruppell,1837) Osteogeneiosus militaris (Linnaeus,1758) Plicofollis platystomus (Day,1877)",
Family36: Plotosidae,
"Plotosus canius Hamilton,1822* Plotosus lineatus (Thunberg,1787)",
Order14: AULOPIFORMES,
Family37: Synodontidae,
"Harpadon nehereus (Hamilton,1822)*",
Order15: GADIFORMES,
Family38: Bregmacerotidae,
"Bregmaceros mcclellandi Thompson,1840*",
Order16: BATRACHOIDIFORMES,
Family39: Batrachoididae,
"Allenbatrachus grunniens (Linnaeus,1758)",
Order17: MUGILIFORMES,
Family 40: Mugilidae,
"Ellochelon vaigiensis (Quoy& Gaimard,1824)",
"Liza macrolepis (Smith,1849) Liza melinoptera (Valenciennes,1836) Liza parsia (Hamilton,1822) Liza tade (Bloch& Schneider,1801) Liza subviridis (Valenciennes,1836) Mugil cephalus Linnaeus,1758 Rhinomugil corsula (Hamilton,1822)* Valamugil buchanani (Bleeker,1853)* Valamugil cunnesius (Valenciennes,1836) Valamugil seheli (Forsskal,1775) Valamugil speigleri (Bleeker,1858)",
Order18: BELONIFORMES,
Family 41: Adrianichthyidae,
"Oryzias dancena (Hamilton,1822)*",
Family 42: Hemiramphidae,
"Hemiramphus far (Forsskal,1775) Hyporhamphus limbatus (Valenciennes,1847) Rhynchorhamphus georgii (Valenciennes,1847)",
Family 43: Zenarchopteridae,
"Zenarchopterus buffonis (Valenciennes,1847) Zenarchopterus dispar (Valenciennes,1847) Zenarchopterus ectuntio (Hamilton,1822) Zenarchopterus striga(Blyth,1858)",
Family 44: Belonidae,
"Strongylura leiura (Bleeker,1850) Strongylura strongylura (vanHasselt,1823) Tylosurus crocodilus crocodilus (Peron& Lesueur, 1821) Xenentodon cancila (Hamilton,1822)",
Order19: CYPRINODONTIFORMES,
Family 45: Aplocheilidae,
"Aplocheilus panchax (Hamilton,1822)",
Order 20: SYNGNATHIFORMES,
Family 46: Syngnathidae,
"Hippichthys spicifer(Ruppell,1838)",
"Atule mate (Cuvier,1833)",
"Carangoides chrysophrys (Cuvier,1833) Carangoides malabaricus (Bloch& Schneider,1801)) Caranx ignobilis (Forsskal,1775) Caranx sexfasciatus Quoy & Gaimard,1825 Megalaspis cordyla (Linnaeus,1758) Parastromateus niger (Bloch,1795) Scomberoides commersonnianus Lacepede,1801 Scomberoides lysan (Forsskal,1775) Scomberoidestala (Cuvier,1832) Trachinotus blochii (Lacepede,1801)",
Family56: Leiognathidae,
"Aurigequula fasciata (Lacepede,1803) Eubleekeria splendens (Cuvier,1829) Gazza minuta (Bloch,1795) Karalla dussumieri (Valenciennes,1835) Leiognathus equula (Forsskal,1775) Nuchequula blochii (Valenciennes,1835) Nuchequula gerreoides (Bleeker,1851) Photopectoralis bindus (Valenciennes,1835) ‘Secutor’ insidiator (Bloch,1787) ‘Secutor’ ruconius (Hamilton,1822)*",
Family57: Lutjanidae,
"Lutjanus argentimaculatus (Forsskal,1775) Lutjanus fulvus(Forster,1801) Lutjanus johnii (Bloch,1792) Lutjanus indicus Allen, White& Erdmann 2013",
Family58: Datnioididae,
"Datnioides polota (Hamilton,1822)*",
Family59: Gerreidae,
"Gerres filamentosus Cuvier,1829 Gerres oyena (Forsskal,1775) Gerres phaiyalwatsuki& Heemstra, 2001 Gerres setifer (Hamilton,1822)*",
"Ichthyocampus carce (Hamilton,1822)* Microphis cuncalus (Hamilton,1822)*",
Order 21: SYNBRANCHIFORMES,
Family 47: Synbranchidae,
"Monopterus cuchia (Hamilton,1822)* Ophisternon bengalense McClelland,1844*",
Family 48: Mastacembelidae,
"Macrognathus aral (Bloch& Schneider,1801) Macrognathus pancalus Hamilton,1822 Mastacembelus armatus (Lacepede,1800)",
Order 22: SCORPAENIFORMES,
Family 49: Platycephalidae,
"Grammoplites scaber (Linnaeus,1758) Platycephalus indicus (Linnaeus,1758)",
Order 23: PERCIFORMES,
Family 50: Ambassidae,
"Ambassis kopsii Bleeker,1858 Ambassis nalua (Hamilton,1822) Chanda nama Hamilton,1822 Parambassis baculis (Hamilton,1822) Parambassis ranga (Hamilton,1822)",
Family 51:Latidae,
"Lates calcarifer(Bloch,1790)",
Family 52: Serranidae,
"Epinephelus coioides (Hamilton,1822)* Epinephelus lanceolatus (Bloch,1790) Epinephelus malabaricus (Bloch& Schneider,1801)",
Family 53: Sillaginidae,
"Sillaginopsis domina (Cuvier 1816) Sillago sihama (Forsskal,1775)",
Family 54: Coryphaenidae,
"Coryphaena hippurus Linnaeus,1758",
Family 55: Carangidae,
"Alectis indicus (Ruppell,1830)",
Family60: Haemulidae,
"Plectorhinchus gibbosus (Lacepéde,1802) Pomadasys argenteus (Forsskal,1775) Pomadasys kaakan (Cuvier,1830) Pomadasys maculatus (Bloch,1793)",
Family61: Sparidae,
"Acanthopagrus berda (Forsskal,1775) Acanthopagrus longispinnis (Valenciennes1830)* Rhabdosargus sarba (Forsskal,1775) Sparidentex datnia (Hamilton,1822)*",
Family62: Polynemidae,
"Eleutheronema tetradactylum (Shaw,1804)* Leptomelanosoma indicum (Shaw,1804) Polydactylus plebeius (Broussonet,1782) Polydactylus sextarius (Bloch& Schneider,1801) Polynemus paradiseus Linnaeus,1758*",
Family63: Sciaenidae,
"Bahaba chaptis (Hamilton,1822)* Chrysochir aureus (Richardson,1846) Daysciaena albida (Cuvier,1830) Dendrophysa russelii (Cuvier,1829) Johnieops borneensis (Bleeker,1851) Johnieops dussumieri (Cuvier,1830) Johnius belangerii (Cuvier,1830) Johnius carutta Bloch,1793* Johnius coitor (Hamilton,1822) Johnius gangeticus Talwar,1995 Macrospinosacuja (Hamilton,1822)* Nibea coiborHamilton,1822)* Nibea soldado (Lacepéde,1802) Ofolithoides biauritus (Cantor,1849) Ofolithoides pama (Hamilton,1822)* Panna microdon (Bleeker,1849) Protonibea diacanthus (Lacepéde,1802)",
"Pterotolithus maculatus (Cuvier,1830)",
Family 64: Toxotidae,
"Toxotes chatareus (Hamilton,1822)* Toxotes jaculatrix (Pallas,1767)",
Family 65: Drepanidae,
"Drepane longimana (Bloch& Schneider,1801) Drepane punctata (Linnaeus,1758)",
Family 66: Badidae,
"Badis badis (Hamilton,1822)",
Family 67: Nandidae,
"Nandus nandus (Hamilton,1822)",
Family 68: Terapontidae,
"Terapon jarbua (Forsskal,1775) Terapon puta Cuvier,1829 Terapon theraps Cuvier,1829",
Family 69: Callionymidae,
"Callionymus fluviatilis Day,1876* Callionymus megastomus Fricke1982* Callionymus sagittaPallas,1770* Eleutherochir opercularis (Valenciennes,1837)",
Family 70:Eleotridae,
