"Chaetodon melannotus Bloch & Schneider, 1801",Unnamed: 1,+,+.1
"Chaetodon mertensii CUYier, 1831",,+,+
"Chaetodon ornatissimus Cuyier, 1831",,+,+
"Chaetodon pelewensis Kner, 1868",,+,+
"Clwtodon plebei/Js Cuyier, 1831",,+,+
"ChQetodon rainfordi McCuUo<;h, 1923",,+,+
"Chaetodon speetllum cuyier, 1831",,+,+
"Chaetodon tricinetlJS Waite, \901",,+,+
"Chaetodon trijaselalts Quoy & Gaim;ud, 1824",,+,+
"Chaetodon trifaseiatus Park, 1797",,+,+
"Chaetodon ulietensis C\lyier, 1831",,+,+
"Chaetodon unimactllatus Bloc.h, 1787",,+,+
"Chaetodon vagabundl-ls Linnaeus, 1758",,+,+
"Forciplger ji(lv/ssiml-ls Jordan & McGregor, 1898",,+,+
"H(!niochus acumin(lfUS (Linnal;1us, 1758)",,+,+
"Heniochl-ls diphrel-ltes Jordan, 1903",,+,
"Heniochus monoceros Cuyier, 1831",,+,
PornaClintbidae,,,
"Centropyg(! bispinosus (Giintner, 1860)",,+,+
"Centr(Jpyge tiblCef/ (Cuyier, 1831)",,+,+
"Centr()pyge vroliki (Bleeker, 1853)",,+,+
"Ch(letodontop/us conspleil/atus (Waitl;1, 1900)",,+,+
"Chaetodontop/IJS mer(!dithi Xuiter, 1990",,+,+
"Genicanth/Js semieinctus (Waite, 1900)",,,+
"Pomacanthus imPerator (Blo<;h, 1787)",,+,+
"Pomaeanthus semicircu1atl-ls (Cuvier, 1831)",,+,+
pentllcerotid;te,,,
"Evistias aCtitirostris (Ternminck & Schlegel, 1844)",,+,+
Pornacentridal;1,,,
"Abudefdujbengalensis (Bloch, 1787)",,+,+
"Abudefdufsexfasciatus (LlIcep~de, 1802)",,+,+
"Abl-ldefdl-lfsordidl-ls (FOfSSUI, 1775)",,+,+
"Abudefdujvalgiensis (Quoy & Gaimard, 18Z5)",,+,+
"Abudefdl-lfwhitleyi Alll;1n & Robertson, 1974",,+,+
"Amphiprion /atezonatus Waite, 1900",,+,+
"Amph/priof/ meol-llloehi Whitley, 19;29",,,+
"Chromis atripee/oraUs Welandef & SChultz, 1951",,+,+
"Chr(Jmis dispilus Griffin, 1923",,,
"Chromisjiavomaculata Karnohara, 1960",,+,+
"Chrom/s fumea (Tanaka, 1917)",,+,
"Chromis hypsilepls (Gunther, 1867)",,+,+
"Chromis margaritlfer Fowler, 1946",,+,+
"Chromls f/itida (Whitll;1y, 1928)",,+,+
Chl!!l'l'!iLJianderb.ilti-(.EQ.wler..-l941),,I,I
"Chrysiptera g/auca (Cuyier, 1830)",,+,+
"Chrysiptera notialls (Allen, 1975)",,+,+
"Chrysiptera rapanl-li (Greenfield & Hensley, 1970)",,,
"Dascyllus wuanl-ls (Linnaeus, 1758)",,+,+
"Dascylll-ls retleulatus (Rioh;trdson, 1846)",,+,+
"D(lseyl/us trimaeulatl-lS (RuppeU, 1828)",,+,+
"Neoglyphidodof/ po/yaeanthus (OgHby, 1889)",,+,+
"panVa alboseap/Jlaris Allen & Hoese, 1975",,,+
"Parma kermadeeensis Allen, 1987",,,
