Hemiramphidae,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Euleptorhamphus viridis (van Hasselt, 1823)",,+,+
"Hyporhamphus australis (Steindachner, 1866)",,+,+
Belonidae,,,
"Ablennes hians (Valenciennes, 1846)",,+,
"Platybelone argalus (Le Sueur, 1821)",,+,+
Atherinidae,,,
"Atherion maccullochi Jordan & Hubbs, 1919",,,+
"Hypoatherina tropicalis (Whitley, 1948) .",,+,+
Isonidae,,,
"Iso rhothophilus (Ogilby, 1895)",,+,+
Monocentrididae,,,
"M onocentris japonicus (Houttuyn, 1782)",,+,
Trachichthyidae,,,
"Optivus elongatus (Gunther, 1859)",,+,+
Berycidae,,,
"Centroberyx affinis (Gunther, 1859)",,+,
Holocentridae,,,
"Myripristis berndti Jordan & Evermann, 1903",,+,+
"Myripristis kuntee Cuvier, 1831",,+,+
"Neoniphon sammara (Forsskiil, 1775)",,+,+
"Plectrypops lima (Valenciennes, 1831)",,+,+
"Pristilepis oligolepis (Whitley, 1941)",,+,+
"Sargocentron rubrum (Forsskiil, 1775)",,+,+
Pegasidae,,,
"Eurypegasus draconis (Linnaeus, 1766)",,+,+
Aulostomidae,,,
"Aulostomus chinensis (Linnaeus, 1758)",,+,+
Fistulariidae,,,
"Fistularia commersonii Riippell, 1838",,+,+
Syngnathidae,,,
"Cosmocampus howensis (Whitley, 1948)",,+,+
"Halicampus boothae (Whitley, 1964)",,,+
"Hippocampus planifrons Peters, 1877",,+,?
Hippocampus sp. A,,,+
Hippocampus sp. B,,,+
"Solegnathus dunckeri Whitley, 1927",,+,+
Dactylopteridae,,,
"Dactyloptena orientalis (Cuvier, 1829)",,+,+
Scorpaenidae,,,
"Ablabys taenianotus (Cuvier, 1829)",,+,+
"Cocotropus altipinnis Waite, 1903",,,+
"Dendrochirus brachypterus (Cuvier, 1829)",,+,+
"Dendrochirus zebra (Cuvier, 1829)",,::,-
"Maxillicosta raoulensis Eschmeyer & Poss, 1976",,,
"Ocosia apia Poss & Eschmeyer, 1975",,,
"Pterois antennata (Bloch, 1787)",,+,
"Pterois volitans (Linnaeus, 1758)",,+,+
"Scorpaena cookii Gunther, 1874",,,+
"Scorpaenodes guamensis (Quoy & Gaimard, 1824)",,+,
"Scorpaenodes parvipinnis (Garrett, 1864)",,+,+
"Scorpaenodes scaber (Ramsay & Ogilby, 1886)",,+,+
Scorpaenopsis sp.,,,+
