"Cheilodipterus quinquelineatus Cuvier, 1828",Unnamed: 1,+,+.1
"Fowleria marmorata (Alleyne & Macleay, 1877)",,+,+
"Vincentia chrysura Ogilby, 1889",,+,+
Sillaginidae,,,
"Sil/ago ciliata Cuvier, 1829",,+,+
Malacanthidae,,,
"Malacanthus brevirostris Guichenot, 1848",,+,+
Echeneididae,,,
"Echeneis naucrates Linnaeus, 1758",,+,+
"Remora remora (Linnaeus, 1758)",,+,+
Carangidae,,,
"Alectis ciliaris (Bloch, 1788)",,+,+
"Carangoides orthogrammus Jordan & Gilbert, 1881",,+,+
"Caranx melampygus Cuvier, 1883",,+,
"Caranx sexfasciatus Quoy & Gaimard, 1824",,+,
"Decapterus muroadsi (Temminck & Schlegel, 1844)",,+,+
"Elagatis bipinnulata (Quoy & Gaimard, 1825)",,+,+
"Pseudocaranx dentex (Bloch & Schneider, 1801)",,+,+
"Seriola dumerili (Risso, 1810)",,+,+
"Seriola hippos Giinther, 1876",,+,
"Seriola lalandi Valenciennes, 1833",,+,+
"Seriola rivoliana Valenciennes, 1833",,+,+
"Trachinotus bail/onii (Lacepede, 1801)",,+,+
"Trachinotus blochii (Lacepede, 1801)",,+,
"Trachinotus coppingeri (Giinther, 1884)",,+,+
"Trachurus declivis (Jenyns, 1841)",,+,
"Trachurus novaezelandiae Richardson, 1843",,+,+
Arripidae,,,
"Arripis trulta (Bloch & Schneider, 1801)",,+,+
Arripis sp.,,,
Lutjanidae,,,
"Aprion virescens Valenciennes, 1830",,+,+
"Lutjanus adetii (Castelnau, 1873)",,+,+
"Lutjanus bohar (Forsskal, 1775)",,+,+
"Lutjanus fulviflamma (Forsskal, 1775)",,+,+
"Lutjanusfulvus (Bloch & Schneider, 1801)",,+,
"Lutjanus kasmira (Forsskal, 1775)",,+,+
"Lutjanus quinquelineatus (Bloch, 1790)",,+,+
"Paracaesio xanthura (Bleeker, 1869)",,+,+
Caesionidae,,,
"Pterocaesio digramma (Bleeker, 1865)",,+,
"Pterocaesio trilineata Carpenter, 1987",,+,
Haemulidae,,,
"DiagFamma-labi()sum-MaGl(lay,-l·88",,I,
"Plectorhinchus gibbosus (Lacepede, 1802)",,+,
"Plectorhinchus picus (Cuvier, 1830)",,+,+
Plectorhinchus sp.,,+,+
Sparidae,,,
"Pagrus auratus (Forster, 1801)",,+,+
Lethrinidae,,,
"Gnathodentex aurolineatus (Lacepede, 1802)",,+,
"Gymnocranius euanus Giinther, 1879",,+,+
