"Scarus microrhinos Bleeker, 1854",Unnamed: 1,Unnamed: 2,+,+.1
"Scarus niger Forsskiil, 1775",,,+,+
"Scarus psil/acus Forsskiil, 1775",,,+,+
"Scarus rivulatus Valenciennes,. 1840",,,+,+
"SCarus schlegeli (Bleeker, 1861)",,,+,+
"Scarus sordidus Forsskal, 1775",,,+,+
Uranoscopidae,,,,
Kathetostoma sp.,,,,
Creediidae,,,,
"Limnichthysfaseiatus Waite, 1904",,,+,+
Percophidae,,,,
Enigmapercis sp.,,,,+
Pinguipedidae,,,,
"Parapercis eylindriea (Bloch, 1797)",,,+,+
"Parapereis hexophtalma (Cuvier,",1829),,+,+
Parapereis sp.,,,,
Tripterygiidae,,,,
"Enneapterygius rufopilea (Waite, 1904)",,,,+
Enneapterygius sp.,,,,+
Norfolkia squamieeps (McCulloch &,"Waite, 1916)",,+,+
Clinidae,,,,
"Cristieeps aurantiaeus Castelnau,",1879,,+,+
"Heterodinus roseus (Giinther, 1861)",,,+,+
Blenniidae,,,,
"Cirripeetes alboapiealis (Ogilby, 1899)",,,+,+
"Cirripeetes eastaneus (Valenciennes,",1836),,+,+
Cirripeetes ehelomatus Williams &,"Mauge, 1983",,+,+
"Enehelyurus ater (Gunther, 1877)",,,,+
"Entomaerodus eaudofaseiatus (Regan,",1909),,,
"Entomaerodus eymatobiotus Schultz & Chapman,",,,,
1960,,,,
"Erltomacrodus niuafoouensis (Fowler,",1932),,,
"Entomacrodus striatus (Quoy & Gairnard,",1836),,+,+
"Istiblennius dussumieri (Valenciennes,",1836),,+,
"Istiblennius edentulus (Forster, 1801)",,,+,+
"Istiblennius lineatus (Valenciennes,",1836),,+,
"Parablennius latidavius (Griffin, 1926)",,,+,
Parablennius serratolineatus Bath &,"Hutchins, 1986",,,
"Petroscirtes lupus (De Vis, 1886)",,,+,+
"Plagiotremus laudandus (Whitley,",1961),,+,+
"Plagiotremus rhinorhynehos (Bleeker,",1852),,+,+
"Plagiotremus tapeinosoma (Bleeker,",1857),,+,+
"Stanulus talboti Springer, 1968",,,+,+
Xlphasza matsuoarorOKa(la&-SUZU~5~,,,,+
"Xiphasia setifer Swainson, 1839",,,+,+
Amrnodytidae,,,,
Ammodytoides vaga (McCulloch &,"Waite, 1916)",,+,+
Callionymidae,,,,
"Callionymus enlearatus Macleay,",1881,,+,+
"Diplogrammus goramensis (Bleeker,",1858),,+,
Gobiidae,,,,
"Amblygobius noeturnus (Herre, 1945)",,,+,+
"Amblygobius phalaena (Valenciennes,",1837),,+,+
"Asterropteryx semipunetatus Riippell,",1828,,+,+
