0,1,2,3,4
"Cookeolus japonicus (Cuvier, 1829)",,,,
"Heteropriacanthus cruentatus (Lacepede,",1801),,,
"Priacanthus alalaua Jordan & Evermann,",1903,,,
"Pristigenys serrula (Gilbert, 1891)",,,,
Family Apogonidae,,,,
"Apogon atricaudus Jordan & McGregor,",1898,,,
"Apogon dovii Giinther, 1862",,,,
"Apogon guadalupensis (Osburn & Nichols,",1916),,,
"Apogon retrosella (Gill, 1862)",,,,
Family Malacanthidae,,,,
"Caulolatilus princeps (Jenyns, 1840)",,,,
"Caulolatilus affinis Gill, 1865",,,,
Family Echeneidae,,,,
"Echeneis naucrates Linnaeus, 1758",,,,
Family Carangidae,,,,
"Alectis ciliaris (Bloch, 1787)",,,,
"Carangoides orthogrammus (Jordan & Gilbert,",,1882),,
"Caranx lugubris Poey, 1860",,,,
"Caranx melampygus Cuvier, 1833",,,,
"Caranx sexfasciatus Quoy & Gaimard,",1825,,,
"Elagatis bipinnulata (Quoy & Gaimard,",1825),,,
"Seriola lalandi Valenciennes, 1833",,,,
"Trachinotus stilbe (Jordan & McGregor,",1898),,,
"Uraspis helvola (Forster, 1801)",,,,
Family Lutjanidae,,,,
"Hoplopagrus guentherii Gill, 1862",,,,
"Lutjanus argentiventris (Peters,",1869),Unnamed: 2,Unnamed: 3,
"Lutjanus inermis (Peters, 1869)",,,,
"Lutjanus peru (Nichols & Murphy,",1922),,,
"Lutjanus viridis (Valenciennes,",1846),,,
Family Gerreidae,,,,
"Diapterus brevirostris (Cuvier,",1830),,,
Family Haemulidae,,,,
"Anisotremus interruptus (Gill, 1862)",,,,
"Anisotremus taeniatus Gill, 1861",,,,
"Orthopristis chalceus (Ginther,",1864),,,
Family Sparidae,,,,
"Calamus brachysomus (Lockington,",1880),,,
Family Sciaenidae,,,,
Pareques species A,,,,
Family Mullidae,,,,
"Mulloidichthys dentatus (Gill, 1862)",,,,
"Pseudupeneus grandisquamis (Gill,",1863),,,
Family Kyphosidae,,,,
"Girella nigricans (Ayres, 1860)",,,,
"Kyphosus vaigiensis (Gill, 1862)",,,,
"Kyphosus elegans (Peters, 1869)",,,,
"Kyphosus sectatrix (Jordan & Gilbert,",1882),,,
"Kyphosus ocyurus (Jordan & Gilbert,",1882),,,
Family Chaetodontidae,,,,
"Chaetodon humeralis Gimther,",1860,,,
"Chaetodon meyeri Bloch & Schneider,",1801,,,
"Forcipiger flavissimus Jordan & McGregor,",,,1898.0,
"Forcipiger longirostris (Broussonet, 1782)",Unnamed: 1,,,
"Johnrandallia nigrirostris (Gill, 1862)",,,,
Prognathodes falcifer (Hubbs & Rechnitzer,1958),,,
Family Pomacanthidae,,,,
"Holacanthus clarionensis Gilbert, 1890",,,,
"Holacanthus passer Valenciennes, 1846",,,,
"Pomacanthus zonipectus (Gill, 1862)",,,,
Family Kuhliidae,,,,
"Kuhlia mugil (Forster, 1801)",,,,
Family Cirrhitidae,,,,
"Cirrhitichthys oxycephalus (Bleeker, 1855)",,,,
"Cirrhitus rivulatus Valenciennes, 1846",,,,
"Oxycirrhites typus Bleeker, 1857",,,,
Family Pomacentridae,,,,
"Abudefduf declivifrons (Gill, 1862)",,,,
"Abudefduf troschelii (Gill, 1862)",,,,
"Azurina hirundo Jordan & McGregor, 1898",,,,
"Chromis alta Greenfield & Woods, 1980",,,,
"Chromis atrilobata Gill, 1862",,,,
"Chromis limbaughi Greenfield & Woods, 1980",,,,
"Hypsypops rubicundus (Girard, 1854)",,,,
"Microspathodon bairdii (Gill, 1862)",,,,
"Microspathodon dorsalis (Gill, 1862)",,,,
"Stegastes acapulcoensis (Fowler, 1944)",,,,
"Stegastes flavilatus (Gill, 1862)",,,,
"Stegastes leucorus (Gilbert, 1892)",Unnamed: 1,,,
"Stegastes rectifraenum (Gill, 1862)",,,,
"Stegastes redemptus (Heller & Snodgrass,",1903),,,
Family Labridae,,,,
"Bodianus diplotaenia (Gill, 1862)",,,,
"Halichoeres adustus (Gilbert, 1890)",,,,
"Halichoeres chierchiae Di Caporiacco,",1948,,,
"Halichoeres dispilus (Giinther, 1864)",,,,
"Halichoeres insularis Allen & Robertson,",1992,,,
"Halichoeres melanotis (Gilbert, 1890)",,,,
"Halichoeres nicholsi (Jordan & Gilbert,",1882),,,
"Halichoeres notospilus (Giinther, 1864)",,,,
"Iniistius pavo (Valenciennes, 1840)",,,,
"Novaculichthys taeniourus (Lacepéde,",1801),,,
"Stethojulis bandanensis (Bleeker, 1851)",,,,
"Thalassoma grammaticum Gilbert,",1890,,,
"Thalassoma lucasanum (Gill, 1862)",,,,
"Thalassoma lutescens (Lay & Bennett,",1839),,,
"Thalassoma virens Gilbert, 1890",,,,
Xyrichtys species B,,,,
Family Scaridae,,,,
"Scarus compressus (Osburn & Nichols,",1916),,,
"Scarus ghobban Forsskal, 1775",,,,
"Scarus perrico Jordan & Gilbert, 1882",,,,
"Scarus rubroviolaceus Bleeker, 1847",,,,
"Calotomus carolinus (Valenciennes,",1840),,,
"Nicholsina denticulata (Evermann & Radcliffe, 1917)",Unnamed: 1,Unnamed: 2,,
Family Tripterygiidae,,,,
"Axoclinus multicinctus Allen & Robertson, 1992",,,,
"Enneanectes exsul Rosenblatt, Miller & Hastings, 2013",,,,
Family Dactyloscopidae,,,,
"Dactyloscopus insulatus Dawson, 1975",,,,
"Gillellus semicinctus Gilbert, 1890",,,,
"Myxodagnus opercularis Gill, 1861",,,,
Family Blenniidae,,,,
"Entomacrodus chiostictus (Jordan & Gilbert, 1882)",,,,
"Hypsoblennius proteus (Krejsa, 1960)",,,,
"Ophioblennius steindachneri Jordan & Evermann, 1898",,,,
"Plagiotremus azaleus (Jordan & Bollman, 1890)",,,,
Family Labrisomidae,,,,
"Malacoctenus mexicanus Springer, 1959",,,,
"Labrisomus multiporosus Hubbs, 1953",,,,
"Labrisomus socorroensis Hubbs, 1953",,,,
"Labrisomus xanti Gill, 1860",,,,
Family Chaenopsidae,,,,
"Acanthemblemaria mangognatha Hastings & Robertson,",,1999.0,,
Family Gobiesocidae,,,,
"Gobiesox adustus Jordan & Gilbert, 1882",,,,
"Gobiesox aethus (Briggs, 1951)",,,,
"Gobiesox canidens (Briggs, 1951)",,,,
"Tomicodon absitus Briggs, 1955",,,,
"Tomicodon eos (Jordan & Gilbert, 1882)",,,,
"Tomicodon petersii (Garman, 1875)",,,,
"Tomicodon zebra (Jordan & Gilbert, 1882)",,,,
Family Gobiidae,Unnamed: 1,,,
"Bathygobius ramosus Ginsburg, 1947",,,,
"Coryphopterus urospilus Ginsburg, 1938",,,,
"Lythrypnus insularis Bussing, 1990",,,,
"Lythrypnus pulchellus Ginsburg, 1938",,,,
"Lythrypnus zebra (Gilbert, 1890)",,,,
Family Schindleriidae,,,,
"Schindleria praematura (Schindler, 1930)",,,,
Family Ephippidae,,,,
"Chaetodipterus zonatus (Girard, 1858)",,,,
Family Zanclidae,,,,
"Zanclus cornutus (Linnaeus, 1758)",,,,
Family Acanthuridae,,,,
"Acanthurus nigricans (Linnaeus, 1758)",,,,
"Acanthurus triostegus (Linnaeus, 1758)",,,,
"Acanthurus xanthopterus Valenciennes, 1835",,,,
"Ctenochaetus marginatus (Valenciennes,",1835),,,
"Prionurus laticlavius (Valenciennes, 1846)",,,,
"Prionurus punctatus Gill, 1862",,,,
Order PLEURONECTIFORMES,,,,
Family Bothidae,,,,
"Bothus leopardinus (Ginther, 1862)",,,,
"Bothus mancus (Broussonet, 1782)",,,,
Order TETRAODONTIFORMES,,,,
Family Balistidae,,,,
"Balistes polylepis Steindachner, 1876",,,,
"Canthidermis maculata (Bloch, 1786)",,,,
"Melichthys niger (Bloch, 1786)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"Melichthys vidua (Richardson,",1845),,,
Pseudobalistes naufragium (Jordan &,,"Starks,",,1895)
"Sufflamen verres (Gilbert & Starks,",1904),,,
"Xanthichthys mento (Jordan & Gilbert,",,1882),,
Family Monacanthidae,,,,
"Aluterus monoceros (Linnaeus,",1758),,,
"Aluterus scriptus (Osbeck, 1765)",,,,
"Cantherhines dumerilii (Hollard,",1854),,,
Family Ostraciidae,,,,
"Lactoria diaphana (Bloch & Schneider,",,1801),,
"Ostracion meleagris Shaw, 1796",,,,
Family Tetraodontidae,,,,
"Arothron hispidus (Linnaeus, 1758)",,,,
"Arothron meleagris (Anonymous,",1798),,,
"Canthigaster punctatissima (Giinther,",,1870),,
"Guentheridia formosa (Giinther,",1870),,,
"Sphoeroides lobatus (Steindachner,",1870),,,
Family Diodontidae,,,,
"Chilomycterus reticulatus (Linnaeus,",,1758),,
"Diodon eydouxii Brisout de Barneville,",,1846,,
"Diodon holocanthus Linnaeus,",1758,,,
"Diodon hystrix Linnaeus, 1758",,,,
Phylum CHORDATA,Unnamed: 1,Unnamed: 2,,
Clase CHONDRICHTHYES,,,,
Order ORECTOLOBIFORMES,,,,
Family Rhincodontidae,,,,
"Rhincodon typus Smith, 1828",,,,
Order LAMNIFORMES,,,,
Family Alopiidae,,,,
"Alopias pelagicus Nakamura, 1935",,,,
"Alopias superciliosus Lowe, 1841",,,,
"Alopias vulpinus (Bonnaterre, 1788)",,,,
Family Triakidae,,,,
"Galeorhinus galeus (Linnaeus, 1758)",,,,
Family Lamnidae,,,,
"Isurus oxyrinchus Rafinesque, 1810",,,,
Order CARCHARHINIFORMES,,,,
Family Scyliorhinidae,,,,
"Cephalurus cephalus (Gilbert, 1892)",,,,
"Galeus piperatus Springer & Wagner, 1966",,,,
"Parmaturus xaniurus (Gilbert, 1892)",,,,
Family Carcharhinidae,,,,
"Carcharhinus altimus (Springer, 1950)",,,,
"Carcharhinus brachyurus (Giinther, 1870)",,,,
"Carcharhinus falciformis (Miller & Henle,",,1839),,
"Carcharhinus longimanus (Poey, 1861)",Unnamed: 1,Unnamed: 2,,
"Carcharhinus obscurus (Lesueur, 1818)",,,,
"Nasolamia velox (Gilbert, 1898)",,,,
"Prionace glauca (Linnaeus, 1758)",,,,
"Rhizoprionodon longurio (Jordan & Gilbert,",,1882),,
Family Sphyrnidae,,,,
"Sphyrna media Springer, 1940",,,,
"Sphyrna tiburo (Linnaeus, 1758)",,,,
"Sphyrna zygaena (Linnaeus, 1758)",,,,
Order MYLIOBATIFORMES,,,,
Family Dasyatidae,,,,
"Pteroplatytrygon violacea (Bonaparte, 1832)",,,,
Family Myliobatidae,,,,
"Mobula japanica (Miller & Henle, 1841)",,,,
Clase ACTINOPTERYGII,,,,
Order ANGUILLIFORMES,,,,
Family Nemichthyidae,,,,
"Avocettina bowersii (Garman, 1899)",,,,
Order CLUPEIFORMES,,,,
Family Engraulidae,,,,
"Cetengraulis mysticetus (Ginther, 1867)",,,,
Family Clupeidae,,,,
"Etrumeus acuminatus (Gilbert, 1890)",,,,
"Sardinops sagax (Jenyns, 1842)",,,,
Order ARGENTINIFORMES,,,,
Family Bathylaconidae,,,,
"Bathylagoides nigrigenys (Parr, 1931)",,,,
Order STOMITFORMES,,,,
Family Gonostomatidae,,,,
"Cyclothone acclinidens Garman, 1899",,,,
"Diplophos proximus Parr, 1931",,,,
"Diplophos taenia Ginther, 1873",,,,
Family Sternoptychidae,,,,
"Argyropelecus lychnus Garman, 1899",,,,
Family Phosichthyidae,,,,
"Vinciguerria lucetia (Garman, 1899)",,,,
Family Stomiidae,,,,
"Bathophilus filifer (Garman, 1899)",,,,
"Idiacanthus antrostomus Gilbert, 1890",,,,
"Stomias atriventer Garman, 1899",,,,
Order MYCTOPHIFORMES,,,,
Family Myctophidae,,,,
"Bolinichthys longipes (Brauer, 1906)",,,,
"Bolinichthys pyrsobolus (Alcock, 1890)",,,,
"Diaphus anderseni Taning, 1932",,,,
"Diaphus pacificus Parr, 1931",,,,
"Diogenichthys laternatus (Garman, 1899)",,,,
"Gonichthys cocco (Cocco, 1829)",,,,
"Gonichthys tenuiculus (Garman, 1899)",,,,
"Hygophum atratum (Garman, 1899)",,,,
"Hygophum reinhardtii (Liitken, 1892)",,,,
"Lampanyctus omostigma Gilbert, 1908",,,,
"Myctophum aurolaternatum Garman, 1899",Unnamed: 1,,,
"Nannobrachium idostigma (Parr, 1931)",,,,
"Nannobrachium ritteri (Gilbert, 1915)",,,,
Order LAMPRIFORMES,,,,
Family Lophotidae,,,,
"Eumecichthys fiski (Giinther, 1890)",,,,
Family Trachipteridae,,,,
"Desmodema polystictum (Ogilby, 1898)",,,,
Order GADIFORMES,,,,
Family Bregmacerotidae,,,,
"Bregmaceros bathymaster Jordan & Bollman,",1890,,,
Family Moridae,,,,
