Fish species
Clupeidae
Harengula jaguana
Hemiramphidae
Hemiramphus brasiliensis
Echeneidae
Remora australis
Carangidae
Caranx bartholomaei
Caranx crysos
Caranx latus
Caranx lugubris
Decapterus macarellus
Lutjanidae
Lutjanus jocu
Kyphosidae
Kyphosus sectatrix
Pomacentridae
Abudefduf saxatilis
Chromis multilineata
Labridae
Clepticus brasiliensis
Acanthuridae
Acanthurus coeruleus
Scombridae
Thunnus albacares
Balistidae
Canthidermis sufflamen
Melichthys niger
